Topic,Difficulty,Mean,Median,Variance,Minimum,Maximum,Low,Typical,High,LeftRangeWidth,RightRangeWidth
Binary Tree,0,67.58,68.9,125.02,44.9,87.1,20,25,40,1.5989,3.6327
Binary Tree,1,64.97,65.5,136.64,33.6,88.3,40,50,60,3.1868,2.2777
Binary Tree,2,51.41,51.45,110.14,36.5,75.2,80,85,100,0.996,4.7405
Matrix,0,68.29,69.4,144.31,34.9,88.3,10,20,30,3.4466,1.8881
Matrix,1,58.28,56.75,202.5,23.4,88.2,40,45,60,2.2219,6.2774
Matrix,2,48.61,48.75,215.47,13.6,82.0,75,85,100,2.3418,3.3217
Array,0,66.69,68.25,207.66,28.1,95.7,0,15,20,8.014,1.8288
Array,1,53.01,52.3,212.09,13.5,89.9,20,40,55,2.5849,1.8791
Array,2,43.97,43.85,192.09,10.4,82.0,60,80,100,1.6717,1.9065
Linked List,0,69.39,67.2,180.75,50.2,95.7,20,35,40,3.3932,1.8987
Linked List,1,61.55,61.1,208.81,22.4,94.0,40,45,65,1.934,6.5669
Linked List,2,51.24,46.2,49.91,45.1,61.7,65,80,100,0.055,1.0326
Monotonic Queue,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Monotonic Queue,1,47.4,46.0,24.22,41.8,56.6,40,55,65,0.4196,0.7062
Monotonic Queue,2,37.45,35.5,221.46,16.7,67.8,70,80,95,1.2525,3.2268
String,0,65.36,66.6,236.79,17.5,92.8,0,20,25,9.8004,1.3093
String,1,54.49,55.3,212.73,16.2,88.8,40,45,50,7.8044,6.6866
String,2,41.59,40.95,205.22,8.5,81.9,70,70,90,1.6217,4095.0
Union Find,0,53.8,53.8,0.0,53.8,53.8,25,30,40,0.0,0.0
Union Find,1,59.66,60.7,103.06,40.1,83.1,35,50,60,2.0579,1.4923
Union Find,2,47.12,46.25,145.92,24.7,70.7,75,80,100,1.077,4.8802
Binary Search Tree,0,68.39,61.6,117.57,56.7,87.1,15,20,30,0.4895,5.0898
Binary Search Tree,1,65.2,66.3,211.02,33.6,88.3,35,40,50,3.2667,4.3912
Binary Search Tree,2,48.0,48.0,31.36,42.4,53.6,60,75,90,0.3731,0.3731
Segment Tree,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Segment Tree,1,52.47,55.9,214.81,18.5,73.8,45,55,60,7.4651,1.7882
Segment Tree,2,33.26,31.75,154.34,14.6,71.8,70,80,100,0.8571,4.001
Hash Table,0,66.07,66.85,189.86,17.5,89.3,5,15,20,9.8503,2.2428
Hash Table,1,54.06,53.65,219.26,17.3,89.9,25,35,40,7.2555,3.6214
Hash Table,2,42.54,41.5,182.56,14.6,79.7,80,85,100,1.7921,7.6248
Binary Indexed Tree,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Binary Indexed Tree,1,57.42,55.9,225.37,35.3,84.5,40,45,55,2.0579,5.7086
Binary Indexed Tree,2,34.49,35.75,130.51,14.6,62.8,75,85,100,1.4091,2.7023
Heap (Priority Queue),0,69.2,69.9,120.89,44.3,86.0,20,25,35,2.5574,3.2136
Heap (Priority Queue),1,50.09,48.7,144.24,25.5,73.2,40,50,55,4.6307,2.4476
Heap (Priority Queue),2,46.18,47.25,200.1,10.4,72.3,65,75,100,1.4734,2.5025
Monotonic Stack,0,76.0,76.0,7.29,73.3,78.7,10,20,30,0.2697,0.2697
Monotonic Stack,1,53.94,53.8,262.86,22.4,85.7,40,55,60,6.2675,2.1252
Monotonic Stack,2,42.94,39.25,288.12,16.7,79.1,65,75,95,1.1269,3.981
Graph,0,63.4,53.8,271.79,49.8,86.6,10,15,30,0.2665,6.5469
Graph,1,53.46,52.8,129.25,27.8,81.0,30,50,60,2.4975,1.4093
Graph,2,48.3,47.7,168.91,22.2,79.5,65,80,100,1.2744,2.1186
Tree,0,68.2,71.2,128.97,44.9,87.1,10,20,35,1.7522,1.5884
Tree,1,64.29,64.85,131.95,33.6,88.3,40,45,60,2.0819,4.6806
Tree,2,49.71,49.1,183.36,18.9,79.8,70,75,90,2.012,6.1277
Trie,0,63.68,66.95,143.93,44.1,76.7,20,25,35,2.2827,1.9461
Trie,1,57.38,57.65,139.45,18.5,75.5,45,50,60,3.9111,3.5629
Trie,2,42.95,42.55,94.5,25.5,60.6,70,80,100,0.8521,1.8032
Ordered Set,0,75.9,75.9,0.0,75.9,75.9,20,30,40,0.0,0.0
Ordered Set,1,48.27,44.8,154.13,30.9,75.4,45,50,60,1.3886,6.1078
Ordered Set,2,42.06,42.05,168.87,16.5,71.8,65,80,95,1.7022,1.982
Doubly-Linked List,0,95.7,95.7,0.0,95.7,95.7,20,25,35,0.0,0.0
Doubly-Linked List,1,64.32,60.6,193.79,43.6,81.8,40,50,60,1.6983,2.1179
Doubly-Linked List,2,45.5,45.2,0.25,45.1,46.2,70,75,95,0.005,0.1996
