Topic,Difficulty,Low,Typical,High
Merge Sort,0,30,40,45
Merge Sort,1,45,55,65
Merge Sort,2,85,90,100
Iterator,0,20,20,30
Iterator,1,50,55,60
Iterator,2,80,90,100
Simulation,0,10,20,30
Simulation,1,45,50,60
Simulation,2,70,75,90
Union Find,0,25,30,40
Union Find,1,35,50,60
Union Find,2,75,80,100
Bucket Sort,0,5,25,30
Bucket Sort,1,35,45,50
Bucket Sort,2,70,80,90
Rolling Hash,0,20,30,45
Rolling Hash,1,45,55,65
Rolling Hash,2,80,85,95
Probability and Statistics,0,10,20,35
Probability and Statistics,1,45,55,65
Probability and Statistics,2,80,80,100
Reservoir Sampling,0,15,25,30
Reservoir Sampling,1,30,45,55
Reservoir Sampling,2,60,65,80
Concurrency,0,10,30,35
Concurrency,1,40,50,70
Concurrency,2,70,80,95
Math,0,5,10,30
Math,1,30,50,70
Math,2,75,80,100
Line Sweep,0,10,25,35
Line Sweep,1,45,50,60
Line Sweep,2,75,80,95
Binary Search,0,20,25,30
Binary Search,1,30,40,55
Binary Search,2,60,75,100
Doubly-Linked List,0,20,25,35
Doubly-Linked List,1,40,50,60
Doubly-Linked List,2,70,75,95
Quickselect,0,5,15,25
Quickselect,1,30,45,55
Quickselect,2,70,80,95
Greedy,0,30,35,40
Greedy,1,40,55,70
Greedy,2,70,85,100
Suffix Array,0,15,25,30
Suffix Array,1,50,55,60
Suffix Array,2,80,85,100
Linked List,0,20,35,40
Linked List,1,40,45,65
Linked List,2,65,80,100
Randomized,0,20,25,35
Randomized,1,45,55,60
Randomized,2,75,80,95
Eulerian Circuit,0,15,20,30
Eulerian Circuit,1,50,55,65
Eulerian Circuit,2,80,85,100
Radix Sort,0,10,20,25
Radix Sort,1,30,40,50
Radix Sort,2,60,70,90
Backtracking,0,20,25,40
Backtracking,1,50,55,75
Backtracking,2,75,90,100
Memoization,0,25,30,35
Memoization,1,40,50,55
Memoization,2,75,80,90
Geometry,0,5,25,35
Geometry,1,35,40,60
Geometry,2,55,80,100
Binary Indexed Tree,0,15,20,30
Binary Indexed Tree,1,40,45,55
Binary Indexed Tree,2,75,85,100
Data Stream,0,25,30,40
Data Stream,1,45,55,60
Data Stream,2,75,80,100
Recursion,0,20,30,40
Recursion,1,40,55,70
Recursion,2,80,85,100
Dynamic Programming,0,35,35,40
Dynamic Programming,1,35,65,75
Dynamic Programming,2,75,85,100
Counting,0,25,30,35
Counting,1,40,50,65
Counting,2,75,80,90
Enumeration,0,10,20,30
Enumeration,1,40,50,55
Enumeration,2,65,75,95
String,0,0,20,25
String,1,40,45,50
String,2,70,70,90
Game Theory,0,15,30,40
Game Theory,1,45,55,60
Game Theory,2,75,85,100
Sorting,0,0,20,25
Sorting,1,30,35,45
Sorting,2,60,65,80
Graph,0,10,15,30
Graph,1,30,50,60
Graph,2,65,80,100
Tree,0,10,20,35
Tree,1,40,45,60
Tree,2,70,75,90
Stack,0,20,25,40
Stack,1,40,45,60
Stack,2,70,80,95
Array,0,0,15,20
Array,1,20,40,55
Array,2,60,80,100
Sliding Window,0,10,20,30
Sliding Window,1,30,45,55
Sliding Window,2,65,80,100
Shell,0,10,20,30
Shell,1,30,35,45
Shell,2,-1,-1,-1
Monotonic Queue,0,10,25,35
Monotonic Queue,1,40,55,65
Monotonic Queue,2,,,
Prefix Sum,0,10,25,35
Prefix Sum,1,40,45,60
Prefix Sum,2,65,80,90
Counting Sort,0,10,25,35
Counting Sort,1,35,40,45
Counting Sort,2,-1,-1,-1
Rejection Sampling,0,-1,-1,-1
Rejection Sampling,1,35,40,50
Rejection Sampling,2,-1,-1,-1
Bit Manipulation,0,10,20,30
Bit Manipulation,1,40,45,55
Bit Manipulation,2,65,75,90
Combinatorics,0,15,25,35
Combinatorics,1,35,45,50
Combinatorics,2,65,75,95
Strongly Connected Component,0,-1,-1,-1
Strongly Connected Component,1,-1,-1,-1
Strongly Connected Component,2,70,80,95
Hash Table,0,5,15,20
Hash Table,1,25,35,40
Hash Table,2,80,85,100
Divide and Conquer,0,20,30,40
Divide and Conquer,1,45,55,60
Divide and Conquer,2,70,80,100
String Matching,0,20,30,35
String Matching,1,45,50,55
String Matching,2,65,75,100
Binary Search Tree,0,15,20,30
Binary Search Tree,1,35,40,50
Binary Search Tree,2,60,75,90
Trie,0,20,25,35
Trie,1,45,50,60
Trie,2,70,80,100
Queue,0,5,20,35
Queue,1,40,50,55
Queue,2,75,80,100
Number Theory,0,5,20,30
Number Theory,1,40,45,60
Number Theory,2,70,80,100
Design,0,15,25,35
Design,1,40,55,60
Design,2,70,80,90
Monotonic Stack,0,10,20,30
Monotonic Stack,1,40,55,60
Monotonic Stack,2,65,75,95
Segment Tree,0,-1,-1,-1
Segment Tree,1,45,55,60
Segment Tree,2,70,80,100
Hash Function,0,15,25,35
Hash Function,1,45,55,60
Hash Function,2,70,75,90
Database,0,5,15,20
Database,1,25,35,40
Database,2,60,75,90
Matrix,0,10,20,30
Matrix,1,40,45,60
Matrix,2,75,85,100
Ordered Set,0,20,30,40
Ordered Set,1,45,50,60
Ordered Set,2,65,80,95
Shortest Path,0,20,30,40
Shortest Path,1,40,45,55
Shortest Path,2,65,75,100
Two Pointers,0,10,20,30
Two Pointers,1,35,45,55
Two Pointers,2,60,70,90
Interactive,0,10,25,35
Interactive,1,35,45,60
Interactive,2,70,80,90
Bitmask,0,-1,-1,-1
Bitmask,1,35,50,60
Bitmask,2,70,80,95
Biconnected Component,0,-1,-1,-1
Biconnected Component,1,-1,-1,-1
Biconnected Component,2,65,75,95
Topological Sort,0,20,25,40
Topological Sort,1,40,50,55
Topological Sort,2,70,75,90
Heap (Priority Queue),0,20,25,35
Heap (Priority Queue),1,40,50,55
Heap (Priority Queue),2,65,75,100
Breadth-First Search,0,20,25,40
Breadth-First Search,1,40,45,65
Breadth-First Search,2,75,90,100
Depth-First Search,0,20,25,40
Depth-First Search,1,40,45,65
Depth-First Search,2,75,90,100
Binary Tree,0,20,25,40
Binary Tree,1,40,50,60
Binary Tree,2,80,85,100
Brainteaser,0,15,30,45
Brainteaser,1,45,55,60
Brainteaser,2,70,80,90
Minimum Spanning Tree,0,-1,-1,-1
Minimum Spanning Tree,1,60,65,70
Minimum Spanning Tree,2,80,85,95
