Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,124.00001,124.0,3.689,3.689
2,120.822205,122.411,3.689,3.689
3,207.50002,150.774,3.689,3.689
4,125.577805,144.475,3.689,3.689
5,182.8889,152.158,3.689,3.689
6,161.00002,153.631,3.654,3.683
7,189.18889,158.711,3.689,3.684
8,146.52219,157.188,3.689,3.685
9,218.96664,164.052,3.654,3.681
10,130.86665,160.733,3.654,3.678
11,154.68886,160.184,3.689,3.679
12,180.76668,161.899,3.62,3.674
13,186.45557,163.788,3.689,3.676
14,171.58893,164.345,3.689,3.677
15,132.04443,162.192,3.689,3.677
16,149.45552,161.396,3.689,3.678
17,200.88889,163.719,3.654,3.677
18,152.57774,163.1,3.689,3.677
19,165.3555,163.219,3.654,3.676
20,153.56668,162.736,3.689,3.677
21,133.06668,161.323,3.689,3.677
22,170.6,161.745,3.689,3.678
23,119.855545,159.924,3.689,3.678
24,201.14442,161.641,3.654,3.677
25,153.01112,161.296,3.654,3.676
26,145.73335,160.697,3.654,3.676
27,198.91113,162.113,3.689,3.676
28,150.57779,161.701,3.654,3.675
29,155.44444,161.485,3.689,3.676
30,140.16667,160.774,3.689,3.676
31,198.34444,161.986,3.689,3.677
32,196.7334,163.072,3.689,3.677
33,111.222206,161.501,3.654,3.676
34,171.51111,161.795,3.689,3.677
35,223.36668,163.555,3.689,3.677
36,212.93332,164.926,3.689,3.677
37,173.92226,165.169,3.689,3.678
38,127.93335,164.189,3.689,3.678
39,103.49998,162.633,3.689,3.678
40,204.20001,163.672,3.689,3.678
41,114.466644,162.472,3.689,3.679
42,206.07773,163.511,3.689,3.679
43,195.39998,164.252,3.654,3.678
44,204.02223,165.156,3.689,3.679
45,128.12222,164.333,3.689,3.679
46,182.80002,164.735,3.689,3.679
47,128.98889,163.974,3.585,3.677
48,236.27779,165.48,3.689,3.677
49,121.91111,164.591,3.689,3.678
50,197.49995,165.249,3.654,3.677
51,174.21109,165.425,3.689,3.677
52,148.34444,165.097,3.689,3.678
53,171.77774,165.223,3.654,3.677
54,158.03331,165.09,3.689,3.677
55,122.54443,164.316,3.689,3.678
56,184.25554,164.672,3.654,3.677
57,143.7889,164.306,3.689,3.677
58,221.31114,165.289,3.689,3.678
59,172.52217,165.411,3.654,3.677
60,139.43332,164.978,3.654,3.677
61,175.09999,165.144,3.689,3.677
62,198.72223,165.686,3.689,3.677
63,217.63332,166.51,3.654,3.677
64,192.66666,166.919,3.689,3.677
65,144.79999,166.579,3.689,3.677
66,221.3889,167.409,3.689,3.677
67,200.66667,167.905,3.689,3.677
68,160.50003,167.797,3.689,3.678
69,189.67776,168.114,3.689,3.678
70,133.58888,167.62,3.689,3.678
71,155.94446,167.456,3.689,3.678
72,170.0667,167.492,3.689,3.678
73,165.74443,167.468,3.689,3.678
74,112.844444,166.73,3.689,3.679
75,153.06665,166.548,3.689,3.679
76,217.21109,167.215,3.689,3.679
77,179.38889,167.373,3.62,3.678
78,233.26668,168.218,3.689,3.678
79,150.92224,167.999,3.654,3.678
80,156.02225,167.849,3.689,3.678
81,160.5,167.758,3.654,3.678
82,165.98889,167.737,3.689,3.678
83,186.85556,167.967,3.654,3.678
84,234.96667,168.765,3.689,3.678
85,219.74448,169.364,3.689,3.678
86,194.54445,169.657,3.689,3.678
87,173.52223,169.702,3.654,3.678
88,158.02222,169.569,3.689,3.678
89,164.78893,169.515,3.689,3.678
90,190.89998,169.753,3.654,3.678
91,198.14444,170.065,3.654,3.677
92,182.4667,170.2,3.689,3.678
93,245.03334,171.004,3.689,3.678
94,153.21109,170.815,3.689,3.678
95,162.24443,170.725,3.654,3.678
96,103.19999,170.021,3.689,3.678
97,266.56665,171.017,3.689,3.678
98,173.5889,171.043,3.654,3.678
99,195.93333,171.294,3.689,3.678
100,185.93332,171.441,3.585,3.677
101,151.01106,171.711,3.654,3.676
102,205.42224,172.557,3.689,3.676
103,179.19998,172.274,3.689,3.676
104,167.41112,172.692,3.689,3.676
105,223.66664,173.1,3.689,3.676
106,197.30005,173.463,3.689,3.677
107,234.49997,173.916,3.654,3.676
108,227.21112,174.723,3.689,3.676
109,124.288864,173.776,3.689,3.677
110,197.75552,174.445,3.689,3.677
111,182.57784,174.724,3.689,3.677
112,216.26671,175.079,3.689,3.678
113,161.95557,174.834,3.689,3.678
114,189.74446,175.015,3.689,3.678
115,176.41115,175.459,3.654,3.677
116,179.3333,175.758,3.689,3.677
117,225.45549,176.004,3.689,3.678
118,215.06665,176.628,3.689,3.678
119,166.79997,176.643,3.654,3.678
120,205.03334,177.158,3.654,3.677
121,251.18889,178.339,3.654,3.677
122,168.86667,178.321,3.689,3.677
123,210.04443,179.223,3.689,3.677
124,195.8,179.17,3.654,3.677
125,188.57776,179.526,3.654,3.677
126,227.62221,180.344,3.689,3.677
