Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,-0.43333387,-0.433,3.654,3.654
2,32.333332,15.95,3.654,3.654
3,26.322222,19.407,3.62,3.643
4,-7.1222253,12.775,3.689,3.654
5,-35.0,3.22,3.689,3.661
6,-27.855553,-1.959,3.654,3.66
7,-9.8111105,-3.081,3.689,3.664
8,0.33333254,-2.654,3.689,3.667
9,10.222221,-1.223,3.689,3.67
10,-19.977774,-3.099,3.689,3.672
11,-14.055553,-4.095,3.689,3.673
12,-12.644444,-4.807,3.689,3.674
13,46.588886,-0.854,3.689,3.676
14,26.88889,1.128,3.689,3.677
15,0.34444448,1.076,3.689,3.677
16,2.1888888,1.145,3.689,3.678
17,4.2777777,1.329,3.689,3.679
18,-4.2555547,1.019,3.689,3.679
19,5.666668,1.264,3.654,3.678
20,31.144444,2.758,3.689,3.678
21,-27.755554,1.305,3.654,3.677
22,24.255558,2.348,3.689,3.678
23,14.733334,2.886,3.689,3.678
24,21.71111,3.671,3.689,3.679
25,61.11111,5.968,3.689,3.679
26,-9.177777,5.386,3.654,3.678
27,79.57776,8.134,3.689,3.679
28,27.622221,8.83,3.689,3.679
29,-6.411113,8.304,3.62,3.677
30,27.544447,8.946,3.55,3.673
31,63.37778,10.701,3.654,3.672
32,17.077778,10.901,3.654,3.672
33,2.0000012,10.631,3.433,3.664
34,15.822221,10.784,3.384,3.656
35,17.933334,10.988,2.996,3.637
36,10.944443,10.987,2.83,3.615
37,33.944447,11.607,3.247,3.605
38,55.500004,12.762,3.468,3.601
39,1.7444441,12.48,3.481,3.598
40,3.2222226,12.248,3.279,3.59
41,52.888885,13.24,3.537,3.589
42,30.311106,13.646,3.606,3.589
43,34.211105,14.124,3.689,3.592
44,7.099997,13.965,3.689,3.594
45,23.144438,14.169,3.689,3.596
46,22.355555,14.347,3.689,3.598
47,15.722218,14.376,3.62,3.598
48,35.988888,14.826,3.654,3.6
49,47.522217,15.493,3.503,3.598
50,42.811108,16.04,3.418,3.594
51,32.366657,16.36,3.134,3.585
52,9.188889,16.222,2.586,3.566
53,35.877777,16.593,3.412,3.563
54,42.56667,17.074,3.689,3.565
55,21.333338,17.151,3.689,3.567
56,9.066666,17.007,3.654,3.569
57,46.088886,17.517,3.62,3.57
58,35.066666,17.82,3.689,3.572
59,69.200005,18.691,3.62,3.573
60,65.155556,19.465,3.488,3.571
61,33.0,19.687,3.62,3.572
62,-1.5888878,19.344,3.654,3.573
63,68.14444,20.118,3.537,3.573
64,31.244453,20.292,3.455,3.571
65,91.988884,21.395,3.654,3.572
66,48.88889,21.812,3.689,3.574
67,62.022224,22.412,3.689,3.576
68,5.9888897,22.17,3.585,3.576
69,5.122225,21.923,2.511,3.56
70,-21.933332,21.297,1.982,3.538
71,-11.688887,20.832,2.089,3.518
72,26.999996,20.918,2.948,3.51
73,23.222225,20.949,2.906,3.501
74,32.022224,21.099,2.891,3.493
75,39.166664,21.34,3.516,3.493
76,19.944439,21.322,3.654,3.496
77,15.366669,21.244,3.537,3.496
78,64.23334,21.795,3.572,3.497
79,27.566666,21.868,3.572,3.498
80,33.211105,22.01,3.689,3.5
81,18.066666,21.962,3.585,3.501
82,14.422219,21.87,3.689,3.504
83,25.477777,21.913,3.503,3.504
84,34.099995,22.058,3.143,3.499
85,17.033339,21.999,2.766,3.491
86,11.277777,21.874,3.074,3.486
87,43.73335,22.126,3.455,3.486
88,38.744453,22.315,3.468,3.485
89,47.588886,22.599,3.433,3.485
90,25.51111,22.631,3.689,3.487
91,54.63333,22.983,3.585,3.488
92,43.855556,23.209,3.585,3.489
93,17.966663,23.153,3.303,3.487
94,16.033329,23.077,2.926,3.481
95,13.800005,22.98,3.031,3.476
96,59.733334,23.362,3.385,3.476
97,39.68889,23.531,3.606,3.477
98,33.999996,23.638,3.654,3.479
99,31.488894,23.717,3.62,3.48
100,20.03333,23.68,3.62,3.481
101,93.477776,24.619,3.503,3.48
102,53.300007,24.829,3.654,3.48
103,38.5,24.951,3.516,3.479
104,35.36667,25.376,3.62,3.478
