Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,226.54443,226.544,3.689,3.689
2,127.188896,176.867,3.689,3.689
3,181.7222,178.485,3.689,3.689
4,180.32224,178.944,3.689,3.689
5,131.1778,169.391,3.689,3.689
6,141.06667,164.67,3.689,3.689
7,140.74445,161.252,3.689,3.689
8,200.04442,166.101,3.689,3.689
9,180.78888,167.733,3.689,3.689
10,190.05556,169.966,3.689,3.689
11,149.13332,168.072,3.689,3.689
12,202.52225,170.943,3.689,3.689
13,225.41112,175.132,3.689,3.689
14,158.56664,173.949,3.689,3.689
15,239.84447,178.342,3.654,3.687
16,146.64444,176.361,3.62,3.682
17,205.62221,178.082,3.689,3.683
18,180.0556,178.192,3.689,3.683
19,100.33333,174.094,3.689,3.683
20,154.68887,173.124,3.689,3.684
21,306.78888,179.489,3.689,3.684
22,191.5222,180.036,3.654,3.683
23,203.04439,181.036,3.654,3.681
24,136.2,179.168,3.689,3.682
25,235.7778,181.432,3.689,3.682
26,169.07774,180.957,3.689,3.682
27,143.44446,179.568,3.689,3.682
28,180.58891,179.604,3.689,3.683
29,177.25552,179.523,3.654,3.682
30,182.3667,179.618,3.689,3.682
31,219.51112,180.905,3.689,3.682
32,186.46667,181.079,3.654,3.681
33,142.72224,179.916,3.654,3.68
34,126.799995,178.354,3.689,3.681
35,129.9111,176.97,3.654,3.68
36,148.95554,176.192,3.689,3.68
37,112.04443,174.458,3.689,3.68
38,153.50002,173.907,3.689,3.681
39,160.47774,173.562,3.689,3.681
40,190.79999,173.993,3.689,3.681
41,212.96663,174.944,3.689,3.681
42,206.33328,175.691,3.689,3.681
43,150.03337,175.095,3.689,3.682
44,199.00003,175.638,3.689,3.682
45,147.15555,175.005,3.62,3.68
46,129.84442,174.023,3.689,3.681
47,153.66663,173.59,3.689,3.681
48,160.98886,173.328,3.689,3.681
49,188.15555,173.63,3.689,3.681
50,205.53336,174.268,3.689,3.681
51,195.9444,174.693,3.654,3.681
52,233.04443,175.815,3.689,3.681
53,228.00002,176.8,3.689,3.681
54,185.08887,176.953,3.689,3.681
55,108.444435,175.708,3.62,3.68
56,158.56667,175.402,3.689,3.68
57,163.27774,175.189,3.689,3.68
58,135.63333,174.507,3.689,3.681
59,138.66666,173.9,3.689,3.681
60,177.24448,173.955,3.689,3.681
61,210.1,174.548,3.689,3.681
62,98.466644,173.321,3.654,3.68
63,140.12224,172.794,3.689,3.681
64,197.91109,173.186,3.689,3.681
65,130.77776,172.534,3.689,3.681
66,101.388885,171.456,3.689,3.681
67,180.06668,171.584,3.689,3.681
68,130.4222,170.979,3.689,3.681
69,138.32224,170.506,3.654,3.681
70,138.27776,170.045,3.689,3.681
71,128.72224,169.463,3.654,3.681
72,151.18889,169.21,3.689,3.681
73,199.34447,169.622,3.689,3.681
74,168.5889,169.608,3.689,3.681
75,163.16664,169.522,3.654,3.681
76,169.0222,169.516,3.689,3.681
77,170.4889,169.529,3.654,3.68
78,143.87779,169.2,3.654,3.68
79,166.56667,169.166,3.689,3.68
80,147.0111,168.889,3.689,3.68
81,119.94442,168.285,3.689,3.68
82,198.29999,168.651,3.689,3.68
83,162.85555,168.581,3.654,3.68
84,171.12222,168.612,3.689,3.68
85,102.0111,167.828,3.62,3.68
86,171.35551,167.869,3.654,3.679
87,202.54443,168.268,3.689,3.679
88,139.27776,167.938,3.689,3.679
89,121.677765,167.418,3.689,3.68
90,180.8777,167.568,3.689,3.68
91,141.34442,167.28,3.689,3.68
92,114.17776,166.703,3.689,3.68
93,139.65558,166.412,3.689,3.68
94,122.81112,165.948,3.689,3.68
95,122.97775,165.496,3.689,3.68
96,213.85553,165.999,3.585,3.679
97,132.33333,165.652,3.654,3.679
98,183.76662,165.837,3.689,3.679
99,141.26665,165.589,3.689,3.679
100,165.8222,165.591,3.689,3.679
101,252.3889,165.85,3.689,3.679
102,147.8333,166.056,3.689,3.679
103,159.2111,165.831,3.654,3.679
104,171.73334,165.745,3.689,3.679
105,207.86661,166.512,3.689,3.679
106,201.54446,167.117,3.689,3.679
107,137.1222,167.081,3.654,3.678
108,132.82225,166.408,3.689,3.678
109,170.56667,166.306,3.654,3.678
110,180.26666,166.208,3.689,3.678
111,153.77776,166.255,3.689,3.678
112,161.27779,165.842,3.689,3.678
113,171.62222,165.304,3.689,3.678
114,205.79994,165.777,3.689,3.678
115,95.244446,164.331,3.689,3.678
116,131.88887,164.183,3.689,3.679
117,148.52222,163.612,3.689,3.679
118,168.9333,163.501,3.689,3.679
119,234.4111,164.842,3.689,3.679
120,137.92223,164.674,3.689,3.679
121,156.57774,163.172,3.689,3.679
122,110.166664,162.358,3.62,3.679
123,207.75552,162.406,3.689,3.679
124,127.60001,162.32,3.689,3.679
125,82.64443,160.788,3.654,3.679
126,205.5,161.152,3.689,3.679
127,62.066666,160.339,3.654,3.678
128,166.70004,160.2,3.689,3.678
129,129.23332,159.72,3.689,3.679
130,158.95554,159.485,3.689,3.679
131,205.06668,159.341,3.689,3.679
132,248.45557,159.961,3.689,3.679
133,133.04446,159.864,3.654,3.679
134,121.61109,159.812,3.689,3.679
135,227.97774,160.793,3.689,3.68
136,143.49997,160.738,3.689,3.68
137,221.0556,161.828,3.689,3.68
138,145.47775,161.748,3.654,3.679
139,134.5111,161.489,3.689,3.679
140,199.42227,161.575,3.654,3.679
141,144.96666,160.895,3.654,3.678
142,144.46664,160.276,3.654,3.678
143,180.89998,160.585,3.689,3.678
144,144.66664,160.041,3.689,3.678
145,140.22223,159.972,3.689,3.679
146,217.03333,160.844,3.689,3.679
147,110.999985,160.417,3.689,3.679
148,174.83334,160.556,3.689,3.679
149,172.43332,160.399,3.654,3.678
150,183.35559,160.177,3.654,3.678
151,97.288864,159.19,3.654,3.678
152,119.233345,158.052,3.689,3.678
153,155.92223,157.331,3.654,3.678
154,195.07773,157.431,3.689,3.678
155,133.05554,157.677,3.689,3.678
156,172.85555,157.82,3.689,3.678
157,183.1889,158.019,3.689,3.678
158,163.86664,158.302,3.689,3.678
159,168.84439,158.603,3.689,3.678
160,181.10005,158.642,3.689,3.678
161,190.51106,158.446,3.689,3.678
162,164.76665,159.109,3.689,3.679
163,132.47777,159.033,3.654,3.678
164,248.55556,159.539,3.689,3.678
165,183.62221,160.068,3.689,3.678
166,202.39996,161.078,3.689,3.678
167,193.64441,161.213,3.689,3.678
168,178.05556,161.69,3.689,3.678
169,173.93333,162.046,3.689,3.679
