Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,163.56667,163.567,3.689,3.689
2,133.35555,148.461,3.689,3.689
3,183.74443,160.222,3.689,3.689
4,192.5444,168.303,3.689,3.689
5,144.87776,163.618,3.689,3.689
6,157.17781,162.544,3.689,3.689
7,179.07774,164.906,3.654,3.684
8,196.11118,168.807,3.654,3.68
9,169.03334,168.832,3.689,3.681
10,154.3111,167.38,3.689,3.682
11,185.44447,169.022,3.689,3.683
12,149.49997,167.395,3.689,3.683
13,200.55556,169.946,3.689,3.684
14,145.44444,168.196,3.689,3.684
15,187.93335,169.512,3.689,3.684
16,76.144424,163.676,3.689,3.685
17,132.14444,161.822,3.689,3.685
18,152.67775,161.314,3.689,3.685
19,164.50002,161.481,3.654,3.683
20,247.97777,165.806,3.654,3.682
21,240.7889,169.377,3.689,3.682
22,114.86664,166.899,3.654,3.681
23,144.85558,165.941,3.689,3.681
24,122.77779,164.142,3.689,3.682
25,227.23334,166.666,3.689,3.682
26,112.88888,164.597,3.689,3.682
27,206.77783,166.16,3.689,3.682
28,133.76668,165.003,3.689,3.683
29,131.46667,163.846,3.689,3.683
30,145.97778,163.251,3.689,3.683
31,141.44441,162.547,3.689,3.683
32,147.21112,162.068,3.689,3.683
33,165.04446,162.158,3.689,3.684
34,194.8333,163.119,3.689,3.684
35,165.14441,163.177,3.689,3.684
36,186.96669,163.838,3.689,3.684
37,120.088875,162.656,3.689,3.684
38,150.17781,162.327,3.689,3.684
39,177.64442,162.72,3.689,3.684
40,194.39998,163.512,3.689,3.685
41,216.40002,164.802,3.689,3.685
42,126.38889,163.887,3.689,3.685
43,198.32222,164.688,3.689,3.685
44,193.1889,165.336,3.689,3.685
45,167.86667,165.392,3.689,3.685
46,147.34444,165.0,3.689,3.685
47,123.79998,164.123,3.689,3.685
48,147.1222,163.769,3.689,3.685
49,213.07774,164.775,3.689,3.685
50,216.76672,165.815,3.689,3.685
51,198.24445,166.451,3.689,3.685
52,145.5444,166.049,3.689,3.686
53,170.81111,166.139,3.689,3.686
54,87.111084,164.675,3.654,3.685
55,168.8,164.75,3.689,3.685
56,141.15555,164.329,3.654,3.685
57,146.76666,164.021,3.689,3.685
58,110.866646,163.104,3.689,3.685
59,154.3,162.955,3.689,3.685
60,172.00002,163.106,3.689,3.685
61,198.83328,163.692,3.689,3.685
62,149.75554,163.467,3.689,3.685
63,170.63332,163.581,3.689,3.685
64,136.58888,163.159,3.689,3.685
65,148.33333,162.931,3.689,3.685
66,159.35558,162.877,3.689,3.685
67,142.7,162.575,3.654,3.685
68,169.6111,162.679,3.689,3.685
69,140.12221,162.352,3.689,3.685
70,167.29997,162.423,3.689,3.685
71,165.12222,162.461,3.689,3.685
72,211.9889,163.149,3.689,3.685
73,179.41109,163.371,3.689,3.685
74,195.2778,163.803,3.654,3.685
75,132.54442,163.386,3.654,3.684
76,228.71114,164.245,3.689,3.684
77,204.84447,164.773,3.689,3.684
78,138.15555,164.431,3.689,3.684
79,163.13335,164.415,3.689,3.684
80,178.97778,164.597,3.689,3.685
81,141.66667,164.314,3.689,3.685
82,120.699974,163.782,3.689,3.685
83,157.01112,163.7,3.654,3.684
84,145.41112,163.483,3.689,3.684
85,200.30003,163.916,3.689,3.684
86,160.68886,163.878,3.689,3.684
87,150.72223,163.727,3.654,3.684
