Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,185.73334,185.733,3.654,3.654
2,172.09999,178.917,3.689,3.672
3,165.47778,174.437,3.62,3.654
4,214.35556,184.417,3.654,3.654
5,182.55554,184.044,3.689,3.661
6,121.8111,173.672,3.654,3.66
7,155.85558,171.127,3.689,3.664
8,166.66666,170.569,3.689,3.667
9,181.53333,171.788,3.654,3.666
10,170.05559,171.614,3.654,3.665
11,183.88887,172.73,3.654,3.664
12,138.55557,169.882,3.689,3.666
13,172.84442,170.11,3.689,3.668
14,103.66668,165.364,3.689,3.669
15,138.16669,163.551,3.654,3.668
16,124.65557,161.12,3.689,3.669
17,214.83334,164.28,3.689,3.671
18,239.55551,168.462,3.689,3.672
19,75.833305,163.587,3.689,3.672
20,142.16666,162.516,3.689,3.673
21,205.7333,164.574,3.689,3.674
22,219.42221,167.067,3.689,3.675
23,148.95557,166.279,3.689,3.675
24,159.05557,165.978,3.689,3.676
25,137.57776,164.842,3.689,3.676
26,178.92223,165.384,3.654,3.676
27,136.03334,164.297,3.689,3.676
28,218.66666,166.238,3.689,3.677
29,156.53333,165.904,3.689,3.677
30,155.46661,165.556,3.654,3.676
31,185.06667,166.185,3.689,3.677
32,103.30001,164.22,3.689,3.677
33,154.45555,163.924,3.689,3.677
34,230.30005,165.876,3.689,3.678
35,155.3333,165.575,3.654,3.677
36,157.32224,165.346,3.689,3.677
37,139.19998,164.639,3.689,3.678
38,189.16666,165.285,3.689,3.678
39,219.06665,166.664,3.689,3.678
40,129.09998,165.725,3.689,3.678
41,164.75551,165.701,3.654,3.678
42,173.0111,165.875,3.689,3.678
43,76.19998,163.79,3.689,3.678
44,146.02223,163.386,3.689,3.679
45,132.53333,162.7,3.689,3.679
46,145.55553,162.328,3.689,3.679
47,136.22221,161.772,3.654,3.679
48,144.05553,161.403,3.689,3.679
49,193.24443,162.053,3.689,3.679
50,165.42223,162.12,3.689,3.679
51,126.42221,161.42,3.689,3.679
52,199.84444,162.159,3.654,3.679
53,156.57777,162.054,3.654,3.678
54,150.42221,161.838,3.689,3.679
55,229.35559,163.066,3.689,3.679
56,151.85558,162.866,3.689,3.679
57,116.49997,162.052,3.689,3.679
58,213.58891,162.941,3.654,3.679
59,242.47781,164.289,3.689,3.679
60,195.98889,164.817,3.689,3.679
61,156.86667,164.687,3.654,3.679
62,179.27777,164.922,3.689,3.679
63,191.7222,165.348,3.689,3.679
64,172.94444,165.466,3.689,3.679
65,108.66666,164.593,3.689,3.679
66,225.56667,165.516,3.689,3.679
67,133.32224,165.036,3.689,3.68
68,129.14444,164.508,3.689,3.68
69,162.81119,164.484,3.654,3.679
70,141.27777,164.152,3.689,3.679
71,183.91109,164.43,3.689,3.68
72,147.35555,164.193,3.689,3.68
73,192.90002,164.586,3.689,3.68
74,143.29999,164.299,3.654,3.68
75,146.88887,164.067,3.689,3.68
76,131.06664,163.632,3.654,3.679
77,153.86668,163.506,3.689,3.679
78,113.74442,162.868,3.689,3.68
79,158.96664,162.818,3.689,3.68
80,178.80002,163.018,3.689,3.68
81,162.77777,163.015,3.689,3.68
82,146.5444,162.814,3.654,3.68
83,199.85555,163.26,3.689,3.68
84,171.6111,163.36,3.654,3.679
85,134.98889,163.026,3.654,3.679
86,166.36671,163.065,3.689,3.679
87,167.06668,163.111,3.689,3.679
88,260.38892,164.216,3.689,3.679
89,151.6111,164.075,3.689,3.68
90,135.34445,163.756,3.689,3.68
91,124.45552,163.324,3.689,3.68
92,163.55553,163.326,3.689,3.68
93,101.444435,162.661,3.689,3.68
94,208.86661,163.152,3.689,3.68
95,248.73335,164.053,3.689,3.68
96,127.43332,163.672,3.689,3.68
97,205.65555,164.105,3.689,3.68
98,142.98886,163.889,3.689,3.68
99,156.56662,163.815,3.689,3.68
100,178.72218,163.964,3.689,3.681
101,206.79997,164.175,3.689,3.681
102,205.91109,164.513,3.689,3.681
103,218.42223,165.042,3.689,3.682
104,208.41112,164.983,3.689,3.682
105,185.52222,165.013,3.689,3.682
106,191.7667,165.712,3.689,3.682
107,148.01111,165.634,3.654,3.682
108,111.02222,165.077,3.689,3.682
109,161.18887,164.874,3.689,3.682
110,171.91113,164.892,3.689,3.683
111,226.55556,165.319,3.689,3.683
112,152.71107,165.461,3.689,3.683
113,178.23332,165.515,3.689,3.683
114,172.15553,166.199,3.689,3.683
115,166.74442,166.485,3.689,3.683
116,103.33333,166.272,3.689,3.683
117,148.58887,165.61,3.689,3.683
118,177.64449,164.99,3.689,3.683
119,201.71109,166.249,3.689,3.683
120,130.53333,166.133,3.689,3.683
121,197.53334,166.051,3.689,3.683
122,156.05554,165.417,3.689,3.683
123,155.38893,165.482,3.689,3.683
124,232.9,166.22,3.689,3.683
125,166.06668,166.505,3.654,3.683
126,179.98888,166.516,3.654,3.683
127,134.81111,166.503,3.689,3.683
128,148.83331,165.805,3.689,3.683
129,218.10002,166.421,3.689,3.683
130,143.73337,166.303,3.689,3.683
131,183.13335,166.284,3.689,3.683
132,150.07779,166.752,3.689,3.683
133,147.12221,166.678,3.654,3.683
134,150.93335,165.885,3.689,3.683
135,208.23334,166.414,3.689,3.683
136,153.77777,166.378,3.689,3.683
137,156.22221,166.549,3.689,3.683
138,135.98889,166.017,3.689,3.683
139,117.11109,164.997,3.689,3.683
140,184.85558,165.555,3.689,3.683
141,141.36667,165.321,3.689,3.684
142,157.79999,165.169,3.689,3.684
143,161.29999,166.02,3.654,3.683
144,104.5111,165.605,3.654,3.683
145,175.26665,166.032,3.689,3.683
146,165.74448,166.234,3.689,3.683
147,224.95555,167.121,3.689,3.683
148,143.28888,167.114,3.689,3.683
149,155.05554,166.732,3.689,3.683
150,195.7667,167.035,3.689,3.683
151,216.71109,167.938,3.689,3.683
152,184.51114,167.785,3.689,3.684
153,153.2111,167.751,3.689,3.684
154,222.50002,168.472,3.689,3.684
155,154.95554,167.728,3.689,3.684
156,193.92221,168.148,3.689,3.684
157,188.64445,168.87,3.689,3.684
158,159.07777,168.325,3.654,3.684
159,278.0111,168.68,3.689,3.684
160,186.93332,168.59,3.689,3.684
161,97.855545,167.999,3.654,3.684
162,115.711105,167.364,3.689,3.684
163,119.011116,166.637,3.689,3.684
164,174.87775,166.656,3.689,3.684
165,157.12225,167.141,3.689,3.684
166,142.49997,166.31,3.689,3.684
167,112.58887,166.103,3.689,3.684
168,153.02219,166.341,3.689,3.684
169,166.86664,166.382,3.689,3.684
170,169.2555,166.662,3.689,3.684
171,160.73332,166.43,3.689,3.684
172,196.7222,166.924,3.689,3.684
173,194.74445,166.942,3.654,3.684
174,161.87778,167.128,3.689,3.684
175,131.96664,166.979,3.689,3.684
176,100.16664,166.67,3.689,3.685
177,172.0889,166.852,3.689,3.685
178,134.29999,167.057,3.689,3.685
179,146.85558,166.936,3.654,3.684
180,257.8111,167.726,3.689,3.684
181,123.93332,167.338,3.654,3.684
182,148.67778,167.359,3.62,3.684
183,120.25557,166.563,3.654,3.683
184,147.24445,166.32,3.689,3.684
185,220.14444,167.171,3.689,3.684
186,137.55556,166.883,3.689,3.684
187,194.84445,167.161,3.689,3.684
188,192.04442,166.477,3.654,3.684
189,147.22223,166.433,3.654,3.683
190,186.16664,166.942,3.689,3.683
191,189.95554,167.597,3.689,3.683
192,114.85556,167.11,3.606,3.683
193,135.8222,167.453,3.689,3.683
194,150.98889,166.875,3.689,3.683
195,194.20003,166.329,3.689,3.683
196,175.29996,166.808,3.654,3.682
197,245.16669,167.203,3.689,3.682
198,167.59999,167.449,3.689,3.682
199,219.47777,168.078,3.689,3.682
200,165.37775,167.945,3.689,3.682
201,170.78888,167.585,3.689,3.682
202,182.55557,167.351,3.689,3.682
203,73.9222,165.906,3.689,3.682
204,144.97777,165.272,3.689,3.682
205,133.4222,164.751,3.689,3.682
206,161.03331,164.444,3.689,3.682
207,172.86665,164.692,3.62,3.682
208,222.53333,165.807,3.689,3.682
209,177.04443,165.966,3.654,3.681
210,119.8,165.445,3.654,3.681
211,156.77776,164.747,3.654,3.681
212,108.266655,164.302,3.689,3.681
213,182.91109,164.349,3.689,3.681
214,181.1889,164.44,3.689,3.681
215,196.54442,164.738,3.654,3.68
216,186.54443,165.57,3.689,3.68
217,98.3222,165.067,3.689,3.68
218,143.55556,164.726,3.654,3.68
219,154.45554,164.254,3.689,3.68
220,122.82219,164.176,3.689,3.68
221,175.18883,163.953,3.689,3.68
222,111.944435,163.512,3.689,3.68
223,173.02225,163.688,3.689,3.68
224,258.1111,163.94,3.689,3.68
225,196.63333,164.246,3.654,3.68
226,234.17776,164.788,3.689,3.68
227,120.15554,164.641,3.654,3.68
228,141.81108,164.571,3.654,3.68
229,146.2667,163.853,3.689,3.68
230,168.64444,164.102,3.689,3.68
231,164.89998,163.92,3.689,3.68
232,167.18887,164.091,3.689,3.68
233,209.47778,164.714,3.689,3.68
234,180.03331,165.005,3.689,3.68
235,187.61107,164.799,3.654,3.68
236,229.90001,165.56,3.689,3.68
237,188.73337,165.885,3.689,3.68
238,205.33336,166.579,3.689,3.68
239,119.37776,166.601,3.654,3.679
240,150.60002,166.259,3.689,3.679
241,172.44443,166.57,3.689,3.679
242,144.46667,166.436,3.689,3.679
243,178.22218,166.606,3.689,3.68
244,158.07782,167.141,3.654,3.68
245,109.333336,166.482,3.689,3.68
246,167.51111,166.5,3.689,3.68
247,169.72223,165.947,3.654,3.679
248,147.68887,165.991,3.689,3.679
249,159.76665,166.038,3.689,3.679
250,166.07777,165.741,3.689,3.679
251,167.1111,165.245,3.689,3.679
252,195.69997,165.357,3.689,3.679
253,226.14444,166.087,3.689,3.679
254,148.04443,165.342,3.689,3.679
255,187.43335,165.667,3.689,3.679
256,220.53331,165.933,3.689,3.679
257,233.77777,166.384,3.654,3.679
258,214.7667,166.941,3.689,3.679
259,123.44444,165.396,3.689,3.679
260,202.24445,165.549,3.689,3.679
261,256.58887,167.136,3.654,3.679
262,178.33331,167.762,3.689,3.679
263,168.97772,168.262,3.654,3.679
264,187.56667,168.389,3.689,3.679
265,159.41109,168.412,3.689,3.679
266,210.61116,169.093,3.689,3.679
267,204.55554,170.012,3.689,3.679
268,186.23334,170.345,3.689,3.679
269,277.83334,171.454,3.689,3.679
270,167.4111,171.436,3.689,3.679
271,182.5333,171.654,3.689,3.679
272,135.33331,171.04,3.689,3.679
