Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,169.92226,169.922,3.689,3.689
2,154.22221,162.072,3.689,3.689
3,154.95554,159.7,3.689,3.689
4,170.10002,162.3,3.689,3.689
5,209.17775,171.676,3.689,3.689
6,221.33334,179.952,3.689,3.689
7,180.50003,180.03,3.689,3.689
8,175.88889,179.513,3.654,3.685
9,104.93334,171.226,3.689,3.685
10,173.1,171.413,3.689,3.685
11,144.1889,168.938,3.689,3.686
12,228.86665,173.932,3.689,3.686
13,185.13339,174.794,3.654,3.684
14,233.74448,179.005,3.689,3.684
15,150.6667,177.116,3.689,3.684
16,230.93329,180.479,3.689,3.685
17,174.43329,180.124,3.654,3.683
18,186.78885,180.494,3.654,3.681
19,129.39998,177.805,3.654,3.68
20,170.90001,177.459,3.654,3.678
21,157.51106,176.51,3.606,3.675
22,201.02217,177.624,3.654,3.674
23,133.52222,175.706,3.385,3.662
24,195.16669,176.517,3.453,3.653
25,156.8,175.728,3.489,3.646
26,223.67776,177.573,3.585,3.644
27,178.08887,177.592,3.572,3.641
28,163.72224,177.096,3.654,3.642
29,164.13332,176.649,3.689,3.643
30,191.32219,177.138,3.689,3.645
31,206.13332,178.074,3.689,3.646
32,179.98889,178.134,3.689,3.648
33,122.2111,176.439,3.689,3.649
34,198.1889,177.079,3.689,3.65
35,194.07777,177.564,3.62,3.649
36,184.16673,177.748,3.689,3.65
37,205.19998,178.49,3.654,3.65
38,211.36664,179.355,3.689,3.651
39,149.02223,178.577,3.689,3.652
40,203.10004,179.19,3.654,3.652
41,169.44441,178.953,3.654,3.652
42,239.09999,180.385,3.689,3.653
43,135.13333,179.332,3.689,3.654
44,216.2333,180.171,3.654,3.654
45,220.6111,181.07,3.62,3.653
46,240.26668,182.357,3.689,3.654
47,159.7889,181.876,3.689,3.655
48,103.7,180.248,3.689,3.656
49,166.53334,179.968,3.689,3.656
50,220.94444,180.787,3.689,3.657
51,222.93327,181.614,3.689,3.658
52,177.16666,181.528,3.689,3.658
53,129.73332,180.551,3.689,3.659
54,156.32222,180.102,3.537,3.657
55,95.18887,178.558,3.08,3.646
56,225.20001,179.391,3.585,3.645
57,151.82219,178.908,3.654,3.645
58,217.19998,179.568,3.62,3.645
59,212.89998,180.133,3.654,3.645
60,136.95557,179.413,3.62,3.644
61,196.65555,179.696,3.55,3.643
62,145.0889,179.138,3.184,3.635
63,152.59999,178.716,3.349,3.631
64,211.50002,179.229,3.489,3.629
65,217.09998,179.811,3.281,3.623
66,183.15552,179.862,3.62,3.623
67,135.35555,179.198,3.453,3.621
68,76.37778,177.686,3.654,3.621
69,212.13333,178.185,3.689,3.622
70,193.58888,178.405,3.654,3.623
71,137.7111,177.832,3.572,3.622
72,124.244446,177.087,2.906,3.612
73,203.44444,177.449,3.336,3.608
74,223.0,178.064,3.244,3.603
75,-31.544443,175.269,1.192,3.571
76,100.211105,174.282,2.487,3.557
77,161.47772,174.115,3.55,3.557
78,208.80006,174.56,3.585,3.557
79,183.71115,174.676,3.654,3.558
80,182.7111,174.776,3.689,3.56
81,280.78885,176.085,3.654,3.561
82,294.93335,177.535,3.689,3.563
83,222.61111,178.078,3.689,3.564
84,187.91109,178.195,3.21,3.56
85,192.28894,178.361,3.489,3.559
86,177.23334,178.347,3.689,3.561
87,155.78888,178.088,3.689,3.562
88,138.74445,177.641,3.689,3.564
89,165.9778,177.51,3.689,3.565
90,138.22224,177.073,3.689,3.566
91,190.68887,177.223,3.689,3.568
92,174.51114,177.194,3.689,3.569
93,197.31108,177.41,3.62,3.57
94,133.81111,176.946,3.654,3.571
95,163.45552,176.804,3.654,3.571
96,129.4,176.31,3.689,3.573
97,183.1,176.38,3.689,3.574
98,201.02222,176.632,3.654,3.575
99,185.18889,176.718,3.537,3.574
100,212.73335,177.078,3.385,3.572
101,221.76665,177.597,3.338,3.569
102,184.22221,177.897,2.904,3.561
103,96.47777,177.312,2.463,3.549
104,125.3111,176.864,3.104,3.543
105,280.85556,177.581,3.689,3.543
106,168.43333,177.052,3.516,3.541
107,61.022224,175.857,1.95,3.524
108,67.1,174.769,2.285,3.51
109,86.28889,174.583,2.365,3.497
110,85.74443,173.709,2.11,3.481
111,104.8,173.315,2.281,3.467
112,165.49998,172.682,3.093,3.461
113,192.32219,172.754,3.273,3.457
114,219.85562,172.615,3.654,3.457
115,188.34444,172.991,3.654,3.457
116,160.6,172.288,3.689,3.457
117,218.75555,172.731,3.55,3.456
118,178.38889,172.647,3.234,3.451
119,175.0,173.103,3.572,3.45
120,175.24443,173.147,3.689,3.451
121,187.4222,173.446,3.336,3.448
122,157.05556,173.006,2.428,3.436
123,117.3111,172.844,2.638,3.428
124,134.95554,172.242,2.619,3.42
125,124.39999,171.918,2.655,3.412
126,148.1,171.162,2.62,3.402
127,177.45552,171.156,3.503,3.401
128,184.27771,171.361,3.572,3.401
129,206.53337,171.785,3.62,3.4
130,182.21112,171.694,3.654,3.4
131,175.64447,171.389,3.489,3.398
132,206.1778,171.651,3.046,3.391
133,196.97777,172.399,3.268,3.387
134,229.03331,172.707,3.689,3.387
135,252.0778,173.287,3.654,3.387
136,185.77779,173.304,3.689,3.387
137,237.58891,173.627,3.689,3.388
138,200.83328,173.522,3.654,3.387
139,190.94443,173.941,3.42,3.385
140,177.42223,173.685,3.503,3.383
141,240.46666,174.395,3.303,3.38
142,215.4,174.158,3.351,3.376
143,208.6333,174.893,3.516,3.374
144,137.47775,174.105,2.956,3.367
145,96.86666,172.868,2.139,3.353
146,145.29999,171.918,2.755,3.343
147,77.899994,171.099,2.518,3.332
148,168.31114,171.745,3.338,3.328
149,141.29997,171.493,3.689,3.328
150,172.62218,171.01,3.689,3.328
151,258.8,171.368,3.689,3.328
152,177.97774,171.377,3.689,3.328
153,166.6778,171.746,3.654,3.328
154,159.45552,171.777,3.336,3.326
155,173.84447,172.564,3.481,3.33
156,130.66667,171.619,3.42,3.328
157,156.44441,171.665,2.939,3.321
158,158.31107,171.076,3.42,3.319
159,143.88887,170.386,3.399,3.316
160,274.7778,171.764,3.585,3.316
161,220.66669,172.004,3.689,3.317
162,209.6889,172.65,3.689,3.322
163,277.80008,173.902,3.689,3.326
164,211.18886,173.899,3.537,3.326
165,150.2111,173.23,2.795,3.321
166,211.18887,173.51,3.281,3.318
167,181.85553,173.975,3.585,3.319
168,250.39996,175.716,3.606,3.319
169,195.51114,175.549,3.585,3.318
170,179.24448,175.406,3.537,3.317
171,173.66667,175.766,3.316,3.314
172,171.11115,176.234,3.21,3.317
173,149.64442,175.696,2.738,3.311
174,167.6,175.142,3.219,3.311
175,195.66667,177.414,3.689,3.336
