Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,191.65552,191.656,3.689,3.689
2,140.84445,166.25,3.689,3.689
3,193.39998,175.3,3.689,3.689
4,157.64444,170.886,3.689,3.689
5,119.23334,160.556,3.689,3.689
6,136.0889,156.478,3.689,3.689
7,156.08891,156.422,3.654,3.684
8,199.46664,161.803,3.689,3.685
9,196.21114,165.626,3.689,3.685
10,153.3889,164.402,3.689,3.685
11,189.08891,166.646,3.689,3.686
12,162.73332,166.32,3.689,3.686
13,218.03333,170.298,3.689,3.686
14,143.62218,168.393,3.585,3.679
15,166.97777,168.299,3.654,3.677
16,152.75557,167.327,3.654,3.676
17,165.44441,167.216,3.689,3.677
18,160.66663,166.852,3.654,3.675
19,214.74445,169.373,3.689,3.676
20,144.4111,168.125,3.689,3.677
21,168.34448,168.135,3.689,3.677
22,159.30002,167.734,3.689,3.678
23,178.54448,168.204,3.689,3.678
24,90.67775,164.974,3.689,3.679
25,157.57777,164.678,3.689,3.679
26,160.83331,164.53,3.654,3.678
27,202.1667,165.924,3.689,3.679
28,222.7667,167.954,3.689,3.679
29,144.6222,167.149,3.689,3.679
30,200.05556,168.246,3.689,3.68
31,156.2889,167.861,3.654,3.679
32,93.277794,165.53,3.689,3.679
33,155.52219,165.227,3.654,3.678
34,192.12221,166.018,3.689,3.679
35,161.21114,165.88,3.689,3.679
36,190.18892,166.556,3.689,3.679
37,156.83336,166.293,3.689,3.68
38,217.06665,167.629,3.689,3.68
39,112.68887,166.22,3.689,3.68
40,179.06667,166.541,3.689,3.68
41,128.32222,165.609,3.689,3.68
42,187.6,166.133,3.654,3.68
43,86.25554,164.275,3.62,3.678
44,111.2889,163.071,3.654,3.678
45,106.93331,161.823,3.654,3.677
46,92.322205,160.313,3.654,3.677
47,184.97778,160.837,3.689,3.677
48,163.95554,160.902,3.654,3.677
49,147.09998,160.621,3.654,3.676
50,103.42222,159.477,3.689,3.676
51,162.0111,159.526,3.689,3.677
52,197.22221,160.251,3.689,3.677
53,147.73337,160.015,3.689,3.677
54,186.35556,160.503,3.654,3.677
55,184.49994,160.939,3.654,3.676
56,180.42223,161.287,3.689,3.677
57,122.87778,160.613,3.689,3.677
58,154.1111,160.501,3.689,3.677
59,118.277756,159.786,3.689,3.677
60,214.93336,160.705,3.689,3.677
61,188.32224,161.157,3.689,3.678
62,164.24445,161.207,3.654,3.677
63,221.56665,162.165,3.62,3.676
64,192.18886,162.634,3.689,3.676
65,217.99998,163.486,3.689,3.677
66,140.33333,163.135,3.689,3.677
67,149.07777,162.926,3.689,3.677
68,175.42223,163.109,3.689,3.677
69,171.04445,163.224,3.654,3.677
70,118.68888,162.588,3.689,3.677
71,181.07776,162.849,3.689,3.677
72,222.27776,163.674,3.689,3.677
73,110.44445,162.945,3.654,3.677
74,260.7,164.266,3.689,3.677
75,183.34447,164.52,3.689,3.677
76,227.09996,165.344,3.689,3.677
77,180.36665,165.539,3.654,3.677
78,136.51112,165.166,3.689,3.677
79,109.5,164.462,3.689,3.677
80,254.71114,165.59,3.689,3.678
81,212.83333,166.173,3.689,3.678
82,148.43332,165.957,3.689,3.678
83,173.72223,166.05,3.689,3.678
84,139.07779,165.729,3.689,3.678
85,165.68892,165.729,3.689,3.678
86,193.46664,166.051,3.689,3.678
87,155.73334,165.933,3.689,3.679
