Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,138.78886,138.789,3.689,3.689
2,196.21114,167.5,3.689,3.689
3,235.74443,190.248,3.689,3.689
4,138.6111,177.339,3.689,3.689
5,152.37778,172.347,3.689,3.689
6,203.11113,177.474,3.689,3.689
7,102.4,166.749,3.654,3.684
8,157.90001,165.643,3.654,3.68
9,153.32219,164.274,3.654,3.677
10,214.9111,169.338,3.689,3.678
11,210.1,173.043,3.689,3.679
12,179.52223,173.583,3.689,3.68
13,169.31114,173.255,3.654,3.678
14,193.63332,174.71,3.654,3.677
15,147.88885,172.922,3.689,3.677
16,208.05559,175.118,3.689,3.678
17,203.16666,176.768,3.654,3.677
18,133.53333,174.366,3.689,3.677
19,126.14442,171.828,3.689,3.678
20,183.86667,172.43,3.689,3.678
21,119.51111,169.91,3.689,3.679
22,186.09998,170.646,3.689,3.679
23,178.2111,170.975,3.689,3.68
24,143.05554,169.812,3.654,3.679
25,197.14442,170.905,3.689,3.679
26,142.06665,169.796,3.689,3.68
27,151.44441,169.116,3.689,3.68
28,144.75552,168.246,3.689,3.68
29,153.32222,167.731,3.689,3.681
30,232.36664,169.886,3.689,3.681
31,128.4222,168.548,3.689,3.681
32,202.8222,169.619,3.689,3.681
33,83.9889,167.025,3.654,3.68
34,152.81113,166.607,3.689,3.681
35,228.76671,168.383,3.689,3.681
36,232.08887,170.152,3.689,3.681
37,146.48889,169.513,3.654,3.68
38,218.14444,170.792,3.654,3.68
39,184.64444,171.148,3.689,3.68
40,194.35559,171.728,3.654,3.679
41,187.03331,172.101,3.689,3.68
42,190.76663,172.545,3.689,3.68
43,167.8333,172.436,3.654,3.679
44,243.92216,174.061,3.654,3.679
45,204.05551,174.727,3.689,3.679
46,178.4889,174.809,3.689,3.679
47,162.07779,174.538,3.689,3.679
48,168.65558,174.415,3.689,3.679
49,164.35553,174.21,3.689,3.68
50,200.63333,174.739,3.689,3.68
51,153.46664,174.322,3.689,3.68
52,214.85553,175.101,3.654,3.68
53,118.16667,174.027,3.689,3.68
54,203.8889,174.58,3.689,3.68
55,206.6778,175.163,3.689,3.68
56,198.46667,175.58,3.689,3.68
57,179.70001,175.652,3.689,3.68
58,211.61115,176.272,3.689,3.681
59,148.97775,175.809,3.689,3.681
60,220.58888,176.556,3.654,3.68
61,159.59998,176.278,3.654,3.68
62,147.82222,175.819,3.689,3.68
63,184.71112,175.96,3.689,3.68
64,231.61113,176.829,3.689,3.68
65,166.01114,176.663,3.689,3.68
66,139.59999,176.101,3.689,3.68
67,156.11108,175.803,3.689,3.681
68,150.48889,175.431,3.689,3.681
69,139.45554,174.909,3.689,3.681
70,174.73332,174.907,3.689,3.681
71,196.66663,175.213,3.689,3.681
72,159.13333,174.99,3.689,3.681
73,203.18889,175.376,3.689,3.681
74,177.15556,175.4,3.689,3.681
75,182.83331,175.499,3.689,3.681
76,165.9222,175.373,3.689,3.682
77,142.66664,174.949,3.689,3.682
78,179.93335,175.013,3.689,3.682
79,127.044426,174.405,3.689,3.682
80,167.37775,174.317,3.654,3.682
81,219.18884,174.871,3.689,3.682
82,127.98886,174.3,3.654,3.681
83,188.75552,174.474,3.689,3.681
84,183.51111,174.581,3.689,3.681
85,170.49998,174.533,3.689,3.682
86,147.01114,174.213,3.654,3.681
87,188.63329,174.379,3.689,3.681
88,150.83331,174.112,3.689,3.681
89,181.51111,174.195,3.689,3.681
90,215.2889,174.651,3.689,3.682
91,126.43335,174.121,3.654,3.681
92,197.1556,174.372,3.689,3.681
93,211.94447,174.776,3.654,3.681
94,197.7111,175.02,3.689,3.681
95,152.83334,174.786,3.689,3.681
96,197.0778,175.019,3.689,3.681
97,260.05554,175.895,3.689,3.681
98,191.08888,176.05,3.689,3.681
99,150.98889,175.797,3.689,3.682
100,180.61111,175.845,3.689,3.682
101,243.01111,176.887,3.654,3.681
102,178.94449,176.715,3.654,3.681
103,248.37775,176.841,3.689,3.681
104,182.27776,177.278,3.689,3.681
105,167.81113,177.432,3.689,3.681
106,138.18889,176.783,3.689,3.681
107,211.85555,177.877,3.689,3.681
108,152.98885,177.828,3.654,3.681
109,170.43333,177.999,3.689,3.682
110,186.78888,177.718,3.689,3.682
111,182.32219,177.44,3.689,3.682
112,134.79997,176.993,3.689,3.682
113,190.96666,177.21,3.62,3.681
114,133.6889,176.61,3.689,3.682
115,216.29999,177.294,3.654,3.681
116,253.34445,177.747,3.62,3.681
117,246.75555,178.183,3.689,3.681
118,188.52225,178.733,3.689,3.681
119,252.44443,179.996,3.689,3.681
120,232.49998,180.482,3.689,3.681
121,153.2778,180.82,3.689,3.681
122,201.14445,180.971,3.689,3.681
123,251.35556,181.702,3.689,3.681
124,195.88885,182.23,3.689,3.681
125,139.48886,181.654,3.689,3.681
126,193.07777,182.164,3.689,3.681
127,140.7778,182.057,3.689,3.681
128,176.55559,182.375,3.689,3.681
129,260.5556,183.448,3.689,3.681
130,205.89998,183.183,3.654,3.681
131,156.19997,183.461,3.654,3.681
132,232.80002,183.76,3.689,3.681
133,288.68893,185.807,3.689,3.681
134,215.74443,186.437,3.654,3.681
135,215.68892,186.306,3.689,3.681
136,192.84444,185.914,3.654,3.68
137,203.83336,186.487,3.689,3.681
138,167.59998,185.982,3.654,3.681
139,187.04445,186.006,3.689,3.681
140,144.23328,185.504,3.689,3.681
141,185.68892,185.491,3.654,3.681
142,187.70003,185.46,3.689,3.681
143,173.55554,185.517,3.689,3.681
144,164.35558,184.722,3.689,3.681
145,208.3444,184.765,3.689,3.681
146,200.50002,184.985,3.689,3.681
147,213.05554,185.495,3.654,3.681
148,135.7222,185.165,3.654,3.681
149,274.63333,186.268,3.654,3.68
150,223.83333,186.5,3.689,3.68
151,166.74442,186.633,3.689,3.68
152,179.75554,186.282,3.689,3.681
153,217.42226,187.274,3.689,3.681
154,161.00005,186.845,3.689,3.681
155,186.93335,186.648,3.689,3.681
156,169.17778,186.355,3.689,3.681
157,242.94443,186.988,3.654,3.68
158,208.25558,186.954,3.654,3.68
159,211.6555,187.581,3.689,3.68
160,202.62224,187.401,3.689,3.68
161,204.70004,187.852,3.689,3.681
162,210.67776,188.481,3.689,3.681
163,189.18887,188.525,3.689,3.681
164,233.86665,188.548,3.689,3.681
165,207.94446,188.967,3.654,3.68
166,284.13336,190.413,3.689,3.68
167,219.98886,191.051,3.689,3.68
168,174.5,191.292,3.62,3.68
169,233.07776,192.228,3.62,3.679
170,237.84442,192.859,3.62,3.678
171,166.1445,192.554,3.585,3.677
172,257.73337,193.54,3.585,3.676
173,227.14444,193.779,3.62,3.675
174,165.12221,193.659,3.55,3.674
175,184.81108,193.679,3.412,3.671
176,181.71109,193.837,3.244,3.667
177,122.77777,193.638,3.045,3.66
178,194.06668,193.779,3.481,3.658
179,235.30002,194.862,3.62,3.658
180,236.3444,195.551,3.654,3.658
181,202.26666,195.382,3.62,3.657
182,165.48889,195.757,3.654,3.657
183,239.39998,196.263,3.654,3.657
184,170.35558,196.132,3.654,3.656
185,196.61115,196.393,3.503,3.654
186,214.85555,197.071,3.654,3.654
187,203.18893,197.217,3.689,3.654
188,217.66669,197.885,3.689,3.654
189,256.37778,198.634,3.654,3.654
190,217.09998,198.652,3.689,3.654
191,249.38889,199.882,3.689,3.654
192,214.49997,200.055,3.654,3.654
193,267.08893,200.607,3.654,3.654
194,245.76665,201.087,3.689,3.654
195,255.7111,202.116,3.689,3.654
196,182.87773,201.974,3.689,3.654
197,212.0111,201.493,3.689,3.654
198,268.51108,202.268,3.537,3.652
199,192.36668,202.681,3.481,3.65
200,217.78888,203.053,3.585,3.649
201,197.85558,202.602,3.503,3.648
202,152.83336,202.341,3.325,3.645
203,170.50003,201.562,3.329,3.641
204,218.23337,201.921,3.572,3.64
205,218.05556,202.424,3.62,3.639
206,200.05554,203.042,3.42,3.636
207,210.97772,203.034,3.516,3.635
208,218.86665,203.692,3.336,3.631
209,171.22224,203.7,3.453,3.629
210,234.79999,204.18,3.489,3.627
211,191.32224,204.27,3.537,3.626
212,160.14441,204.524,3.399,3.623
213,243.65553,205.051,3.62,3.623
214,197.84445,205.692,3.489,3.621
215,232.42218,205.854,3.433,3.618
216,199.02219,205.31,3.537,3.618
217,196.91106,204.812,3.399,3.615
218,248.56662,205.412,3.62,3.614
219,187.03336,204.758,3.385,3.611
220,237.01111,204.803,3.442,3.609
221,182.55554,205.096,3.453,3.606
222,141.14445,204.496,3.336,3.603
223,222.24445,204.205,3.572,3.601
224,218.73329,204.433,3.516,3.6
225,215.27779,205.191,3.55,3.598
226,182.93333,205.09,3.489,3.596
227,206.16666,205.744,3.516,3.595
228,163.76666,205.616,3.42,3.592
229,266.9111,205.679,3.654,3.592
230,165.44447,205.275,3.516,3.59
231,184.14447,205.554,3.689,3.591
232,230.65555,205.533,3.689,3.591
233,204.3444,204.689,3.654,3.59
234,243.7889,204.97,3.689,3.591
235,225.09999,205.064,3.689,3.591
236,144.83333,204.584,3.689,3.591
237,250.96664,205.055,3.654,3.591
238,216.91112,205.548,3.689,3.591
239,205.74445,205.735,3.689,3.591
240,150.26663,205.796,3.689,3.591
241,229.31108,206.232,3.689,3.591
242,277.6444,207.131,3.689,3.591
243,134.4,206.74,3.654,3.591
244,235.1666,207.448,3.62,3.59
245,184.31108,207.208,3.654,3.59
246,190.57779,207.108,3.654,3.59
247,229.48889,207.273,3.654,3.59
248,203.16666,207.947,3.689,3.59
249,210.68889,207.308,3.689,3.59
250,209.03331,207.16,3.689,3.59
251,198.75557,207.48,3.62,3.59
252,204.8,207.73,3.689,3.59
253,209.5111,207.651,3.689,3.59
254,139.46667,207.436,3.689,3.59
255,199.94446,207.566,3.689,3.59
256,220.05559,208.075,3.654,3.589
257,227.8111,207.923,3.654,3.589
258,248.51112,208.326,3.689,3.59
259,176.18887,207.971,3.55,3.588
260,256.0556,208.506,3.537,3.587
261,185.17781,208.31,3.606,3.586
262,221.11115,208.415,3.433,3.583
263,261.37775,209.137,3.55,3.582
264,260.17786,209.4,3.654,3.581
265,151.84442,208.839,3.446,3.579
266,204.57777,208.043,3.399,3.577
267,194.8778,207.792,3.55,3.575
268,204.93329,208.096,3.503,3.574
269,168.14447,207.447,3.654,3.574
270,256.19995,207.631,3.606,3.574
271,204.61111,208.015,3.516,3.573
272,244.92221,207.887,3.489,3.573
273,201.91115,207.635,3.537,3.572
274,276.19998,208.746,3.62,3.572
275,227.06671,209.168,3.342,3.572
276,261.1667,209.963,3.55,3.575
277,226.54439,211.0,3.585,3.58
278,185.22221,210.912,3.503,3.58
279,240.38882,210.963,3.572,3.58
280,194.0222,210.54,3.654,3.58
281,228.18889,210.799,3.585,3.58
282,215.11107,211.295,3.689,3.58
283,252.02219,211.421,3.537,3.579
284,218.65552,211.904,3.654,3.579
285,210.5333,212.043,3.654,3.58
286,242.36671,212.319,3.654,3.58
287,197.98892,212.267,3.654,3.58
288,250.32217,212.593,3.689,3.58
289,241.22226,212.442,3.654,3.58
290,216.72226,212.438,3.689,3.58
291,222.41106,212.168,3.689,3.58
292,222.13335,212.244,3.654,3.58
293,235.01105,211.924,3.689,3.58
294,227.25552,211.738,3.689,3.58
295,245.73337,211.639,3.689,3.58
296,220.42223,212.014,3.537,3.579
297,215.82227,212.052,3.468,3.577
298,251.98888,211.887,3.516,3.576
299,254.04445,212.504,3.62,3.578
300,215.84438,212.484,3.468,3.577
301,234.83336,212.854,3.329,3.575
302,187.95554,213.205,3.412,3.576
303,186.13336,213.362,3.42,3.577
304,262.37775,213.803,3.446,3.575
305,228.90002,213.912,3.329,3.572
306,203.66666,213.948,3.338,3.572
307,200.2,213.84,3.268,3.569
308,224.88889,213.9,3.433,3.57
309,139.86662,213.587,3.175,3.567
310,285.87775,214.097,3.654,3.569
311,240.58894,214.59,3.407,3.568
312,201.63332,215.005,3.371,3.567
313,229.42215,214.863,3.572,3.567
314,232.23329,215.206,3.585,3.568
315,217.36668,215.056,3.55,3.569
316,215.35558,215.219,3.55,3.569
317,241.6667,215.667,3.537,3.571
318,276.36673,215.945,3.62,3.571
319,251.6666,216.591,3.55,3.572
320,216.55556,216.387,3.503,3.573
321,193.32216,216.494,3.364,3.572
322,260.2222,217.685,3.433,3.573
323,201.5445,217.478,3.267,3.57
324,250.78888,217.799,3.455,3.569
325,267.46667,218.32,3.481,3.569
326,191.1889,218.403,3.412,3.568
327,273.34445,219.075,3.468,3.567
328,242.25554,219.86,3.503,3.568
329,187.82227,219.069,3.164,3.563
330,180.26668,219.217,3.481,3.563
331,225.99998,219.636,3.537,3.561
332,208.24443,219.411,3.481,3.559
333,290.41107,220.272,3.62,3.559
334,250.79994,220.342,3.585,3.558
335,263.9778,220.731,3.654,3.558
336,245.8,221.741,3.689,3.558
337,287.34442,222.104,3.516,3.556
338,198.91112,221.924,3.503,3.554
339,260.05557,222.468,3.42,3.552
340,251.0111,223.475,3.412,3.549
341,195.99997,223.142,3.384,3.546
342,229.45549,222.66,3.468,3.544
343,239.25558,223.709,3.55,3.543
344,258.63333,223.943,3.446,3.541
345,203.10002,224.131,3.481,3.539
346,246.62224,224.692,3.62,3.539
347,312.76666,225.524,3.654,3.539
348,212.03334,225.613,3.572,3.538
349,214.05559,225.647,3.654,3.537
350,202.77774,225.584,3.654,3.537
351,236.29994,225.96,3.654,3.537
352,170.41106,225.616,3.606,3.536
353,248.36662,226.004,3.585,3.535
354,189.93332,226.509,3.62,3.535
355,202.76665,226.537,3.481,3.533
356,235.85556,226.695,3.524,3.531
357,193.58887,226.353,3.281,3.528
358,223.74445,226.105,3.455,3.525
359,228.36668,226.627,3.537,3.525
360,220.22221,226.269,3.503,3.525
361,283.21112,227.249,3.314,3.522
362,213.03333,227.168,3.455,3.522
363,287.12222,227.426,3.418,3.521
364,232.72218,227.151,3.654,3.521
365,153.0222,227.163,3.654,3.523
366,176.24442,226.88,3.62,3.525
367,179.3889,226.725,3.689,3.526
368,168.10002,226.356,3.689,3.528
369,241.54446,227.09,3.62,3.528
