Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,132.33331,132.333,3.689,3.689
2,174.01111,153.172,3.689,3.689
3,96.633354,134.326,3.689,3.689
4,114.51109,129.372,3.689,3.689
5,208.44443,145.187,3.689,3.689
6,224.87775,158.469,3.689,3.689
7,114.88893,152.243,3.689,3.689
8,149.85556,151.944,3.689,3.689
9,193.37779,156.548,3.689,3.689
10,200.02217,160.896,3.654,3.685
11,143.34445,159.3,3.689,3.686
12,121.67778,156.165,3.689,3.686
13,143.92221,155.223,3.689,3.686
14,165.10002,155.929,3.689,3.686
15,216.91109,159.994,3.689,3.687
16,146.36665,159.142,3.654,3.685
17,191.66664,161.056,3.689,3.685
18,118.15553,158.672,3.689,3.685
19,83.94445,154.739,3.689,3.685
20,191.51103,156.578,3.689,3.685
21,198.74446,158.586,3.689,3.686
22,163.35558,158.802,3.654,3.684
23,212.45561,161.135,3.689,3.684
24,180.26665,161.932,3.62,3.682
25,123.7,160.403,3.689,3.682
26,166.20003,160.626,3.689,3.682
27,227.14444,163.09,3.654,3.681
28,188.4556,163.996,3.689,3.681
29,170.90002,164.234,3.689,3.682
30,183.27777,164.869,3.689,3.682
31,182.42218,165.435,3.689,3.682
32,194.68886,166.349,3.654,3.681
33,259.76666,169.18,3.689,3.682
34,130.83331,168.052,3.689,3.682
35,164.61111,167.954,3.689,3.682
36,165.32219,167.881,3.689,3.682
37,205.01108,168.884,3.689,3.682
38,205.71115,169.853,3.689,3.682
39,197.72223,170.568,3.689,3.683
40,202.64447,171.37,3.689,3.683
41,160.7222,171.11,3.654,3.682
42,199.13332,171.777,3.689,3.682
43,146.99998,171.201,3.654,3.682
44,234.1778,172.632,3.689,3.682
45,115.69999,171.367,3.654,3.681
46,153.86664,170.987,3.654,3.681
47,214.39998,171.91,3.689,3.681
48,187.73334,172.24,3.689,3.681
49,122.377754,171.222,3.689,3.681
50,188.65553,171.571,3.689,3.681
51,94.977776,170.069,3.654,3.681
52,161.87779,169.912,3.654,3.68
53,190.25557,170.296,3.689,3.68
54,201.5778,170.875,3.689,3.681
55,205.69998,171.508,3.689,3.681
56,121.06668,170.607,3.62,3.68
57,194.22221,171.022,3.689,3.68
58,227.17783,171.99,3.689,3.68
59,177.27777,172.079,3.654,3.679
60,132.75552,171.424,3.689,3.68
61,201.4444,171.916,3.654,3.679
62,148.02223,171.531,3.689,3.679
63,190.74443,171.836,3.689,3.68
64,184.0111,172.026,3.689,3.68
65,220.38893,172.77,3.689,3.68
66,178.42224,172.856,3.689,3.68
67,185.56665,173.045,3.689,3.68
68,146.64442,172.657,3.689,3.68
69,133.37776,172.088,3.689,3.68
70,191.26666,172.362,3.689,3.68
71,119.96668,171.624,3.654,3.68
72,152.6333,171.36,3.689,3.68
73,196.92224,171.71,3.689,3.68
74,184.66672,171.885,3.654,3.68
75,268.68887,173.176,3.654,3.68
76,218.53333,173.773,3.689,3.68
77,145.95552,173.412,3.689,3.68
78,156.02217,173.189,3.689,3.68
79,157.47777,172.99,3.689,3.68
80,163.71112,172.874,3.689,3.68
81,198.21109,173.187,3.689,3.68
82,165.64441,173.095,3.689,3.68
83,143.27776,172.735,3.606,3.68
84,162.17775,172.61,3.689,3.68
