Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,160.7222,160.722,3.689,3.689
2,159.84444,160.283,3.654,3.672
3,175.7222,165.43,3.654,3.666
4,187.32222,170.903,3.689,3.672
5,155.2222,167.767,3.689,3.675
6,146.02222,164.143,3.689,3.677
7,137.2222,160.297,3.689,3.679
8,148.32224,158.8,3.689,3.68
9,170.44441,160.094,3.654,3.677
10,131.66667,157.251,3.689,3.678
11,234.70001,164.292,3.654,3.676
12,185.7333,166.079,3.689,3.677
13,187.6333,167.737,3.654,3.676
14,214.26668,171.06,3.689,3.677
15,186.23335,172.072,3.689,3.677
16,153.33333,170.901,3.689,3.678
17,114.011116,167.554,3.689,3.679
18,104.49999,164.051,3.689,3.679
19,167.53334,164.235,3.654,3.678
20,142.1333,163.129,3.689,3.678
21,165.68892,163.251,3.654,3.677
22,177.48886,163.898,3.654,3.676
23,207.03331,165.774,3.689,3.677
24,153.25555,165.252,3.689,3.677
25,112.94442,163.16,3.62,3.675
26,120.48884,161.519,3.689,3.676
27,185.39998,162.403,3.654,3.675
28,177.86668,162.956,3.689,3.675
29,246.2111,165.826,3.689,3.676
30,121.355545,164.344,3.689,3.676
31,217.07776,166.045,3.689,3.677
32,125.111084,164.766,3.689,3.677
33,180.72224,165.249,3.654,3.676
34,97.7222,163.263,3.689,3.677
35,190.85553,164.052,3.654,3.676
36,128.81111,163.073,3.654,3.675
37,147.35556,162.648,3.654,3.675
38,197.28886,163.56,3.689,3.675
39,133.59995,162.791,3.689,3.676
40,180.77782,163.241,3.689,3.676
41,129.65553,162.422,3.654,3.675
42,139.38887,161.874,3.689,3.676
43,128.2222,161.091,3.689,3.676
44,149.28886,160.823,3.689,3.676
45,133.5,160.216,3.689,3.677
46,204.23335,161.172,3.654,3.676
47,127.80002,160.462,3.689,3.676
48,82.944466,158.847,3.689,3.677
49,170.02226,159.076,3.654,3.676
50,107.86666,158.051,3.689,3.676
51,188.16669,158.642,3.689,3.677
52,199.42223,159.426,3.654,3.676
53,198.18889,160.157,3.689,3.676
