Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,219.3222,219.322,3.689,3.689
2,161.33331,190.328,3.689,3.689
3,206.02223,195.559,3.689,3.689
4,136.2222,180.725,3.689,3.689
5,166.65555,177.911,3.689,3.689
6,191.31113,180.144,3.689,3.689
7,175.3555,179.46,3.654,3.684
8,149.5,175.715,3.654,3.68
9,125.9222,170.183,3.689,3.681
10,162.84439,169.449,3.689,3.682
11,165.79999,169.117,3.689,3.683
12,133.93332,166.185,3.689,3.683
13,219.71114,170.303,3.654,3.681
14,110.62221,166.04,3.689,3.681
15,201.27779,168.389,3.689,3.682
16,153.33333,167.448,3.689,3.682
17,242.04437,171.836,3.689,3.683
18,122.53331,169.097,3.654,3.681
19,182.72224,169.814,3.689,3.682
20,183.46666,170.497,3.689,3.682
21,179.76668,170.938,3.689,3.682
22,115.84443,168.434,3.689,3.683
23,112.622215,166.007,3.689,3.683
24,137.87778,164.835,3.654,3.682
25,173.33331,165.175,3.689,3.682
26,151.9111,164.665,3.689,3.682
27,144.25555,163.909,3.689,3.682
28,117.47777,162.251,3.689,3.683
29,171.60002,162.573,3.689,3.683
30,227.09998,164.724,3.654,3.682
31,132.1222,163.672,3.654,3.681
32,247.39998,166.289,3.689,3.681
33,120.71109,164.908,3.654,3.68
34,138.93335,164.144,3.689,3.681
35,137.58888,163.385,3.62,3.679
36,92.33335,161.411,3.689,3.679
37,217.68892,162.932,3.689,3.68
38,182.68893,163.452,3.654,3.679
39,185.95554,164.029,3.689,3.679
40,163.64438,164.02,3.654,3.678
41,180.51106,164.422,3.689,3.679
42,165.07776,164.438,3.689,3.679
43,184.15558,164.896,3.654,3.678
44,210.93335,165.942,3.689,3.679
45,140.64444,165.38,3.689,3.679
46,154.79999,165.15,3.654,3.678
47,183.15553,165.533,3.654,3.678
48,96.45552,164.094,3.689,3.678
49,179.97777,164.418,3.689,3.678
50,120.77777,163.546,3.689,3.678
51,118.66668,162.666,3.689,3.679
