Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,195.84444,195.844,3.689,3.689
2,186.41109,191.128,3.689,3.689
3,181.87778,188.044,3.689,3.689
4,171.86667,184.0,3.689,3.689
5,164.51112,180.102,3.689,3.689
6,220.24442,186.793,3.689,3.689
7,145.71109,180.924,3.62,3.679
8,139.78888,175.782,3.689,3.68
9,192.22221,177.609,3.689,3.681
10,124.28888,172.277,3.689,3.682
11,144.98888,169.796,3.689,3.683
12,186.22223,171.165,3.689,3.683
13,122.07776,167.389,3.654,3.681
14,190.71109,169.055,3.689,3.681
15,120.500015,165.818,3.689,3.682
16,150.67778,164.872,3.689,3.682
17,174.27777,165.425,3.689,3.683
18,118.99996,162.846,3.689,3.683
19,163.42221,162.876,3.689,3.683
20,133.85555,161.425,3.654,3.682
21,168.54445,161.764,3.689,3.682
22,107.011116,159.275,3.689,3.683
23,141.32222,158.495,3.689,3.683
24,173.15556,159.106,3.689,3.683
25,128.46666,157.88,3.689,3.683
26,162.2,158.046,3.689,3.684
27,170.84445,158.52,3.689,3.684
28,187.31113,159.548,3.654,3.683
29,191.72224,160.658,3.689,3.683
30,160.36664,160.648,3.689,3.683
31,159.08888,160.598,3.654,3.682
32,164.7111,160.726,3.654,3.681
33,186.79999,161.516,3.654,3.68
34,132.12222,160.652,3.654,3.68
35,160.86667,160.658,3.689,3.68
36,172.77779,160.995,3.689,3.68
37,145.35553,160.572,3.689,3.68
38,212.26663,161.932,3.689,3.681
39,128.12221,161.066,3.689,3.681
40,127.644455,160.23,3.689,3.681
41,112.07775,159.056,3.689,3.681
42,243.21107,161.059,3.689,3.681
43,187.26663,161.669,3.62,3.68
44,202.63329,162.6,3.689,3.68
45,156.96667,162.475,3.689,3.68
46,186.01112,162.986,3.689,3.681
47,148.77774,162.684,3.689,3.681
48,126.51109,161.93,3.689,3.681
49,189.2555,162.488,3.689,3.681
50,177.8111,162.794,3.689,3.681
51,204.15556,163.605,3.689,3.681
52,184.12222,164.0,3.689,3.682
53,144.8111,163.638,3.689,3.682
54,203.49995,164.376,3.689,3.682
55,182.00002,164.697,3.689,3.682
56,136.22223,164.188,3.689,3.682
57,157.61108,164.073,3.689,3.682
58,53.54444,162.167,3.654,3.682
59,198.53333,162.783,3.689,3.682
60,171.38889,162.927,3.689,3.682
61,162.18889,162.915,3.654,3.681
62,183.03337,163.239,3.654,3.681
63,100.66666,162.246,3.689,3.681
64,199.92216,162.835,3.689,3.681
65,196.49997,163.353,3.689,3.681
66,234.83331,164.436,3.689,3.682
67,166.2889,164.463,3.689,3.682
68,186.04442,164.781,3.654,3.681
69,122.3,164.165,3.654,3.681
70,175.04442,164.32,3.689,3.681
71,135.33331,163.912,3.689,3.681
72,181.61111,164.158,3.689,3.681
73,220.87784,164.935,3.689,3.681
74,140.62224,164.606,3.689,3.681
75,158.64445,164.527,3.689,3.681
76,235.33334,165.459,3.689,3.682
77,123.33332,164.912,3.689,3.682
78,143.26666,164.634,3.689,3.682
79,215.55557,165.279,3.689,3.682
80,213.13335,165.877,3.689,3.682
81,94.31112,164.993,3.689,3.682
82,165.22224,164.996,3.654,3.682
83,243.55553,165.943,3.689,3.682
84,179.76665,166.107,3.689,3.682
85,116.699974,165.526,3.689,3.682
86,206.76668,166.005,3.689,3.682
87,175.27779,166.112,3.689,3.682
88,214.35559,166.66,3.689,3.682
89,183.53333,166.85,3.689,3.682
90,155.89998,166.728,3.689,3.682
91,198.69997,167.079,3.689,3.682
92,172.5,167.138,3.689,3.682
93,166.37779,167.13,3.654,3.682
94,144.34445,166.888,3.62,3.682
95,202.83333,167.266,3.689,3.682
96,165.87778,167.252,3.654,3.681
97,104.13331,166.601,3.62,3.681
98,209.0111,167.034,3.689,3.681
99,234.74442,167.718,3.689,3.681
100,132.24443,167.363,3.689,3.681
101,191.69995,167.322,3.689,3.681
102,167.24445,167.13,3.654,3.681
103,143.82222,166.749,3.689,3.681
104,157.05553,166.601,3.654,3.68
105,200.25554,166.959,3.689,3.68
106,137.0,166.126,3.654,3.68
107,146.29999,166.132,3.689,3.681
108,152.93335,166.264,3.689,3.681
109,188.41112,166.225,3.654,3.68
110,230.1111,167.284,3.689,3.68
111,116.64444,167.0,3.654,3.68
112,174.82224,166.886,3.689,3.68
113,159.2333,167.258,3.654,3.68
114,138.33334,166.734,3.654,3.68
115,199.50002,167.524,3.654,3.679
116,199.43329,168.012,3.689,3.679
117,149.25557,167.761,3.689,3.679
118,230.15555,168.873,3.689,3.679
119,163.88885,168.878,3.689,3.679
120,215.09996,169.69,3.654,3.679
121,125.51113,169.26,3.689,3.679
122,219.70003,170.387,3.654,3.679
123,152.15553,170.495,3.689,3.679
124,151.95557,170.283,3.689,3.679
125,189.45555,170.893,3.689,3.679
126,162.2333,170.893,3.654,3.678
127,190.18884,171.087,3.689,3.678
128,181.44443,171.028,3.689,3.679
129,147.0,170.581,3.689,3.679
130,232.7778,171.305,3.654,3.678
131,154.68887,171.261,3.689,3.679
132,180.86667,171.422,3.689,3.679
133,152.88889,171.083,3.689,3.68
134,226.98894,172.032,3.689,3.68
135,179.59999,172.219,3.689,3.68
136,209.54445,172.587,3.689,3.68
137,165.9556,172.793,3.654,3.68
138,140.11111,172.071,3.689,3.68
139,156.65555,172.357,3.689,3.68
140,192.65556,173.007,3.689,3.68
141,186.05554,173.747,3.689,3.68
142,183.16667,173.146,3.689,3.68
143,156.51111,172.839,3.689,3.68
144,228.22223,173.094,3.689,3.68
145,163.9889,173.165,3.689,3.68
146,225.63335,173.561,3.689,3.68
147,214.27774,174.216,3.689,3.68
148,200.34442,174.954,3.654,3.68
149,165.5222,174.717,3.654,3.68
150,228.35555,175.222,3.689,3.68
151,215.77776,175.339,3.654,3.679
152,204.76668,175.545,3.689,3.679
153,215.2333,176.249,3.689,3.679
154,219.2111,176.406,3.689,3.679
155,180.06671,176.387,3.689,3.679
156,184.59999,176.871,3.689,3.679
157,195.03333,177.245,3.654,3.679
158,196.21109,178.672,3.689,3.679
159,140.26668,178.089,3.689,3.679
160,215.77782,178.533,3.654,3.679
161,181.8111,178.729,3.689,3.679
162,250.68889,179.406,3.689,3.68
163,209.95555,180.499,3.654,3.679
164,150.22221,180.002,3.689,3.679
165,208.53333,180.122,3.62,3.678
166,116.53332,178.939,3.654,3.678
167,103.16666,178.308,3.654,3.678
168,132.47774,177.772,3.689,3.678
169,168.91113,178.238,3.654,3.678
170,190.08888,178.389,3.689,3.678
171,194.14442,178.977,3.689,3.678
172,206.91113,179.23,3.689,3.678
173,180.06671,178.822,3.654,3.678
174,247.22221,179.888,3.654,3.677
175,200.11116,180.302,3.62,3.677
176,231.32225,180.262,3.654,3.676
177,241.71112,181.446,3.689,3.676
178,173.06664,181.744,3.689,3.676
179,209.39995,181.682,3.689,3.676
180,128.04445,180.831,3.654,3.676
181,207.23332,181.961,3.689,3.676
182,203.08887,182.339,3.689,3.676
183,171.35555,181.617,3.654,3.676
184,272.85556,182.548,3.654,3.676
185,196.94444,183.351,3.689,3.676
186,153.68887,182.82,3.689,3.676
187,177.18886,182.839,3.654,3.675
188,192.57779,182.621,3.689,3.675
189,220.18895,182.988,3.689,3.675
