Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,184.62221,184.622,3.689,3.689
2,123.37776,154.0,3.689,3.689
3,223.72224,177.241,3.689,3.689
4,141.5,168.306,3.689,3.689
5,214.78886,177.602,3.689,3.689
6,196.03339,180.674,3.689,3.689
7,142.66667,175.244,3.689,3.689
8,198.68889,178.175,3.689,3.689
9,151.71114,175.235,3.689,3.689
10,176.29997,175.341,3.689,3.689
11,208.25552,178.333,3.689,3.689
12,180.48886,178.513,3.689,3.689
13,131.95554,174.932,3.654,3.686
14,140.99998,172.508,3.689,3.686
15,183.49998,173.241,3.689,3.687
16,117.922226,169.783,3.689,3.687
17,204.22227,171.809,3.689,3.687
18,174.95554,171.984,3.689,3.687
19,191.97781,173.036,3.689,3.687
20,127.22221,170.746,3.654,3.685
21,155.3222,170.011,3.62,3.682
22,175.6889,170.269,3.689,3.683
23,184.78891,170.9,3.689,3.683
24,165.9111,170.693,3.689,3.683
25,211.00002,172.305,3.689,3.683
26,172.32222,172.306,3.689,3.684
27,182.73332,172.692,3.689,3.684
28,116.71112,170.692,3.689,3.684
29,163.12224,170.431,3.689,3.684
30,113.83331,168.545,3.689,3.684
31,150.37775,167.959,3.654,3.683
32,188.48888,168.6,3.689,3.683
33,150.78888,168.061,3.654,3.683
34,181.96667,168.47,3.689,3.683
35,131.33333,167.409,3.689,3.683
36,103.05555,165.621,3.689,3.683
37,115.1222,164.256,3.689,3.683
38,139.5111,163.605,3.689,3.683
39,224.95563,165.178,3.654,3.683
40,199.8333,166.044,3.689,3.683
41,71.5,163.738,3.689,3.683
42,157.68892,163.594,3.689,3.683
43,231.2333,165.167,3.689,3.683
44,157.17778,164.986,3.689,3.683
45,181.91112,165.362,3.689,3.683
46,189.78888,165.893,3.689,3.684
47,163.94443,165.852,3.62,3.682
48,230.7444,167.203,3.689,3.682
49,154.5111,166.944,3.689,3.683
50,169.78888,167.001,3.689,3.683
51,183.4889,167.325,3.689,3.683
52,183.78886,167.641,3.689,3.683
53,134.65555,167.019,3.689,3.683
54,165.9889,167.0,3.689,3.683
55,161.54446,166.901,3.654,3.683
56,141.75555,166.452,3.689,3.683
57,176.6889,166.631,3.689,3.683
58,234.44441,167.8,3.689,3.683
59,133.0222,167.211,3.654,3.682
60,161.77779,167.12,3.689,3.683
61,187.28886,167.451,3.689,3.683
62,167.03331,167.444,3.62,3.682
63,191.72221,167.83,3.689,3.682
64,194.94449,168.253,3.689,3.682
65,119.27779,167.5,3.689,3.682
66,238.52219,168.576,3.689,3.682
67,159.23334,168.436,3.689,3.682
68,211.05554,169.063,3.689,3.682
69,165.87778,169.017,3.689,3.682
70,141.19997,168.62,3.689,3.682
71,153.21112,168.403,3.689,3.683
72,228.55551,169.238,3.689,3.683
73,191.58888,169.544,3.654,3.682
74,187.54446,169.788,3.689,3.682
75,251.11116,170.872,3.689,3.682
76,115.366646,170.142,3.689,3.682
77,182.03328,170.296,3.689,3.683
78,200.63335,170.685,3.689,3.683
79,130.96663,170.182,3.689,3.683
80,215.24449,170.745,3.654,3.682
81,150.8889,170.5,3.689,3.682
82,141.2111,170.143,3.689,3.683
83,202.94438,170.538,3.689,3.683
84,150.83331,170.304,3.654,3.682
85,107.777756,169.568,3.689,3.682
86,171.94443,169.596,3.689,3.682
87,135.25555,169.201,3.689,3.683
88,109.08889,168.518,3.654,3.682
89,156.14445,168.379,3.689,3.682
90,167.86667,168.373,3.689,3.682
91,52.833332,167.104,3.689,3.682
92,195.03337,167.407,3.654,3.682
93,182.33331,167.568,3.689,3.682
94,169.15556,167.584,3.689,3.682
95,141.29999,167.308,3.689,3.682
96,206.28885,167.714,3.689,3.682
97,152.43332,167.556,3.689,3.682
98,170.97778,167.591,3.654,3.682
99,129.65553,167.208,3.689,3.682
