Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,211.62225,211.622,3.654,3.654
2,155.22224,183.422,3.689,3.672
3,130.84444,165.896,3.689,3.677
4,179.85555,169.386,3.689,3.68
5,146.67778,164.844,3.654,3.675
6,134.65556,159.813,3.654,3.672
7,142.1778,157.294,3.62,3.664
8,157.65556,157.339,3.689,3.667
9,133.49998,154.69,3.689,3.67
10,156.56664,154.878,3.689,3.672
11,230.49994,161.753,3.689,3.673
12,146.66666,160.495,3.689,3.674
13,122.1222,157.544,3.689,3.676
14,103.01111,153.648,3.689,3.677
15,153.95555,153.669,3.62,3.673
16,126.96666,152.0,3.654,3.672
17,104.666664,149.216,3.689,3.673
18,240.88885,154.309,3.654,3.672
19,147.29997,153.94,3.689,3.672
20,144.44446,153.465,3.62,3.67
21,149.36665,153.27,3.689,3.671
22,159.53333,153.555,3.654,3.67
23,165.4111,154.07,3.689,3.671
24,178.03334,155.069,3.689,3.672
25,212.61111,157.37,3.689,3.672
26,241.20004,160.594,3.689,3.673
27,156.45555,160.441,3.689,3.673
28,144.65556,159.877,3.654,3.673
29,129.40001,158.826,3.689,3.673
30,158.72223,158.823,3.689,3.674
31,147.25554,158.45,3.689,3.674
32,151.6889,158.239,3.689,3.675
33,216.86664,160.015,3.689,3.675
34,210.09999,161.488,3.689,3.676
35,208.40002,162.829,3.689,3.676
36,142.73332,162.27,3.689,3.676
37,155.3111,162.082,3.689,3.677
38,181.2667,162.587,3.654,3.676
39,162.3889,162.582,3.689,3.676
40,150.82224,162.288,3.689,3.677
41,147.88889,161.937,3.689,3.677
42,150.86665,161.673,3.689,3.677
43,110.17777,160.476,3.689,3.678
44,199.15549,161.355,3.689,3.678
45,251.69997,163.362,3.689,3.678
46,198.99998,164.137,3.654,3.678
47,126.455536,163.335,3.689,3.678
48,173.8444,163.554,3.654,3.677
49,143.62221,163.148,3.689,3.678
50,158.59999,163.057,3.689,3.678
51,132.52222,162.458,3.689,3.678
52,223.86664,163.639,3.689,3.678
53,134.74443,163.094,3.689,3.678
54,159.25557,163.023,3.689,3.679
55,210.53331,163.886,3.654,3.678
56,107.633316,162.882,3.689,3.678
57,185.3222,163.276,3.689,3.679
58,105.49999,162.28,3.689,3.679
59,194.49995,162.826,3.654,3.678
60,142.33331,162.484,3.689,3.678
61,230.04446,163.592,3.689,3.679
62,143.93333,163.275,3.689,3.679
63,132.27779,162.783,3.689,3.679
64,120.96667,162.129,3.654,3.679
65,150.56665,161.951,3.689,3.679
66,142.93335,161.663,3.654,3.678
67,174.26665,161.851,3.689,3.679
68,193.86665,162.322,3.689,3.679
69,124.22221,161.77,3.689,3.679
70,150.7778,161.613,3.689,3.679
71,102.64443,160.782,3.689,3.679
72,118.34441,160.193,3.689,3.679
73,172.63333,160.363,3.689,3.679
74,163.8889,160.411,3.654,3.679
75,154.57776,160.333,3.689,3.679
76,205.89998,160.933,3.689,3.679
77,179.83331,161.178,3.689,3.679
78,206.8444,161.764,3.654,3.679
79,156.06664,161.692,3.689,3.679
80,174.64447,161.853,3.654,3.679
81,135.92221,161.533,3.654,3.679
82,150.04443,161.393,3.654,3.678
83,97.655556,160.625,3.689,3.678
84,241.82219,161.592,3.689,3.679
85,143.65555,161.381,3.689,3.679
86,113.47775,160.824,3.689,3.679
87,260.44443,161.969,3.689,3.679
88,133.07776,161.641,3.654,3.679
89,134.32225,161.334,3.654,3.678
90,148.52222,161.191,3.689,3.678
91,146.27777,161.027,3.654,3.678
92,128.82219,160.677,3.62,3.678
93,158.7889,160.657,3.689,3.678
94,152.32224,160.568,3.689,3.678
95,130.57776,160.253,3.689,3.678
96,138.28888,160.024,3.689,3.678
97,129.34444,159.708,3.689,3.678
98,148.7111,159.595,3.689,3.678
99,132.75554,159.324,3.654,3.678
100,100.18888,158.733,3.689,3.678
101,208.4778,158.702,3.689,3.678
102,169.3,158.842,3.654,3.678
103,175.9222,159.293,3.654,3.678
104,102.27778,158.517,3.654,3.677
105,167.48892,158.725,3.689,3.678
106,179.95552,159.178,3.689,3.678
107,235.57776,160.112,3.62,3.678
108,209.68884,160.633,3.689,3.678
109,145.47777,160.753,3.654,3.678
110,125.888855,160.446,3.689,3.678
111,184.37779,159.985,3.689,3.678
112,153.35556,160.051,3.689,3.678
113,187.86658,160.709,3.689,3.678
114,148.3,161.162,3.689,3.678
115,172.53336,161.348,3.689,3.678
116,137.61111,161.454,3.689,3.679
117,186.7889,162.275,3.689,3.679
118,133.0111,161.196,3.689,3.679
119,209.61119,161.82,3.689,3.679
120,174.24445,162.118,3.654,3.68
121,164.44441,162.268,3.654,3.679
122,155.76668,162.231,3.689,3.68
123,204.39992,162.621,3.689,3.68
124,148.63332,162.327,3.689,3.68
125,66.24444,160.863,3.689,3.68
126,221.9222,160.67,3.689,3.68
127,187.42223,160.98,3.689,3.68
128,225.44446,161.788,3.689,3.68
129,207.42224,162.568,3.689,3.68
130,181.1778,162.792,3.654,3.68
131,165.14442,162.971,3.689,3.68
132,161.55553,163.07,3.654,3.679
133,193.75558,162.839,3.689,3.679
134,89.83333,161.636,3.689,3.679
135,167.81108,161.23,3.689,3.679
136,203.97778,161.843,3.654,3.679
137,213.05554,162.42,3.689,3.679
138,163.37773,162.241,3.689,3.679
139,147.04445,162.088,3.689,3.679
140,167.38889,162.254,3.689,3.679
141,111.85554,161.893,3.689,3.679
142,205.66666,162.441,3.689,3.679
143,167.96663,163.019,3.689,3.679
144,159.72223,162.625,3.654,3.679
145,153.1778,161.64,3.689,3.679
146,158.1889,161.231,3.654,3.679
147,106.18889,161.029,3.689,3.679
148,105.98888,160.35,3.689,3.679
149,158.83333,160.502,3.689,3.679
150,252.14447,161.438,3.689,3.679
151,137.96666,161.492,3.689,3.679
152,216.38885,161.417,3.689,3.679
153,156.2778,161.633,3.689,3.679
154,218.83336,162.229,3.62,3.678
155,170.98889,161.833,3.654,3.678
156,188.5111,162.642,3.654,3.678
157,191.86667,162.707,3.689,3.678
158,166.70001,163.319,3.689,3.678
159,242.14445,163.796,3.689,3.678
160,169.86668,164.071,3.689,3.678
161,174.43333,163.515,3.654,3.678
162,193.55556,164.011,3.689,3.678
163,185.01114,164.539,3.689,3.678
164,127.144424,164.6,3.689,3.678
165,163.44446,164.729,3.689,3.678
166,155.73337,164.857,3.689,3.679
167,139.2111,164.507,3.689,3.679
168,181.19998,164.38,3.689,3.679
169,154.4778,164.682,3.689,3.679
170,167.5889,164.851,3.689,3.679
171,194.5,165.769,3.654,3.678
172,145.89998,166.045,3.654,3.678
173,137.09999,165.689,3.689,3.678
174,159.85555,165.649,3.654,3.678
175,223.58888,166.339,3.689,3.678
176,117.966644,165.46,3.654,3.678
177,233.8,165.999,3.689,3.678
178,157.22223,165.503,3.689,3.678
179,157.33334,165.516,3.689,3.678
180,118.51111,164.955,3.689,3.678
181,173.12221,165.327,3.689,3.679
182,96.52222,164.791,3.689,3.679
183,195.43335,165.769,3.689,3.679
184,135.14445,164.702,3.689,3.679
185,201.04443,165.276,3.654,3.679
186,147.63332,165.618,3.689,3.679
187,117.933334,164.193,3.689,3.679
188,214.71114,165.009,3.689,3.679
189,161.22224,165.278,3.689,3.68
190,203.51111,165.828,3.689,3.68
191,157.34447,165.939,3.654,3.68
192,115.577805,165.806,3.689,3.68
193,136.84444,165.587,3.689,3.68
194,167.15558,165.735,3.689,3.68
195,117.24443,165.602,3.654,3.68
196,234.02225,166.559,3.689,3.68
197,171.08885,166.976,3.689,3.68
198,201.55557,167.505,3.689,3.68
199,154.27777,167.72,3.689,3.68
200,139.5,168.113,3.689,3.68
201,165.17778,167.68,3.654,3.68
202,121.71109,167.204,3.689,3.68
203,202.68889,167.472,3.689,3.681
204,99.90002,167.448,3.689,3.681
205,182.21109,167.595,3.689,3.681
206,180.55551,167.601,3.689,3.681
207,75.51109,166.001,3.689,3.682
208,211.37778,166.018,3.689,3.682
209,127.82223,165.841,3.689,3.682
210,197.47784,166.557,3.689,3.682
211,146.58888,166.179,3.689,3.682
212,130.16666,165.947,3.689,3.682
213,196.5889,166.034,3.654,3.682
214,123.01112,165.782,3.689,3.682
215,175.5,165.811,3.654,3.681
216,166.75558,166.103,3.654,3.681
217,158.5778,165.821,3.689,3.681
218,142.3222,165.914,3.654,3.681
219,131.8,165.136,3.689,3.681
220,72.833336,164.121,3.689,3.681
221,169.53331,164.172,3.689,3.681
222,175.27776,164.367,3.689,3.681
223,198.06665,164.304,3.689,3.681
224,174.98886,164.568,3.689,3.681
225,199.00002,165.895,3.689,3.681
226,72.67778,164.403,3.689,3.681
227,225.84439,164.787,3.689,3.681
228,244.66666,164.979,3.689,3.681
229,127.50001,164.18,3.689,3.681
230,162.68892,163.995,3.654,3.681
231,208.86662,164.432,3.689,3.681
232,136.07776,164.178,3.689,3.682
233,243.51108,164.675,3.689,3.682
234,140.5111,165.182,3.654,3.681
235,239.38885,165.898,3.654,3.681
236,205.69997,165.915,3.689,3.681
237,187.05554,165.655,3.689,3.681
238,153.93333,165.56,3.654,3.681
239,181.56665,165.906,3.689,3.681
240,126.02221,165.492,3.689,3.681
241,171.40001,166.087,3.689,3.681
242,164.29999,165.674,3.689,3.681
243,239.13339,166.385,3.689,3.681
244,164.74443,166.436,3.689,3.681
245,166.4555,166.568,3.689,3.681
246,190.36665,166.89,3.689,3.682
247,182.51108,167.653,3.689,3.682
248,118.21108,167.776,3.689,3.682
249,177.61111,167.963,3.654,3.681
250,165.16672,167.094,3.689,3.681
251,104.69997,166.761,3.689,3.681
252,238.84442,166.986,3.654,3.681
253,158.84447,167.011,3.689,3.681
254,194.78894,166.771,3.689,3.682
255,169.16667,166.753,3.689,3.682
256,236.81111,167.236,3.689,3.682
257,137.68887,166.694,3.689,3.682
258,58.477783,165.612,3.689,3.682
259,181.5889,165.006,3.689,3.682
260,118.83331,164.496,3.689,3.682
261,200.7889,164.759,3.654,3.682
262,233.37779,165.157,3.689,3.682
263,134.58888,164.653,3.689,3.682
264,140.59999,164.788,3.689,3.682
265,106.56669,164.219,3.689,3.682
266,163.4778,164.296,3.689,3.682
267,166.75554,164.572,3.689,3.682
268,195.5333,164.715,3.689,3.682
269,211.13336,165.282,3.654,3.682
270,226.85556,165.874,3.689,3.682
271,95.299995,164.882,3.62,3.682
272,188.28886,165.306,3.689,3.682
273,122.888885,165.164,3.689,3.682
274,271.0555,166.276,3.689,3.682
275,127.988884,165.32,3.654,3.682
276,249.24449,166.633,3.689,3.682
277,218.92221,166.484,3.689,3.682
278,205.42221,166.966,3.689,3.682
279,160.75552,167.0,3.689,3.682
280,210.67783,167.922,3.689,3.682
281,111.98886,167.311,3.654,3.682
282,217.86665,168.524,3.689,3.682
283,252.1,169.091,3.689,3.682
284,250.01112,170.24,3.689,3.682
285,143.22221,169.661,3.654,3.682
286,109.288895,169.278,3.689,3.682
287,211.87775,170.217,3.689,3.682
288,160.75554,169.678,3.689,3.682
289,113.25555,169.198,3.62,3.681
290,222.12218,169.384,3.689,3.681
291,195.17778,169.763,3.689,3.682
292,130.01111,169.907,3.689,3.682
293,153.18889,170.07,3.689,3.682
294,245.50002,170.854,3.689,3.682
295,163.3222,171.315,3.654,3.682
296,142.64447,170.401,3.689,3.682
297,160.74445,170.297,3.654,3.681
298,159.35553,169.875,3.689,3.681
299,141.33334,169.746,3.689,3.681
300,137.95554,169.73,3.654,3.681
301,135.75555,169.436,3.689,3.681
302,233.33337,170.552,3.689,3.681
303,140.03333,169.926,3.689,3.681
304,135.34445,170.28,3.654,3.681
305,178.51111,170.243,3.654,3.681
306,169.28891,170.131,3.689,3.681
307,207.91107,171.455,3.689,3.681
308,87.35557,170.214,3.689,3.681
309,121.81109,170.154,3.654,3.68
310,152.85556,169.708,3.689,3.68
311,161.73338,169.86,3.689,3.68
312,140.09998,169.959,3.654,3.68
313,245.94443,170.452,3.689,3.68
