Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,183.1889,183.189,3.689,3.689
2,139.16666,161.178,3.689,3.689
3,119.46666,147.274,3.654,3.677
4,171.02225,153.211,3.689,3.68
5,234.25555,169.42,3.689,3.682
6,179.62218,171.12,3.689,3.683
7,110.2111,162.419,3.689,3.684
8,220.03334,169.621,3.689,3.685
9,183.5555,171.169,3.689,3.685
10,142.8778,168.34,3.689,3.685
11,151.24443,166.786,3.689,3.686
12,154.85556,165.792,3.689,3.686
13,157.64444,165.165,3.654,3.684
14,149.2111,164.025,3.654,3.681
15,165.03337,164.093,3.689,3.682
16,122.022194,161.463,3.689,3.682
17,136.34444,159.986,3.689,3.683
18,178.03331,160.988,3.689,3.683
19,143.56667,160.071,3.689,3.683
20,261.40002,165.138,3.654,3.682
21,177.66664,165.734,3.654,3.681
22,224.52228,168.407,3.654,3.679
23,170.14444,168.482,3.689,3.68
24,226.9778,170.919,3.689,3.68
25,161.2556,170.533,3.689,3.681
26,139.67778,169.346,3.689,3.681
27,176.1222,169.597,3.654,3.68
28,200.93335,170.716,3.689,3.68
29,176.2667,170.908,3.654,3.679
30,223.43336,172.658,3.689,3.68
31,223.1444,174.287,3.62,3.678
32,195.46663,174.949,3.689,3.678
33,112.24443,173.049,3.689,3.678
34,146.90002,172.28,3.654,3.678
35,147.5889,171.574,3.654,3.677
36,156.0,171.142,3.689,3.677
37,143.93332,170.406,3.689,3.678
38,183.64447,170.755,3.689,3.678
39,151.06667,170.25,3.654,3.677
40,173.21109,170.324,3.654,3.677
41,152.93335,169.9,3.689,3.677
42,156.43335,169.579,3.689,3.677
43,113.79999,168.282,3.689,3.678
44,176.99998,168.48,3.689,3.678
45,125.65553,167.528,3.689,3.678
46,194.71109,168.119,3.689,3.678
47,194.09998,168.672,3.689,3.679
48,225.7555,169.861,3.689,3.679
49,139.61111,169.244,3.689,3.679
50,170.81114,169.275,3.689,3.679
51,184.92221,169.582,3.689,3.679
52,125.26667,168.73,3.689,3.68
53,137.23334,168.136,3.654,3.679
54,89.43336,166.678,3.689,3.679
55,215.08893,167.558,3.689,3.679
56,82.46668,166.039,3.689,3.68
57,180.42223,166.291,3.689,3.68
58,199.65555,166.866,3.689,3.68
59,142.2778,166.45,3.689,3.68
60,173.3222,166.564,3.689,3.68
61,89.333336,165.298,3.689,3.68
62,147.48889,165.011,3.689,3.68
63,181.07777,165.266,3.689,3.681
64,112.966675,164.449,3.689,3.681
65,167.23335,164.492,3.689,3.681
66,193.97777,164.938,3.689,3.681
67,163.54446,164.918,3.689,3.681
68,134.15555,164.465,3.689,3.681
69,172.61111,164.583,3.689,3.681
70,162.35555,164.551,3.689,3.681
71,199.62221,165.045,3.654,3.681
72,179.0,165.239,3.689,3.681
73,151.62222,165.053,3.689,3.681
74,129.25557,164.569,3.689,3.681
75,148.8889,164.36,3.689,3.681
76,185.97775,164.644,3.689,3.682
77,200.5889,165.111,3.689,3.682
78,137.29997,164.755,3.654,3.681
79,150.52222,164.574,3.689,3.681
80,133.75555,164.189,3.689,3.682
81,219.88892,164.877,3.689,3.682
82,253.67778,165.96,3.689,3.682
83,98.45555,165.146,3.689,3.682
84,102.411125,164.4,3.689,3.682
85,198.13336,164.796,3.654,3.682
86,180.5889,164.98,3.689,3.682
87,204.0333,165.429,3.689,3.682
88,204.11108,165.869,3.689,3.682
89,154.72223,165.743,3.689,3.682
90,127.6222,165.32,3.62,3.681
91,167.4111,165.343,3.689,3.681
92,167.45558,165.366,3.654,3.681
93,145.27776,165.15,3.689,3.681
94,168.8444,165.189,3.689,3.681
95,173.73332,165.279,3.689,3.681
96,186.9111,165.504,3.689,3.681
97,197.36665,165.833,3.689,3.681
98,244.82222,166.639,3.689,3.681
99,153.2222,166.503,3.689,3.682
100,129.9111,166.137,3.654,3.681
101,123.26667,165.538,3.689,3.681
102,195.55557,166.102,3.689,3.681
103,184.03331,166.748,3.689,3.682
104,189.86673,166.936,3.689,3.682
105,178.7444,166.381,3.689,3.682
106,209.8222,166.683,3.654,3.681
107,173.65555,167.317,3.689,3.681
108,162.92223,166.746,3.689,3.681
109,174.35556,166.654,3.689,3.681
110,138.48888,166.61,3.689,3.681
111,145.27777,166.551,3.689,3.681
112,204.57774,167.048,3.689,3.681
113,147.12224,166.943,3.689,3.682
114,210.16669,167.552,3.689,3.682
115,158.86665,167.491,3.689,3.682
116,187.92218,168.15,3.689,3.682
117,141.14444,168.198,3.689,3.682
118,186.93335,168.287,3.689,3.682
119,138.15555,168.233,3.654,3.682
120,242.7889,168.046,3.654,3.682
121,201.3778,168.284,3.654,3.682
122,169.52223,167.734,3.689,3.682
123,178.8333,167.82,3.654,3.682
124,133.98886,166.891,3.689,3.682
125,234.81113,167.626,3.689,3.682
126,107.77777,167.307,3.689,3.682
127,166.40002,167.21,3.654,3.682
128,158.85556,166.789,3.689,3.682
129,155.1555,166.578,3.689,3.682
130,105.57779,165.399,3.689,3.682
131,87.83335,164.046,3.654,3.682
132,202.45555,164.116,3.654,3.682
133,133.16666,164.325,3.689,3.682
134,177.18889,164.628,3.689,3.682
135,169.04442,164.843,3.62,3.682
136,157.29997,164.856,3.689,3.682
137,110.66665,164.523,3.689,3.682
138,121.522194,163.902,3.689,3.682
139,231.58891,164.707,3.689,3.682
140,206.94441,165.045,3.689,3.683
141,152.27779,165.038,3.689,3.683
142,185.86667,165.332,3.689,3.683
143,201.71115,166.211,3.689,3.683
144,156.11105,166.003,3.689,3.683
145,164.51112,166.391,3.654,3.682
146,170.51111,166.149,3.689,3.682
147,108.088875,165.289,3.689,3.682
148,143.17775,164.463,3.689,3.682
149,194.37778,165.011,3.689,3.682
150,183.0,165.133,3.689,3.682
151,144.0222,164.724,3.689,3.682
152,158.12222,165.052,3.689,3.682
153,195.28891,165.633,3.689,3.683
154,141.85555,166.157,3.689,3.683
155,150.51111,165.511,3.654,3.682
156,159.25555,166.279,3.689,3.682
157,172.73332,166.202,3.689,3.682
158,178.63329,165.992,3.689,3.682
159,175.76666,166.327,3.689,3.682
160,248.60004,167.08,3.654,3.682
161,180.83331,167.995,3.689,3.682
162,201.6889,168.537,3.654,3.682
163,145.84444,168.184,3.654,3.681
164,190.98892,168.965,3.689,3.681
165,133.14444,168.624,3.654,3.681
166,134.35553,168.028,3.689,3.681
167,128.97778,167.682,3.689,3.681
168,190.46664,168.245,3.689,3.681
169,182.59995,168.345,3.689,3.681
170,188.38887,168.605,3.654,3.681
171,147.24443,168.081,3.654,3.681
172,179.76662,168.089,3.689,3.681
