Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,178.78888,178.789,3.689,3.689
2,135.43333,157.111,3.689,3.689
3,199.39995,171.207,3.654,3.677
4,119.111115,158.183,3.62,3.663
5,268.77774,180.302,3.689,3.668
6,198.84447,183.393,3.689,3.672
7,158.65558,179.859,3.689,3.674
8,166.94446,178.244,3.689,3.676
9,188.58885,179.394,3.689,3.677
10,170.77779,178.532,3.654,3.675
11,205.67776,181.0,3.689,3.676
12,236.13335,185.594,3.654,3.674
13,188.6667,185.831,3.689,3.676
14,156.27776,183.72,3.654,3.674
15,181.23335,183.554,3.689,3.675
16,202.3444,184.728,3.689,3.676
17,158.84442,183.206,3.689,3.677
18,122.39998,179.828,3.689,3.677
19,175.12224,179.58,3.689,3.678
20,209.11113,181.057,3.689,3.678
21,126.46667,178.457,3.689,3.679
22,167.82224,177.974,3.689,3.679
23,163.67775,177.352,3.654,3.678
24,88.50001,173.65,3.654,3.677
25,126.12222,171.749,3.689,3.678
26,148.33333,170.848,3.689,3.678
27,222.94443,172.778,3.689,3.679
28,176.03333,172.894,3.689,3.679
29,208.75554,174.131,3.689,3.679
30,219.8444,175.654,3.689,3.68
31,217.14442,176.993,3.689,3.68
32,214.02226,178.15,3.689,3.68
33,170.4778,177.918,3.689,3.68
34,185.55557,178.142,3.689,3.681
35,205.32224,178.919,3.689,3.681
36,157.18889,178.315,3.689,3.681
37,103.53333,176.294,3.689,3.681
38,162.5,175.931,3.654,3.681
39,153.11113,175.346,3.689,3.681
40,117.33334,173.896,3.689,3.681
41,145.60002,173.205,3.689,3.681
42,142.64444,172.478,3.689,3.681
43,234.64442,173.924,3.654,3.681
44,199.41112,174.503,3.689,3.681
45,171.77777,174.442,3.689,3.681
46,199.74443,174.992,3.62,3.68
47,123.24447,173.891,3.689,3.68
48,199.83334,174.432,3.654,3.679
49,167.95557,174.3,3.689,3.68
50,113.16666,173.077,3.689,3.68
51,154.98889,172.722,3.689,3.68
52,163.28888,172.541,3.689,3.68
53,87.055534,170.928,3.654,3.68
54,126.79998,170.111,3.654,3.679
55,155.49997,169.845,3.654,3.679
56,167.77779,169.808,3.689,3.679
57,186.59998,170.103,3.689,3.679
58,170.9444,170.117,3.689,3.679
59,145.3667,169.698,3.689,3.679
60,155.76668,169.466,3.689,3.68
61,120.39998,168.661,3.689,3.68
62,193.14442,169.056,3.654,3.679
63,186.52226,169.333,3.689,3.68
64,220.94446,170.14,3.654,3.679
65,153.27776,169.88,3.689,3.679
66,206.12218,170.429,3.689,3.679
67,223.11115,171.216,3.689,3.68
68,175.67778,171.281,3.654,3.679
69,177.63333,171.373,3.689,3.679
70,133.73332,170.836,3.689,3.679
71,163.27777,170.729,3.689,3.68
72,188.96666,170.983,3.689,3.68
73,196.48889,171.332,3.689,3.68
74,127.97781,170.746,3.689,3.68
75,150.88889,170.481,3.689,3.68
76,168.85558,170.46,3.654,3.68
77,213.23332,171.015,3.689,3.68
78,152.34444,170.776,3.654,3.68
79,164.94444,170.702,3.689,3.68
80,135.33334,170.26,3.689,3.68
81,213.65556,170.796,3.654,3.679
82,179.85555,170.906,3.689,3.68
83,165.16664,170.837,3.689,3.68
84,177.62221,170.918,3.689,3.68
85,192.92224,171.177,3.689,3.68
86,152.52222,170.96,3.62,3.679
87,234.05553,171.685,3.689,3.679
88,123.91108,171.142,3.689,3.679
89,156.64444,170.979,3.689,3.68
