Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,220.9,220.9,3.689,3.689
2,186.82224,203.861,3.689,3.689
3,220.30002,209.341,3.689,3.689
4,116.60001,186.156,3.654,3.68
5,160.1111,180.947,3.689,3.682
6,111.16667,169.317,3.654,3.677
7,271.58887,183.927,3.689,3.679
8,113.24444,175.092,3.689,3.68
9,208.41115,178.794,3.654,3.677
10,171.87778,178.102,3.689,3.678
11,172.6222,177.604,3.654,3.676
12,104.66666,171.526,3.689,3.677
13,166.77777,171.161,3.689,3.678
14,82.11111,164.8,3.689,3.679
15,162.76665,164.664,3.689,3.68
16,210.36665,167.521,3.689,3.68
17,138.32222,165.803,3.689,3.681
18,196.23334,167.494,3.654,3.679
19,218.4889,170.178,3.654,3.678
20,171.31113,170.234,3.689,3.678
21,171.72221,170.305,3.689,3.679
22,196.61111,171.501,3.654,3.678
23,169.76663,171.426,3.689,3.678
24,152.1222,170.621,3.654,3.677
25,161.73332,170.266,3.654,3.676
26,179.37773,170.616,3.689,3.677
27,125.3,168.938,3.654,3.676
28,186.83334,169.577,3.654,3.675
29,173.98889,169.729,3.689,3.676
30,129.9778,168.404,3.654,3.675
31,175.23332,168.624,3.689,3.675
32,88.388885,166.117,3.689,3.676
33,152.6333,165.708,3.689,3.676
34,190.95554,166.451,3.689,3.677
35,202.74445,167.488,3.689,3.677
36,164.58888,167.407,3.689,3.677
37,182.76668,167.823,3.654,3.677
38,180.83337,168.165,3.689,3.677
39,153.79996,167.797,3.689,3.677
40,162.88893,167.674,3.62,3.676
41,228.19998,169.15,3.689,3.676
42,187.86667,169.596,3.689,3.677
43,83.833336,167.601,3.689,3.677
44,127.22223,166.684,3.654,3.676
45,182.7222,167.04,3.689,3.677
46,172.61107,167.161,3.689,3.677
47,112.42225,165.996,3.689,3.677
48,178.14445,166.25,3.689,3.677
49,205.55554,167.052,3.689,3.678
50,139.63336,166.503,3.689,3.678
51,180.09998,166.77,3.654,3.677
52,119.37778,165.859,3.654,3.677
53,218.51112,166.852,3.689,3.677
54,177.08887,167.042,3.689,3.677
55,174.47777,167.177,3.62,3.676
56,188.7556,167.562,3.689,3.677
57,226.8222,168.602,3.689,3.677
58,215.2667,169.406,3.689,3.677
59,165.2222,169.335,3.689,3.677
60,167.59998,169.306,3.654,3.677
61,204.9667,169.891,3.689,3.677
62,204.4778,170.449,3.689,3.677
63,158.04443,170.252,3.689,3.677
64,175.27777,170.331,3.689,3.678
65,197.05557,170.742,3.689,3.678
66,177.81113,170.849,3.654,3.677
67,191.0,171.15,3.689,3.677
68,157.11111,170.943,3.689,3.678
69,178.57779,171.054,3.654,3.677
70,142.67778,170.648,3.654,3.677
71,205.29997,171.136,3.689,3.677
72,257.47778,172.336,3.689,3.677
73,154.31111,172.089,3.689,3.677
74,173.73338,172.111,3.689,3.678
75,206.35555,172.568,3.689,3.678
76,142.20001,172.168,3.689,3.678
77,159.56665,172.004,3.689,3.678
78,169.12222,171.967,3.689,3.678
79,137.29999,171.529,3.689,3.678
80,149.99998,171.259,3.689,3.678
81,184.9555,171.429,3.689,3.679
82,146.23329,171.121,3.689,3.679
83,109.26666,170.376,3.689,3.679
84,192.66666,170.641,3.689,3.679
85,135.76665,170.231,3.689,3.679
86,164.68889,170.167,3.689,3.679
87,205.32224,170.571,3.689,3.679
88,164.31113,170.5,3.689,3.679
89,167.96669,170.471,3.689,3.68
90,184.87778,170.631,3.689,3.68
91,116.77777,170.039,3.689,3.68
92,76.30001,169.021,3.654,3.679
93,158.2111,168.904,3.689,3.68
94,141.95555,168.618,3.689,3.68
95,201.77779,168.967,3.689,3.68
96,87.044426,168.113,3.689,3.68
97,171.15552,168.145,3.654,3.68
98,163.96667,168.102,3.689,3.68
99,205.13332,168.476,3.689,3.68
100,154.8111,168.339,3.689,3.68
101,164.78891,167.778,3.689,3.68
102,126.81109,167.178,3.689,3.68
103,172.91109,166.704,3.689,3.68
104,100.57775,166.544,3.689,3.68
105,132.2222,166.265,3.654,3.68
106,131.98889,166.473,3.689,3.68
107,132.25555,165.08,3.689,3.68
108,167.06668,165.618,3.62,3.68
109,113.2222,164.666,3.689,3.68
110,146.55557,164.413,3.689,3.68
111,125.122215,163.938,3.689,3.68
112,226.0889,165.152,3.654,3.68
113,186.25555,165.347,3.689,3.68
114,189.66667,166.423,3.689,3.68
115,148.5,166.28,3.689,3.68
116,147.80002,165.654,3.654,3.68
117,173.8333,166.01,3.654,3.679
118,106.79999,165.115,3.689,3.68
119,206.24448,164.993,3.654,3.68
120,238.44437,165.664,3.689,3.68
121,168.22221,165.629,3.689,3.68
122,230.16669,165.965,3.689,3.68
123,249.06667,166.758,3.689,3.68
124,158.34444,166.82,3.689,3.68
125,116.64442,166.369,3.689,3.681
126,161.76666,166.193,3.689,3.681
127,180.64445,166.746,3.689,3.681
128,203.42227,166.912,3.689,3.681
129,122.20001,166.394,3.689,3.681
130,217.25557,167.267,3.689,3.682
131,204.34442,167.558,3.689,3.682
132,198.36665,168.658,3.689,3.682
133,218.13326,169.313,3.689,3.682
134,207.77782,169.481,3.689,3.682
135,130.07779,168.755,3.689,3.682
136,140.07777,168.509,3.689,3.682
137,172.01111,168.402,3.654,3.682
138,164.83334,168.242,3.689,3.682
139,199.33331,168.697,3.689,3.682
140,132.4111,168.392,3.689,3.682
141,190.7889,168.018,3.689,3.682
142,100.64446,167.146,3.689,3.682
143,207.90001,168.387,3.689,3.682
144,182.83333,168.943,3.689,3.683
145,141.5444,168.531,3.689,3.683
146,143.53333,168.24,3.62,3.682
147,144.32222,168.559,3.654,3.682
148,127.98886,168.058,3.689,3.682
149,182.46664,167.827,3.689,3.682
150,149.16666,167.922,3.689,3.682
151,170.77782,167.829,3.689,3.682
152,165.22223,168.287,3.689,3.682
153,227.6667,168.379,3.689,3.682
154,184.24442,168.451,3.689,3.682
155,109.588905,167.802,3.689,3.683
156,202.14441,167.936,3.689,3.683
157,216.7333,167.835,3.689,3.683
158,255.52228,168.237,3.689,3.683
159,164.69998,168.232,3.689,3.683
160,163.16666,168.188,3.654,3.683
161,107.84442,167.216,3.689,3.683
162,105.055565,166.222,3.689,3.683
163,182.71104,166.469,3.62,3.682
164,240.12224,167.117,3.689,3.682
165,177.7333,166.924,3.689,3.682
166,96.83334,166.114,3.689,3.683
167,165.88885,165.863,3.689,3.683
168,168.3222,165.975,3.689,3.683
169,194.57784,166.135,3.689,3.683
170,158.23332,166.291,3.689,3.683
171,149.67775,165.735,3.689,3.683
172,120.3,164.363,3.689,3.683
173,147.84444,164.298,3.689,3.683
174,188.63332,164.447,3.689,3.683
175,183.74445,164.221,3.689,3.683
176,181.57774,164.615,3.654,3.683
177,107.577774,164.095,3.62,3.682
178,181.99997,164.224,3.689,3.682
179,193.01108,164.781,3.689,3.682
180,167.83331,164.959,3.689,3.682
181,244.82227,165.558,3.689,3.682
182,176.31111,165.859,3.689,3.682
183,197.78888,166.744,3.654,3.682
184,110.04446,165.918,3.654,3.682
185,161.95555,166.18,3.654,3.681
186,149.45557,166.027,3.654,3.681
187,176.07779,165.735,3.689,3.681
188,165.0778,165.742,3.689,3.681
189,95.21111,165.015,3.689,3.681
190,180.68884,164.973,3.689,3.681
191,179.4,165.599,3.689,3.681
192,224.4,167.08,3.689,3.681
193,207.08891,167.569,3.689,3.681
194,148.5,167.634,3.689,3.681
195,282.52225,168.442,3.689,3.681
196,176.98888,169.341,3.654,3.681
197,94.67779,168.577,3.689,3.681
198,224.94447,169.186,3.689,3.681
199,136.66667,168.502,3.654,3.681
200,147.40001,168.428,3.689,3.681
201,179.25552,168.572,3.689,3.681
202,171.98889,169.024,3.689,3.681
203,155.41109,168.849,3.689,3.681
204,160.02219,169.443,3.689,3.681
205,200.64447,170.128,3.689,3.681
206,143.06664,170.238,3.689,3.681
207,207.06664,170.987,3.689,3.681
208,153.30002,170.849,3.689,3.682
209,201.81111,171.735,3.654,3.682
210,187.0222,172.139,3.654,3.681
211,176.37776,172.652,3.689,3.681
212,177.14447,172.163,3.689,3.682
213,204.23334,172.342,3.689,3.682
214,185.36664,172.299,3.689,3.682
215,166.11108,172.475,3.654,3.681
216,127.244446,172.27,3.689,3.682
217,203.83334,172.57,3.689,3.682
218,162.13332,173.123,3.689,3.682
219,202.41112,173.085,3.689,3.682
220,235.11107,173.052,3.689,3.682
221,148.30005,172.852,3.689,3.682
222,176.35559,172.314,3.689,3.682
223,152.0778,171.344,3.689,3.682
224,224.31113,172.004,3.689,3.682
225,201.66666,172.854,3.689,3.682
226,131.5222,172.552,3.689,3.682
227,183.23329,172.578,3.689,3.682
228,162.1778,172.165,3.689,3.682
229,164.34445,172.587,3.689,3.682
230,188.9,172.303,3.689,3.682
231,184.38887,172.104,3.689,3.682
232,177.7222,171.897,3.689,3.682
233,169.18889,171.408,3.689,3.682
234,163.68886,170.967,3.689,3.682
