Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,178.97777,178.978,3.689,3.689
2,151.21112,165.094,3.689,3.689
3,227.13332,185.774,3.689,3.689
4,215.27776,193.15,3.689,3.689
5,142.32224,182.984,3.689,3.689
6,155.87776,178.467,3.689,3.689
7,184.14444,179.278,3.689,3.689
8,170.94446,178.236,3.689,3.689
9,135.7222,173.512,3.689,3.689
10,168.07779,172.969,3.689,3.689
11,156.13333,171.438,3.689,3.689
12,165.97775,170.983,3.689,3.689
13,155.74442,169.811,3.689,3.689
14,162.9,169.317,3.689,3.689
15,120.8,166.083,3.689,3.689
16,162.86668,165.882,3.689,3.689
17,194.57776,167.57,3.689,3.689
18,165.6,167.461,3.689,3.689
19,182.51106,168.253,3.689,3.689
20,226.92218,171.186,3.689,3.689
21,189.32219,172.05,3.654,3.687
22,261.53336,176.117,3.689,3.687
23,156.61111,175.269,3.689,3.687
24,122.15554,173.056,3.654,3.686
25,172.37778,173.029,3.689,3.686
26,146.3444,172.003,3.654,3.685
27,151.87776,171.257,3.654,3.684
28,130.93332,169.817,3.689,3.684
29,209.20003,171.175,3.689,3.684
30,143.37775,170.249,3.689,3.684
31,145.84448,169.461,3.689,3.684
32,107.83332,167.535,3.689,3.685
33,169.1778,167.585,3.654,3.684
34,137.95552,166.714,3.689,3.684
35,157.68892,166.456,3.689,3.684
36,195.27779,167.256,3.689,3.684
37,170.03333,167.332,3.689,3.684
38,199.1889,168.17,3.689,3.684
39,181.14442,168.503,3.654,3.684
40,169.31108,168.523,3.689,3.684
41,149.0222,168.047,3.689,3.684
42,110.38891,166.674,3.689,3.684
43,188.55556,167.183,3.689,3.684
44,73.39999,165.052,3.654,3.683
45,170.72223,165.178,3.689,3.683
46,170.11113,165.285,3.689,3.684
47,198.7333,165.997,3.689,3.684
48,154.81111,165.764,3.689,3.684
49,138.00005,165.197,3.689,3.684
50,96.71113,163.827,3.689,3.684
51,205.73334,164.649,3.689,3.684
52,157.36664,164.509,3.689,3.684
53,149.99995,164.235,3.689,3.684
54,213.24446,165.143,3.689,3.684
55,98.37775,163.929,3.689,3.684
56,137.83334,163.463,3.689,3.685
57,149.04446,163.21,3.689,3.685
58,130.62221,162.648,3.62,3.684
59,126.655556,162.038,3.689,3.684
60,207.53326,162.796,3.654,3.683
61,157.77776,162.714,3.689,3.683
62,159.88892,162.668,3.689,3.683
63,157.9,162.593,3.689,3.683
64,112.5333,161.811,3.654,3.683
65,161.55556,161.807,3.689,3.683
66,231.42221,162.861,3.689,3.683
67,183.13335,163.164,3.689,3.683
68,122.700005,162.569,3.689,3.683
69,169.36667,162.667,3.654,3.683
70,170.93336,162.786,3.689,3.683
71,179.10005,163.015,3.689,3.683
72,126.51111,162.508,3.689,3.683
73,206.27779,163.108,3.689,3.683
74,126.76668,162.617,3.689,3.683
75,147.01111,162.409,3.689,3.683
76,172.05557,162.536,3.689,3.683
77,153.69997,162.421,3.689,3.683
78,192.9111,162.812,3.62,3.683
79,155.11111,162.714,3.689,3.683
80,100.84442,161.941,3.654,3.682
81,200.9889,162.423,3.689,3.682
82,197.85559,162.855,3.689,3.683
83,155.18886,162.763,3.689,3.683
84,118.922195,162.241,3.654,3.682
85,215.89998,162.872,3.689,3.682
86,188.04445,163.165,3.689,3.682
87,145.0,162.956,3.654,3.682
88,128.69997,162.567,3.654,3.682
89,115.21111,162.035,3.689,3.682
90,216.75558,162.643,3.689,3.682
91,177.47783,162.806,3.689,3.682
92,185.26663,163.05,3.689,3.682
93,142.73332,162.831,3.689,3.682
94,72.666664,161.872,3.689,3.682
95,108.80001,161.314,3.689,3.682
96,115.933304,160.841,3.689,3.682
97,201.06667,161.256,3.689,3.682
98,121.86667,160.854,3.689,3.683
99,219.92221,161.45,3.689,3.683
100,145.83333,161.294,3.689,3.683
101,178.95557,161.294,3.654,3.682
102,141.2,161.194,3.689,3.682
103,147.57776,160.398,3.689,3.682
104,150.73337,159.753,3.654,3.682
105,134.5111,159.675,3.689,3.682
106,241.03334,160.526,3.689,3.682
107,114.89999,159.834,3.689,3.682
108,144.46669,159.569,3.689,3.682
109,172.6333,159.938,3.689,3.682
110,116.01114,159.417,3.689,3.682
111,157.22221,159.428,3.689,3.682
112,222.65555,159.995,3.654,3.682
113,178.36667,160.221,3.689,3.682
114,204.52222,160.638,3.689,3.682
115,172.85555,161.158,3.689,3.682
116,126.25555,160.792,3.689,3.682
117,218.98882,161.036,3.689,3.682
118,150.68889,160.887,3.654,3.681
119,189.68892,160.959,3.654,3.681
120,138.21112,160.072,3.689,3.681
121,93.63333,159.115,3.654,3.681
122,201.69997,158.516,3.689,3.681
123,155.18887,158.502,3.689,3.681
124,193.36668,159.214,3.689,3.681
125,186.4111,159.355,3.689,3.681
126,106.744446,158.959,3.689,3.682
127,149.75555,158.937,3.689,3.682
128,203.63335,159.664,3.689,3.682
129,178.31113,159.356,3.689,3.682
130,179.65558,159.718,3.689,3.682
131,106.20001,159.322,3.689,3.682
132,148.56665,159.729,3.689,3.682
133,135.59998,159.393,3.689,3.682
134,214.04439,160.154,3.689,3.682
135,190.66664,160.484,3.689,3.682
136,178.01112,160.311,3.654,3.682
137,184.32224,160.454,3.689,3.682
138,186.5667,160.328,3.689,3.682
139,199.49997,160.512,3.654,3.682
140,136.41107,160.183,3.689,3.682
141,102.16666,159.714,3.689,3.682
142,170.9,160.319,3.689,3.682
143,125.1444,159.685,3.689,3.682
144,205.97781,161.011,3.62,3.682
145,195.93336,161.263,3.689,3.682
146,148.5889,161.048,3.689,3.682
147,172.0444,160.781,3.689,3.682
148,217.73334,161.41,3.689,3.682
149,140.29999,161.433,3.689,3.682
150,228.64442,162.752,3.689,3.682
151,165.4111,162.349,3.689,3.682
152,150.9222,162.285,3.654,3.681
153,134.89996,162.134,3.689,3.681
154,161.85558,161.62,3.689,3.681
155,177.3889,162.41,3.689,3.681
156,139.42224,162.426,3.689,3.681
157,203.21107,162.968,3.689,3.681
158,163.33331,163.295,3.689,3.682
159,205.99998,164.088,3.689,3.682
160,165.27776,163.666,3.689,3.682
161,196.18889,164.05,3.654,3.682
162,195.86667,164.409,3.689,3.682
163,179.02222,164.621,3.62,3.681
164,201.81113,165.513,3.689,3.682
165,132.02225,165.218,3.689,3.682
166,250.63329,165.41,3.689,3.682
167,162.77779,165.207,3.689,3.682
168,151.58885,165.496,3.689,3.682
169,201.76666,165.82,3.689,3.682
170,215.21115,166.262,3.689,3.682
171,126.50001,165.736,3.689,3.682
172,243.13327,166.903,3.689,3.682
173,142.87782,166.269,3.689,3.682
174,228.9556,167.29,3.689,3.682
175,99.999985,166.82,3.689,3.682
176,202.15555,167.121,3.689,3.682
177,162.97778,167.214,3.689,3.682
178,203.2,167.317,3.689,3.683
179,89.66667,166.663,3.689,3.683
180,125.75553,166.912,3.689,3.683
181,92.4222,165.826,3.689,3.683
182,114.31109,164.991,3.689,3.683
183,170.01111,165.139,3.689,3.683
184,159.5667,165.545,3.689,3.683
185,250.15555,165.888,3.689,3.683
186,139.66669,165.404,3.689,3.683
187,120.63331,165.16,3.654,3.683
188,145.49998,165.328,3.654,3.683
189,148.73332,165.664,3.689,3.683
190,170.93333,165.205,3.689,3.683
191,209.3,165.524,3.689,3.683
192,174.0,165.411,3.689,3.683
193,188.17778,165.865,3.689,3.683
194,149.0889,166.63,3.689,3.683
195,166.28888,167.204,3.689,3.683
196,194.89996,167.994,3.689,3.683
197,187.23332,167.856,3.689,3.683
198,92.41109,167.561,3.62,3.683
199,114.04443,166.502,3.689,3.683
200,172.06668,166.765,3.654,3.682
201,123.555534,166.211,3.689,3.683
202,194.51108,166.744,3.689,3.683
203,187.95557,167.148,3.689,3.683
204,177.35551,167.414,3.689,3.683
205,213.43332,168.203,3.689,3.683
206,117.1111,166.964,3.689,3.683
207,195.01108,167.765,3.689,3.683
208,145.94444,167.78,3.689,3.683
209,231.07774,168.364,3.654,3.683
210,182.66667,169.031,3.689,3.683
211,244.72223,169.906,3.689,3.683
212,121.33334,168.893,3.606,3.682
213,130.6,168.415,3.689,3.682
214,113.26667,167.502,3.654,3.682
215,157.95557,167.353,3.689,3.682
216,187.30002,167.964,3.689,3.682
217,143.17776,167.206,3.689,3.682
218,186.92221,167.568,3.689,3.682
219,190.03336,167.571,3.689,3.683
220,138.97778,167.579,3.689,3.683
221,165.1889,168.295,3.654,3.683
222,147.62222,167.754,3.689,3.683
223,128.46669,167.487,3.689,3.683
224,180.16663,167.355,3.654,3.682
225,159.38895,167.084,3.689,3.682
226,135.33333,167.37,3.689,3.682
227,138.54442,167.258,3.689,3.682
228,210.5,167.327,3.689,3.682
229,104.67778,166.591,3.689,3.682
230,138.06665,166.175,3.689,3.682
231,237.46663,167.487,3.689,3.682
232,232.97775,168.331,3.689,3.682
233,202.33333,168.999,3.689,3.682
234,214.74445,169.006,3.689,3.682
235,138.6222,168.485,3.689,3.682
236,126.07779,167.966,3.689,3.683
237,190.14444,168.024,3.689,3.683
238,176.11111,167.92,3.689,3.683
239,208.11107,168.006,3.689,3.683
240,130.66667,167.948,3.654,3.683
241,160.46666,168.531,3.689,3.683
242,134.3111,168.165,3.689,3.683
243,178.02222,168.694,3.689,3.683
244,208.33333,168.718,3.654,3.683
245,140.93333,168.168,3.689,3.683
246,214.00003,168.822,3.62,3.682
247,153.48888,168.636,3.689,3.682
248,156.65555,168.026,3.689,3.682
249,151.73335,168.14,3.689,3.682
250,189.14447,167.745,3.689,3.682
251,162.58888,167.717,3.689,3.682
252,178.9222,167.997,3.689,3.683
253,158.84445,168.236,3.689,3.683
254,184.57777,168.463,3.689,3.683
255,146.2111,168.152,3.654,3.682
256,164.6111,168.403,3.689,3.682
257,208.14441,168.453,3.689,3.682
258,185.44443,168.674,3.654,3.682
259,190.42218,168.518,3.689,3.682
260,152.3222,168.389,3.62,3.681
261,233.4,168.761,3.689,3.681
262,103.55554,167.838,3.689,3.681
263,117.9889,167.227,3.62,3.681
264,177.70001,166.986,3.654,3.681
265,202.22217,167.688,3.689,3.681
266,96.57776,166.148,3.654,3.681
267,134.06668,165.86,3.606,3.68
268,188.81107,166.233,3.654,3.68
269,224.0778,166.456,3.689,3.68
270,216.7666,166.471,3.689,3.68
271,166.64445,166.873,3.689,3.68
272,149.12221,165.933,3.689,3.68
273,161.51111,166.119,3.689,3.68
274,123.166664,165.061,3.654,3.679
275,155.86667,165.62,3.654,3.679
276,173.5556,165.334,3.689,3.679
277,150.7222,165.211,3.689,3.679
