Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,53.555557,53.556,3.689,3.689
2,39.711117,46.633,3.689,3.689
3,1.4666662,31.578,3.689,3.689
4,55.177784,37.478,3.689,3.689
5,60.44444,42.071,3.654,3.682
6,-6.1777773,34.03,3.689,3.683
7,-8.066669,28.016,3.689,3.684
8,34.22222,28.792,3.654,3.68
9,37.844444,29.798,3.689,3.681
10,9.088887,27.727,3.689,3.682
11,25.955551,27.566,3.689,3.683
12,23.133335,27.196,3.689,3.683
13,24.866663,27.017,3.654,3.681
14,28.444443,27.119,3.689,3.681
15,18.111107,26.519,3.654,3.68
16,49.244434,27.939,3.689,3.68
17,4.622221,26.567,3.689,3.681
18,52.80001,28.025,3.689,3.681
19,49.199997,29.139,3.654,3.68
20,28.777779,29.121,3.689,3.68
21,41.48889,29.71,3.62,3.677
22,48.53333,30.566,3.654,3.676
23,47.97778,31.323,3.62,3.674
24,38.44445,31.619,3.247,3.656
25,63.022217,32.876,3.55,3.652
26,70.66667,34.329,3.308,3.639
27,64.244446,35.437,3.468,3.632
28,76.95555,36.92,3.254,3.619
29,59.91111,37.713,3.377,3.61
30,65.755554,38.647,3.301,3.6
31,60.555553,39.354,3.212,3.588
32,79.59999,40.612,3.175,3.575
33,37.355556,40.513,3.176,3.563
34,93.64445,42.076,3.342,3.556
35,92.46667,43.516,3.336,3.55
36,71.600006,44.296,3.197,3.54
37,73.26668,45.079,3.26,3.532
38,78.622215,45.961,3.21,3.524
39,97.4222,47.281,3.385,3.52
40,74.733345,47.967,3.21,3.513
41,95.977776,49.138,3.219,3.506
42,87.044426,50.041,3.238,3.499
43,95.53334,51.099,3.247,3.493
44,83.73333,51.84,3.024,3.483
45,84.533325,52.567,3.329,3.479
46,117.64444,53.982,3.212,3.473
47,89.62222,54.74,3.095,3.465
48,75.26667,55.168,3.225,3.46
49,79.2,55.658,3.351,3.458
50,106.48891,56.675,3.0,3.449
51,82.4889,57.181,3.13,3.443
52,88.2889,57.779,3.033,3.435
53,116.644455,58.89,3.301,3.432
54,93.79999,59.536,3.199,3.428
55,121.88887,60.67,3.364,3.427
56,115.26668,61.645,3.212,3.423
57,97.95554,62.282,3.191,3.419
58,100.04445,62.933,3.164,3.415
59,102.73332,63.608,3.247,3.412
