Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,-980.0,-980.0,3.689,3.689
2,-946.0,-963.0,3.689,3.689
3,-769.0,-898.333,3.689,3.689
4,-941.0,-909.0,3.689,3.689
5,-1040.0,-935.2,3.689,3.689
6,-1058.0,-955.667,3.689,3.689
7,-989.0,-960.429,3.689,3.689
8,-799.0,-940.25,3.689,3.689
9,-811.0,-925.889,3.689,3.689
10,-960.0,-929.3,3.654,3.685
11,-886.0,-925.364,3.654,3.683
12,-903.0,-923.5,3.689,3.683
13,-781.0,-912.538,3.689,3.684
14,-875.0,-909.857,3.689,3.684
15,-992.0,-915.333,3.654,3.682
16,-1067.0,-924.812,3.654,3.68
17,-1203.0,-941.176,3.689,3.681
18,-758.0,-931.0,3.689,3.681
19,-971.0,-933.105,3.654,3.68
20,-786.0,-925.75,3.689,3.68
21,-977.0,-928.19,3.689,3.681
22,-924.0,-928.0,3.689,3.681
23,-1052.0,-933.391,3.689,3.681
24,-805.0,-928.042,3.689,3.682
25,-879.0,-926.08,3.689,3.682
26,-798.0,-921.154,3.62,3.68
27,-803.0,-916.778,3.689,3.68
28,-685.0,-908.5,3.689,3.68
29,-871.0,-907.207,3.654,3.679
30,-832.0,-904.7,3.654,3.678
31,-874.0,-903.71,3.689,3.679
32,-868.0,-902.594,3.689,3.679
33,-690.0,-896.152,3.689,3.679
34,-1001.0,-899.235,3.516,3.675
35,-790.0,-896.114,3.446,3.668
36,-820.0,-894.0,3.087,3.652
37,-881.0,-893.649,2.917,3.632
38,-709.0,-888.79,2.963,3.614
39,-966.0,-890.769,1.97,3.572
40,-736.0,-886.9,2.52,3.546
41,-701.0,-882.366,2.116,3.511
42,-779.0,-879.905,2.217,3.48
43,-808.0,-878.233,1.87,3.443
44,-761.0,-875.568,1.952,3.409
45,-763.0,-873.067,2.302,3.384
46,-916.0,-874.0,2.365,3.362
47,-937.0,-875.34,2.221,3.338
48,-816.0,-874.104,2.174,3.314
49,-792.0,-872.429,2.106,3.289
50,-839.0,-871.76,2.46,3.272
51,-792.0,-870.196,2.211,3.252
52,-831.0,-869.442,1.846,3.225
53,-787.0,-867.887,1.855,3.199
54,-747.0,-865.648,2.386,3.184
55,-768.0,-863.873,2.306,3.168
56,-731.0,-861.5,2.213,3.151
57,-725.0,-859.105,1.988,3.13
58,-801.0,-858.103,2.526,3.12
59,-698.0,-855.39,2.104,3.103
60,-781.0,-854.15,2.385,3.091
61,-692.0,-851.492,2.287,3.078
62,-788.0,-850.468,1.539,3.053
63,-811.0,-849.841,1.829,3.033
64,-759.0,-848.422,1.967,3.017
65,-725.0,-846.523,2.289,3.005
66,-775.0,-845.439,2.093,2.992
67,-730.0,-843.716,2.342,2.982
68,-761.0,-842.5,2.269,2.971
69,-757.0,-841.261,2.173,2.96
70,-751.0,-839.971,2.579,2.954
71,-713.0,-838.183,2.059,2.942
72,-711.0,-836.417,2.272,2.933
73,-730.0,-834.959,2.429,2.926
74,-793.0,-834.392,2.498,2.92
75,-777.0,-833.627,2.436,2.913
76,-816.0,-833.395,1.994,2.901
77,-761.0,-832.454,2.246,2.893
78,-758.0,-831.5,2.241,2.884
79,-843.0,-831.646,3.058,2.887
80,-770.0,-830.875,2.692,2.884
81,-780.0,-830.247,2.471,2.879
82,-820.0,-830.122,2.553,2.875
83,-779.0,-829.506,2.681,2.873
84,-826.0,-829.464,2.332,2.866
85,-792.0,-829.024,2.63,2.864
86,-760.0,-828.221,2.432,2.859
