Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,-836.0,-836.0,3.689,3.689
2,-846.0,-841.0,3.689,3.689
3,-932.0,-871.333,3.689,3.689
4,-846.0,-865.0,3.689,3.689
5,-851.0,-862.2,3.689,3.689
6,-770.0,-846.833,3.689,3.689
7,-974.0,-865.0,3.689,3.689
8,-874.0,-866.125,3.689,3.689
9,-774.0,-855.889,3.654,3.685
10,-992.0,-869.5,3.689,3.685
11,-977.0,-879.273,3.689,3.686
12,-1000.0,-889.333,3.689,3.686
13,-897.0,-889.923,3.689,3.686
14,-891.0,-890.0,3.689,3.686
15,-1114.0,-904.933,3.689,3.687
16,-1106.0,-917.5,3.689,3.687
17,-1041.0,-924.765,3.654,3.685
18,-892.0,-922.944,3.689,3.685
19,-1066.0,-930.474,3.689,3.685
20,-1038.0,-935.85,3.654,3.684
21,-929.0,-935.524,3.689,3.684
22,-792.0,-929.0,3.689,3.684
23,-1216.0,-941.478,3.689,3.684
24,-891.0,-939.375,3.689,3.685
25,-861.0,-936.24,3.689,3.685
26,-803.0,-931.115,3.689,3.685
27,-856.0,-928.333,3.689,3.685
28,-822.0,-924.536,3.689,3.685
29,-905.0,-923.862,3.55,3.681
30,-1126.0,-930.6,3.689,3.681
31,-904.0,-929.742,3.654,3.68
32,-814.0,-926.125,3.689,3.68
33,-891.0,-925.061,3.689,3.68
34,-991.0,-927.0,3.689,3.681
35,-873.0,-925.457,3.689,3.681
36,-551.0,-915.056,3.314,3.671
37,-607.0,-906.73,3.08,3.655
38,-610.0,-898.921,3.08,3.64
39,-329.0,-884.308,2.279,3.605
40,-331.0,-870.475,2.136,3.568
41,-281.0,-856.098,1.993,3.53
42,-345.0,-843.929,2.501,3.505
43,-431.0,-834.326,2.541,3.483
44,-388.0,-824.182,2.872,3.469
45,-269.0,-811.844,2.479,3.447
46,-627.0,-807.826,2.973,3.437
47,-489.0,-801.043,3.117,3.43
48,-464.0,-794.021,3.0,3.421
49,-574.0,-789.531,3.047,3.413
50,-513.0,-784.0,2.935,3.404
51,-427.0,-777.0,2.635,3.389
52,-396.0,-769.673,2.483,3.371
53,-485.0,-764.302,2.396,3.353
54,-445.0,-758.389,2.462,3.336
55,-515.0,-753.964,2.327,3.318
56,-379.0,-747.268,2.207,3.298
57,-332.0,-739.982,2.056,3.276
58,-358.0,-733.397,1.609,3.247
59,-366.0,-727.17,2.128,3.229
60,-371.0,-721.233,1.927,3.207
61,-416.0,-716.23,2.289,3.192
62,-322.0,-709.871,1.91,3.171
63,-339.0,-703.984,1.715,3.148
64,-296.0,-697.609,1.84,3.128
65,-318.0,-691.769,2.118,3.112
66,-434.0,-687.864,2.149,3.097
67,-367.0,-683.075,1.673,3.076
68,-300.0,-677.441,1.605,3.055
69,-357.0,-672.797,2.029,3.04
70,-302.0,-667.5,1.521,3.018
71,-357.0,-663.127,1.794,3.001
72,-291.0,-657.958,1.877,2.985
73,-267.0,-652.603,1.443,2.964
74,-283.0,-647.608,1.768,2.948
75,-252.0,-642.333,1.442,2.928
76,-303.0,-637.868,1.228,2.905
77,-376.0,-634.468,1.435,2.886
78,-230.0,-629.282,1.523,2.869
79,-211.0,-623.987,1.395,2.85
80,-389.0,-621.05,1.965,2.839
81,-329.0,-617.444,1.91,2.828
82,-238.0,-612.817,1.826,2.815
83,-384.0,-610.06,1.926,2.805
84,-372.0,-607.226,2.178,2.797
85,-389.0,-604.659,2.016,2.788
86,-449.0,-602.849,1.947,2.778
87,-299.0,-599.356,1.627,2.765
88,-294.0,-595.886,1.516,2.751
89,-328.0,-592.876,1.809,2.74
90,-236.0,-588.911,1.735,2.729
91,-255.0,-585.242,1.299,2.713
92,-230.0,-581.38,1.745,2.703
93,-239.0,-577.699,1.486,2.69
94,-262.0,-574.34,1.606,2.678
95,-384.0,-572.337,1.829,2.669
96,-210.0,-568.562,1.284,2.655
97,-244.0,-565.216,1.519,2.643
98,-263.0,-562.133,1.374,2.63
99,-260.0,-559.081,1.74,2.621
100,-201.0,-555.5,0.993,2.605
101,-201.0,-549.15,1.389,2.582
102,-218.0,-542.87,1.69,2.562
103,-195.0,-535.5,1.175,2.537
104,-274.0,-529.78,1.455,2.514
105,-242.0,-523.69,1.465,2.492
106,-231.0,-518.3,1.678,2.472
107,-231.0,-510.87,1.334,2.449
108,-193.0,-504.06,1.177,2.423
109,-232.0,-498.64,1.387,2.401
110,-232.0,-491.04,1.418,2.378
111,-184.0,-483.11,1.49,2.356
112,-183.0,-474.94,1.399,2.333
113,-208.0,-468.05,1.326,2.31
114,-183.0,-460.97,1.154,2.284
115,-226.0,-452.09,1.204,2.259
116,-301.0,-444.04,1.657,2.239
117,-179.0,-435.42,1.276,2.215
118,-220.0,-428.7,1.479,2.193
119,-235.0,-420.39,1.52,2.171
120,-265.0,-412.66,1.837,2.153
121,-257.0,-405.94,1.735,2.134
122,-193.0,-399.95,1.547,2.112
123,-259.0,-390.38,1.892,2.094
124,-273.0,-384.2,1.948,2.077
125,-224.0,-377.83,1.761,2.058
126,-277.0,-372.57,1.899,2.04
127,-219.0,-366.2,1.951,2.022
128,-209.0,-360.07,1.932,2.005
129,-239.0,-353.41,1.977,1.989
130,-214.0,-344.29,2.122,1.973
131,-254.0,-337.79,2.181,1.959
132,-234.0,-331.99,2.139,1.943
133,-314.0,-326.22,2.011,1.926
134,-209.0,-318.4,2.087,1.91
135,-189.0,-311.56,1.944,1.893
136,-204.0,-308.09,1.745,1.877
137,-294.0,-304.96,2.062,1.867
138,-234.0,-301.2,1.669,1.853
139,-269.0,-300.6,2.129,1.851
140,-227.0,-299.56,1.665,1.847
141,-234.0,-299.09,2.071,1.848
142,-190.0,-297.54,1.9,1.842
143,-214.0,-295.37,1.614,1.832
144,-173.0,-293.22,1.756,1.821
145,-187.0,-292.4,1.864,1.815
146,-138.0,-287.51,1.914,1.804
147,-167.0,-284.29,1.793,1.791
148,-192.0,-281.57,1.889,1.78
149,-228.0,-278.11,1.961,1.769
