Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,-773.0,-773.0,3.689,3.689
2,-834.0,-803.5,3.689,3.689
3,-728.0,-778.333,3.689,3.689
4,-826.0,-790.25,3.689,3.689
5,-913.0,-814.8,3.689,3.689
6,-810.0,-814.0,3.689,3.689
7,-952.0,-833.714,3.689,3.689
8,-1038.0,-859.25,3.689,3.689
9,-986.0,-873.333,3.689,3.689
10,-861.0,-872.1,3.654,3.685
11,-757.0,-861.636,3.689,3.686
12,-1031.0,-875.75,3.689,3.686
13,-983.0,-884.0,3.654,3.684
14,-1020.0,-893.714,3.689,3.684
15,-854.0,-891.067,3.689,3.684
16,-1028.0,-899.625,3.689,3.685
17,-810.0,-894.353,3.689,3.685
18,-737.0,-885.611,3.689,3.685
19,-1321.0,-908.526,3.689,3.685
20,-1052.0,-915.7,3.689,3.685
21,-892.0,-914.571,3.689,3.686
22,-782.0,-908.546,3.654,3.684
23,-928.0,-909.391,3.654,3.683
24,-792.0,-904.5,3.654,3.682
25,-762.0,-898.8,3.689,3.682
26,-844.0,-896.692,3.689,3.682
27,-1009.0,-900.852,3.654,3.681
28,-827.0,-898.214,3.654,3.68
29,-778.0,-894.069,3.385,3.67
30,-662.0,-886.333,3.654,3.67
31,-768.0,-882.516,3.689,3.67
32,-777.0,-879.219,3.689,3.671
33,-786.0,-876.394,3.62,3.669
34,-913.0,-877.471,3.62,3.668
35,-718.0,-872.914,3.364,3.659
36,-599.0,-865.306,2.594,3.629
37,-564.0,-857.162,2.407,3.596
38,-642.0,-851.5,2.168,3.559
39,-613.0,-845.385,2.338,3.528
40,-646.0,-840.4,2.457,3.501
41,-587.0,-834.22,2.193,3.469
42,-528.0,-826.929,2.186,3.438
43,-582.0,-821.233,2.024,3.405
44,-479.0,-813.454,1.923,3.372
45,-595.0,-808.6,1.949,3.34
46,-487.0,-801.609,1.919,3.309
47,-518.0,-795.574,1.837,3.278
48,-460.0,-788.583,1.38,3.238
49,-472.0,-782.122,1.742,3.208
50,-487.0,-776.22,2.04,3.184
51,-518.0,-771.157,2.202,3.165
52,-508.0,-766.096,2.037,3.144
53,-579.0,-762.566,2.192,3.126
54,-535.0,-758.352,2.169,3.108
55,-516.0,-753.945,2.296,3.093
56,-485.0,-749.143,2.163,3.077
57,-444.0,-743.79,1.978,3.057
58,-475.0,-739.155,2.197,3.042
59,-522.0,-735.475,1.976,3.024
60,-455.0,-730.8,2.147,3.01
61,-462.0,-726.393,1.724,2.989
62,-532.0,-723.258,1.967,2.972
63,-472.0,-719.27,1.504,2.949
64,-480.0,-715.531,1.596,2.928
65,-467.0,-711.708,1.552,2.907
66,-475.0,-708.121,1.866,2.891
67,-397.0,-703.478,1.871,2.876
68,-419.0,-699.294,1.868,2.861
69,-434.0,-695.449,1.724,2.844
70,-396.0,-691.171,2.007,2.832
71,-435.0,-687.563,1.847,2.818
72,-432.0,-684.014,2.168,2.809
73,-441.0,-680.685,2.242,2.802
74,-402.0,-676.919,1.991,2.791
75,-463.0,-674.067,2.316,2.784
76,-441.0,-671.0,1.745,2.771
77,-468.0,-668.364,2.3,2.765
78,-331.0,-664.038,2.155,2.757
79,-443.0,-661.24,2.356,2.752
80,-407.0,-658.062,1.998,2.742
81,-410.0,-655.0,1.949,2.732
82,-495.0,-653.049,2.245,2.726
83,-443.0,-650.518,2.209,2.72
84,-364.0,-647.107,1.908,2.711
85,-358.0,-643.706,1.837,2.7
86,-411.0,-641.0,2.185,2.694
87,-498.0,-639.356,2.317,2.69
88,-361.0,-636.193,1.8,2.68
89,-376.0,-633.27,1.566,2.667
90,-412.0,-630.811,1.668,2.656
91,-432.0,-628.626,2.134,2.651
92,-362.0,-625.728,1.932,2.643
93,-363.0,-622.903,1.947,2.635
94,-381.0,-620.33,2.12,2.63
95,-366.0,-617.653,1.984,2.623
96,-341.0,-614.771,1.739,2.614
97,-424.0,-612.804,2.22,2.61
98,-399.0,-610.622,2.308,2.607
99,-422.0,-608.717,2.471,2.605
100,-434.0,-606.97,2.187,2.601
101,-342.0,-602.66,1.909,2.583
102,-297.0,-597.29,2.068,2.567
103,-336.0,-593.37,2.233,2.552
104,-419.0,-589.3,2.129,2.537
105,-433.0,-584.5,2.189,2.522
106,-380.0,-580.2,2.377,2.509
107,-394.0,-574.62,2.345,2.495
108,-435.0,-568.59,1.984,2.478
109,-344.0,-562.17,2.079,2.462
110,-358.0,-557.14,2.126,2.447
111,-430.0,-553.87,2.257,2.433
112,-316.0,-546.72,2.307,2.419
113,-335.0,-540.24,1.867,2.401
114,-409.0,-534.13,2.088,2.385
115,-346.0,-529.05,2.328,2.371
116,-359.0,-522.36,1.96,2.354
