Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,-885.0,-885.0,3.689,3.689
2,-966.0,-925.5,3.689,3.689
3,-850.0,-900.333,3.689,3.689
4,-923.0,-906.0,3.689,3.689
5,-864.0,-897.6,3.689,3.689
6,-911.0,-899.833,3.689,3.689
7,-870.0,-895.571,3.689,3.689
8,-984.0,-906.625,3.689,3.689
9,-962.0,-912.778,3.689,3.689
10,-1000.0,-921.5,3.689,3.689
11,-887.0,-918.364,3.654,3.686
12,-988.0,-924.167,3.654,3.683
13,-823.0,-916.385,3.654,3.681
14,-978.0,-920.786,3.654,3.679
15,-791.0,-912.133,3.689,3.68
16,-979.0,-916.312,3.689,3.68
17,-897.0,-915.176,3.689,3.681
18,-975.0,-918.5,3.689,3.681
19,-928.0,-919.0,3.654,3.68
20,-955.0,-920.8,3.689,3.68
21,-913.0,-920.429,3.62,3.677
22,-1048.0,-926.227,3.689,3.678
23,-1009.0,-929.826,3.689,3.678
24,-878.0,-927.667,3.654,3.677
25,-1078.0,-933.68,3.689,3.678
26,-752.0,-926.692,3.689,3.678
27,-677.0,-917.444,3.689,3.679
28,-790.0,-912.893,3.689,3.679
29,-812.0,-909.414,3.689,3.679
30,-873.0,-908.2,3.689,3.68
31,-950.0,-909.548,3.689,3.68
32,-903.0,-909.344,3.689,3.68
33,-999.0,-912.061,3.689,3.68
34,-766.0,-907.765,3.689,3.681
35,-917.0,-908.029,3.689,3.681
36,-1001.0,-910.611,3.689,3.681
37,-720.0,-905.46,3.689,3.681
38,-796.0,-902.579,3.654,3.681
39,-934.0,-903.385,3.689,3.681
40,-890.0,-903.05,3.689,3.681
41,-669.0,-897.342,3.55,3.678
42,-945.0,-898.476,3.348,3.67
43,-812.0,-896.465,2.83,3.65
44,-880.0,-896.091,2.671,3.628
45,-753.0,-892.911,2.414,3.601
46,-726.0,-889.283,2.891,3.586
47,-769.0,-886.723,2.449,3.562
48,-756.0,-884.0,3.489,3.56
49,-880.0,-883.918,3.231,3.553
50,-814.0,-882.52,3.046,3.543
51,-873.0,-882.333,2.688,3.526
52,-948.0,-883.596,3.013,3.517
53,-957.0,-884.981,2.419,3.496
54,-970.0,-886.556,2.812,3.483
55,-866.0,-886.182,2.371,3.463
