Episode,Reward,RewardMovingAvg,Entropy,EntropyMovingAvg
1,-394.0,-394.0,3.689,3.689
2,-535.0,-464.5,3.654,3.672
3,-473.0,-467.333,3.689,3.677
4,-496.0,-474.5,3.689,3.68
5,-275.0,-434.6,3.689,3.682
6,-574.0,-457.833,3.689,3.683
7,-538.0,-469.286,3.689,3.684
8,-429.0,-464.25,3.689,3.685
9,-544.0,-473.111,3.689,3.685
10,-469.0,-472.7,3.654,3.682
11,-396.0,-465.727,3.689,3.683
12,-714.0,-486.417,3.689,3.683
13,-533.0,-490.0,3.689,3.684
14,-599.0,-497.786,3.689,3.684
15,-465.0,-495.6,3.689,3.684
16,-520.0,-497.125,3.689,3.685
17,-615.0,-504.059,3.689,3.685
18,-639.0,-511.556,3.654,3.683
19,-247.0,-497.632,3.689,3.683
20,-594.0,-502.45,3.689,3.684
21,-543.0,-504.381,3.689,3.684
22,-550.0,-506.455,3.654,3.683
23,-556.0,-508.609,3.689,3.683
24,-578.0,-511.5,3.62,3.68
25,-654.0,-517.2,3.689,3.681
26,-557.0,-518.731,3.689,3.681
27,-490.0,-517.667,3.689,3.681
28,-256.0,-508.321,3.689,3.681
29,-354.0,-503.0,3.689,3.682
30,-635.0,-507.4,3.62,3.68
31,-517.0,-507.71,3.689,3.68
32,-525.0,-508.25,3.689,3.68
33,-535.0,-509.061,3.689,3.68
34,-545.0,-510.118,3.689,3.681
35,-429.0,-507.8,3.689,3.681
36,-525.0,-508.278,3.654,3.68
37,-468.0,-507.189,3.654,3.68
38,-480.0,-506.474,3.689,3.68
39,-188.0,-498.308,3.689,3.68
40,-217.0,-491.275,3.606,3.678
41,-443.0,-490.098,3.689,3.678
42,-515.0,-490.69,3.689,3.679
43,-422.0,-489.093,3.689,3.679
44,-554.0,-490.568,3.689,3.679
45,-254.0,-485.311,3.516,3.675
46,-369.0,-482.783,3.606,3.674
47,-384.0,-480.681,3.503,3.67
48,-382.0,-478.625,2.935,3.655
49,-580.0,-480.694,2.826,3.638
50,-496.0,-481.0,3.164,3.629
51,-376.0,-478.941,2.968,3.616
52,-221.0,-473.981,3.281,3.609
53,-457.0,-473.66,3.364,3.605
54,-330.0,-471.0,3.364,3.6
55,-330.0,-468.436,3.316,3.595
56,-224.0,-464.071,3.21,3.588
57,-294.0,-461.088,3.178,3.581
58,-290.0,-458.138,2.976,3.57
59,-438.0,-457.797,2.901,3.559
60,-354.0,-456.067,2.938,3.549
61,-336.0,-454.098,3.134,3.542
62,-318.0,-451.903,2.989,3.533
63,-382.0,-450.794,2.816,3.522
64,-275.0,-448.047,2.504,3.506
65,-380.0,-447.0,2.195,3.486
66,-382.0,-446.015,2.33,3.468
67,-400.0,-445.328,1.664,3.441
68,-299.0,-443.176,2.335,3.425
69,-306.0,-441.188,2.029,3.405
70,-381.0,-440.329,1.931,3.384
71,-333.0,-438.817,2.176,3.367
72,-419.0,-438.542,2.729,3.358
73,-325.0,-436.986,2.551,3.347
74,-418.0,-436.73,2.391,3.334
75,-343.0,-435.48,2.543,3.323
76,-523.0,-436.632,3.013,3.319
77,-377.0,-435.857,2.762,3.312
78,-306.0,-434.192,2.632,3.303
79,-245.0,-431.797,2.515,3.293
80,-294.0,-430.075,2.597,3.285
81,-293.0,-428.383,2.707,3.277
82,-254.0,-426.256,2.749,3.271
83,-206.0,-423.602,2.79,3.265
84,-209.0,-421.048,2.835,3.26
85,-255.0,-419.094,2.789,3.255
86,-280.0,-417.477,3.004,3.252
87,-212.0,-415.115,2.617,3.244
88,-287.0,-413.659,2.588,3.237
89,-221.0,-411.494,2.592,3.23
90,-215.0,-409.311,2.389,3.22
91,-265.0,-407.725,2.796,3.216
92,-179.0,-405.239,2.764,3.211
93,-157.0,-402.57,2.848,3.207
94,-250.0,-400.947,2.573,3.2
95,-222.0,-399.063,2.51,3.193
96,-202.0,-397.01,2.497,3.186
