Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,-310.109,-310.109,1661.27,1661.27,0.0,0.0,0.499,0.499
1000,-222.821,-266.465,916.545,1288.907,0.0,0.0,0.498,0.499
1500,-270.14,-267.69,1156.188,1244.668,0.0,0.0,0.498,0.499
2000,-321.197,-281.067,1981.953,1428.989,0.0,0.0,0.498,0.498
2500,-116.883,-248.23,360.583,1215.308,0.001,0.001,0.497,0.498
3000,-314.77,-259.32,2078.266,1359.134,0.002,0.001,0.497,0.498
3500,-99.427,-236.478,403.303,1222.587,0.001,0.001,0.493,0.497
4000,-294.89,-243.78,1813.048,1296.394,0.002,0.001,0.496,0.497
4500,-43.482,-221.524,48.423,1157.731,0.001,0.001,0.495,0.497
5000,-424.384,-241.81,3311.527,1373.11,0.001,0.001,0.496,0.497
5500,-98.707,-228.801,250.896,1271.091,0.002,0.001,0.495,0.497
6000,-283.221,-233.336,1394.915,1281.41,0.003,0.001,0.496,0.497
6500,-255.295,-235.025,1087.594,1266.501,0.001,0.001,0.497,0.497
7000,-73.993,-223.523,105.868,1183.598,0.002,0.001,0.496,0.497
7500,-140.136,-217.964,399.869,1131.35,0.002,0.001,0.496,0.497
8000,-279.584,-221.815,1352.627,1145.18,0.001,0.001,0.497,0.497
8500,-338.888,-228.702,1976.707,1194.093,0.001,0.001,0.497,0.497
9000,-84.875,-220.711,114.366,1134.108,0.004,0.001,0.497,0.497
9500,-412.196,-230.789,2928.697,1228.56,0.003,0.002,0.497,0.497
10000,-428.108,-240.655,3578.278,1346.046,0.001,0.001,0.496,0.497
10500,-179.684,-237.752,600.061,1310.523,0.002,0.001,0.497,0.497
11000,-175.515,-234.923,764.873,1285.721,0.005,0.002,0.495,0.497
11500,-137.537,-230.689,576.353,1254.879,0.001,0.002,0.494,0.496
12000,-216.005,-230.077,1043.545,1246.073,0.002,0.002,0.496,0.496
12500,-274.883,-231.869,1226.821,1245.303,0.006,0.002,0.497,0.496
13000,-282.646,-233.822,1452.809,1253.284,0.001,0.002,0.497,0.496
13500,-107.352,-229.138,217.44,1214.919,0.002,0.002,0.496,0.496
14000,-383.825,-234.663,2446.27,1258.896,0.004,0.002,0.497,0.496
14500,-105.098,-230.195,396.515,1229.159,0.002,0.002,0.493,0.496
15000,-377.556,-235.107,2402.136,1268.258,0.006,0.002,0.496,0.496
15500,-520.358,-244.309,4758.866,1380.858,0.001,0.002,0.497,0.496
16000,-328.455,-246.938,2108.896,1403.61,0.003,0.002,0.496,0.496
16500,-175.675,-244.779,869.666,1387.429,0.003,0.002,0.493,0.496
17000,-331.052,-247.316,2014.358,1405.869,0.002,0.002,0.496,0.496
17500,-220.371,-246.546,892.711,1391.207,0.006,0.002,0.495,0.496
18000,-207.278,-245.455,858.954,1376.422,0.001,0.002,0.495,0.496
18500,-248.753,-245.545,1601.683,1382.51,0.003,0.002,0.494,0.496
19000,-289.135,-246.692,1783.026,1393.05,0.005,0.002,0.495,0.496
19500,-310.96,-248.34,1724.336,1401.545,0.001,0.002,0.496,0.496
20000,-351.828,-250.927,2170.04,1420.757,0.003,0.002,0.495,0.496
20500,-490.767,-256.776,4920.627,1506.12,0.007,0.002,0.495,0.496
21000,-71.957,-252.376,113.475,1472.961,0.004,0.002,0.494,0.496
21500,-280.397,-253.028,1464.179,1472.757,0.003,0.002,0.495,0.496
22000,-160.39,-250.922,908.845,1459.941,0.004,0.002,0.491,0.496
22500,-216.731,-250.162,954.48,1448.709,0.001,0.002,0.494,0.496
23000,-112.566,-247.171,293.769,1423.601,0.004,0.002,0.493,0.496
23500,-193.975,-246.039,669.401,1407.554,0.002,0.002,0.494,0.496
24000,-314.25,-247.46,2182.45,1423.698,0.003,0.002,0.493,0.496
24500,-351.952,-249.593,2248.646,1440.534,0.003,0.002,0.494,0.496
25000,-143.439,-247.47,595.126,1423.626,0.002,0.002,0.49,0.495
25500,-174.256,-246.034,537.289,1406.246,0.002,0.002,0.494,0.495
26000,-311.604,-247.295,1761.601,1413.08,0.003,0.002,0.494,0.495
26500,-393.09,-250.046,2661.649,1436.638,0.009,0.003,0.494,0.495
27000,-204.214,-249.197,698.237,1422.964,0.003,0.003,0.495,0.495
27500,-280.188,-249.761,1391.789,1422.397,0.002,0.003,0.494,0.495
28000,-170.147,-248.339,943.687,1413.849,0.008,0.003,0.49,0.495
28500,-384.864,-250.734,3131.933,1443.991,0.002,0.003,0.492,0.495
29000,-334.291,-252.175,1834.321,1450.72,0.002,0.003,0.494,0.495
29500,-315.91,-253.255,1718.507,1455.259,0.002,0.003,0.493,0.495
30000,-412.992,-255.918,3219.874,1484.669,0.005,0.003,0.493,0.495
30500,-295.121,-256.56,1830.539,1490.339,0.006,0.003,0.492,0.495
31000,-367.49,-258.349,2597.976,1508.204,0.002,0.003,0.493,0.495
31500,-487.451,-261.986,3910.32,1546.333,0.002,0.003,0.494,0.495
32000,-39.142,-258.504,33.586,1522.697,0.001,0.003,0.492,0.495
32500,-167.354,-257.102,470.7,1506.512,0.002,0.003,0.493,0.495
33000,-321.378,-258.076,2000.688,1514.0,0.011,0.003,0.492,0.495
33500,-363.455,-259.648,2435.805,1527.758,0.018,0.003,0.491,0.495
34000,-382.149,-261.45,2888.49,1547.769,0.007,0.003,0.491,0.495
34500,-336.011,-262.53,2122.386,1556.096,0.003,0.003,0.491,0.495
35000,-485.542,-265.716,4189.039,1593.71,0.006,0.003,0.492,0.495
35500,-39.392,-262.529,243.186,1574.688,0.021,0.003,0.434,0.494
36000,-98.136,-260.245,217.352,1555.837,0.013,0.003,0.489,0.494
36500,55.101,-255.926,89.244,1535.746,0.007,0.004,0.485,0.494
37000,-425.508,-258.217,3248.665,1558.894,0.007,0.004,0.491,0.494
37500,-89.217,-255.964,268.527,1541.689,0.006,0.004,0.482,0.493
38000,-175.916,-254.911,605.473,1529.37,0.001,0.004,0.489,0.493
38500,-294.234,-255.421,1474.649,1528.66,0.002,0.004,0.49,0.493
39000,-351.719,-256.656,2167.543,1536.85,0.004,0.004,0.49,0.493
39500,-290.082,-257.079,1331.316,1534.249,0.006,0.004,0.49,0.493
40000,-246.587,-256.948,1174.007,1529.746,0.002,0.004,0.488,0.493
40500,-436.779,-259.168,3577.819,1555.031,0.013,0.004,0.487,0.493
41000,-228.001,-258.788,938.17,1547.508,0.003,0.004,0.488,0.493
41500,-317.191,-259.492,1647.949,1548.718,0.003,0.004,0.488,0.493
42000,-305.909,-260.044,1812.404,1551.857,0.005,0.004,0.486,0.493
42500,-189.716,-259.217,673.654,1541.525,0.006,0.004,0.485,0.493
43000,-33.499,-256.592,92.73,1524.679,0.012,0.004,0.446,0.492
43500,-169.285,-255.589,658.042,1514.718,0.002,0.004,0.482,0.492
44000,-335.4,-256.496,1822.563,1518.216,0.001,0.004,0.487,0.492
44500,-205.694,-255.925,882.755,1511.076,0.003,0.004,0.483,0.492
45000,-131.892,-254.547,553.72,1500.438,0.007,0.004,0.475,0.492
45500,-343.863,-255.528,2309.442,1509.329,0.002,0.004,0.484,0.492
46000,-222.95,-255.174,936.512,1503.102,0.003,0.004,0.485,0.492
46500,-405.323,-256.789,3334.756,1522.798,0.004,0.004,0.482,0.492
47000,-314.931,-257.407,2245.127,1530.482,0.01,0.004,0.481,0.491
47500,-65.252,-255.384,120.251,1515.637,0.005,0.004,0.475,0.491
48000,-188.159,-254.684,571.542,1505.803,0.004,0.004,0.486,0.491
48500,-242.923,-254.563,1008.411,1500.675,0.002,0.004,0.485,0.491
49000,-274.679,-254.768,1385.81,1499.503,0.005,0.004,0.484,0.491
49500,-212.512,-254.341,722.582,1491.656,0.007,0.004,0.486,0.491
50000,-211.09,-253.909,739.251,1484.131,0.004,0.004,0.485,0.491
50500,-177.039,-252.578,550.76,1473.026,0.002,0.004,0.483,0.491
51000,-472.343,-255.073,3679.145,1500.652,0.007,0.004,0.484,0.491
51500,-50.142,-252.873,195.262,1491.043,0.012,0.004,0.431,0.49
52000,-183.31,-251.495,1011.592,1481.34,0.003,0.004,0.472,0.49
52500,-207.675,-252.402,810.968,1485.843,0.007,0.004,0.48,0.49
53000,-342.915,-252.684,2396.492,1489.026,0.001,0.004,0.479,0.489
53500,-157.301,-253.263,536.288,1490.355,0.003,0.004,0.478,0.489
54000,-241.586,-252.73,1273.316,1484.958,0.001,0.004,0.477,0.489
54500,-396.817,-256.263,2584.281,1510.317,0.003,0.004,0.482,0.489
55000,-305.138,-255.07,1840.552,1495.607,0.006,0.004,0.478,0.489
55500,-270.297,-256.786,1305.074,1506.149,0.002,0.004,0.479,0.489
56000,-237.58,-256.33,1003.801,1502.238,0.004,0.004,0.479,0.488
56500,-70.531,-254.482,171.832,1493.08,0.008,0.004,0.458,0.488
57000,-192.934,-255.672,1134.958,1503.371,0.006,0.004,0.462,0.488
57500,-484.466,-259.115,4088.435,1540.257,0.014,0.004,0.476,0.487
58000,-302.259,-259.342,2246.91,1549.199,0.005,0.005,0.471,0.487
58500,-441.584,-260.369,3652.702,1565.959,0.003,0.005,0.476,0.487
59000,-330.999,-262.83,2613.254,1590.948,0.006,0.005,0.468,0.487
59500,-124.624,-259.954,396.903,1565.63,0.003,0.005,0.466,0.486
60000,-206.848,-257.742,811.543,1537.963,0.007,0.005,0.475,0.486
60500,-254.374,-258.489,1150.415,1543.466,0.003,0.005,0.474,0.486
61000,-229.211,-259.026,928.849,1545.106,0.002,0.005,0.475,0.486
61500,-321.94,-260.87,1678.9,1556.132,0.005,0.005,0.477,0.486
62000,-156.401,-260.274,554.288,1551.239,0.003,0.005,0.468,0.485
62500,-234.173,-259.866,1019.371,1549.165,0.004,0.005,0.473,0.485
63000,-270.036,-259.74,1326.836,1547.905,0.002,0.005,0.473,0.485
63500,-99.441,-259.661,197.689,1547.707,0.007,0.005,0.469,0.484
64000,-341.038,-259.233,2242.833,1545.673,0.001,0.005,0.471,0.484
64500,-329.68,-261.479,2700.319,1568.711,0.009,0.005,0.464,0.484
65000,-190.362,-259.607,753.134,1552.221,0.002,0.005,0.469,0.484
65500,-114.313,-255.547,362.362,1508.256,0.001,0.005,0.458,0.483
66000,-237.586,-254.638,923.772,1496.405,0.008,0.005,0.476,0.483
66500,-189.431,-254.776,550.383,1493.212,0.001,0.005,0.475,0.483
67000,-214.276,-253.608,852.131,1481.59,0.003,0.005,0.471,0.483
67500,-239.908,-253.803,963.783,1482.3,0.005,0.005,0.473,0.482
68000,-362.777,-255.358,2421.8,1497.929,0.005,0.005,0.47,0.482
68500,-130.99,-254.181,378.94,1485.701,0.001,0.005,0.465,0.482
69000,-108.68,-252.376,208.519,1469.956,0.009,0.005,0.473,0.482
69500,-332.717,-252.594,1985.214,1472.565,0.001,0.005,0.471,0.481
70000,-211.677,-251.192,799.347,1458.858,0.002,0.005,0.472,0.481
70500,-134.192,-247.626,472.613,1414.378,0.002,0.005,0.456,0.481
71000,-445.046,-251.357,3392.448,1447.168,0.001,0.005,0.47,0.481
71500,-317.265,-251.726,1633.925,1448.865,0.01,0.005,0.47,0.48
72000,-141.595,-251.538,367.754,1443.454,0.003,0.005,0.468,0.48
72500,-191.507,-251.286,921.388,1443.123,0.001,0.005,0.456,0.48
73000,-53.061,-250.691,55.541,1440.741,0.003,0.005,0.465,0.479
73500,-284.527,-251.596,1417.54,1448.223,0.002,0.005,0.469,0.479
74000,-283.536,-251.289,1451.822,1440.916,0.001,0.005,0.467,0.479
74500,-256.144,-250.331,1342.366,1431.853,0.003,0.005,0.463,0.479
75000,-391.953,-252.816,2527.714,1451.179,0.002,0.005,0.469,0.478
75500,-448.365,-255.557,3720.007,1483.006,0.002,0.005,0.465,0.478
76000,-316.098,-255.602,2124.902,1486.64,0.001,0.005,0.461,0.478
76500,-193.502,-253.606,659.668,1466.62,0.008,0.005,0.464,0.477
77000,-281.6,-254.38,1628.911,1475.926,0.004,0.005,0.461,0.477
77500,-145.983,-253.038,507.249,1467.081,0.001,0.005,0.455,0.477
78000,-153.532,-252.872,621.03,1463.854,0.002,0.005,0.452,0.476
78500,-338.056,-252.404,1782.805,1450.363,0.003,0.005,0.468,0.476
79000,-236.108,-251.422,1002.321,1442.043,0.004,0.005,0.464,0.476
79500,-254.664,-250.81,1185.063,1436.709,0.001,0.005,0.463,0.476
80000,89.21,-245.788,173.187,1406.242,0.005,0.005,0.46,0.475
80500,-352.082,-246.357,2208.825,1410.025,0.005,0.005,0.462,0.475
81000,-253.174,-245.214,1163.428,1395.679,0.001,0.005,0.464,0.475
81500,-425.413,-244.594,2968.12,1386.257,0.006,0.005,0.465,0.474
82000,-454.656,-248.749,3464.563,1420.567,0.003,0.005,0.467,0.474
82500,-289.518,-249.97,1650.797,1432.368,0.006,0.005,0.458,0.474
83000,-146.843,-248.225,363.965,1416.001,0.004,0.005,0.467,0.473
83500,-120.461,-245.795,242.777,1394.07,0.006,0.005,0.468,0.473
84000,-292.99,-244.904,1406.942,1379.255,0.001,0.004,0.467,0.473
84500,-103.696,-242.58,397.299,1362.004,0.001,0.004,0.431,0.472
85000,-322.335,-240.948,1790.805,1338.022,0.006,0.004,0.461,0.472
85500,-366.626,-244.221,2575.161,1361.342,0.002,0.004,0.46,0.472
86000,-288.903,-246.128,1728.343,1376.451,0.002,0.004,0.459,0.472
86500,-132.414,-248.003,289.088,1378.45,0.002,0.004,0.466,0.472
87000,-324.392,-246.992,2436.9,1370.332,0.003,0.004,0.451,0.471
87500,-287.419,-248.974,1443.218,1382.079,0.006,0.004,0.46,0.471
88000,-338.087,-250.596,2052.355,1396.548,0.003,0.004,0.46,0.471
88500,-56.055,-248.214,80.829,1382.61,0.001,0.004,0.447,0.471
89000,-342.484,-248.122,1851.452,1379.449,0.003,0.004,0.464,0.47
89500,-211.204,-247.333,922.449,1375.36,0.002,0.004,0.454,0.47
90000,-293.321,-247.8,1566.438,1379.285,0.004,0.004,0.458,0.47
90500,-497.364,-248.406,4148.949,1384.996,0.002,0.004,0.462,0.469
91000,-83.04,-246.957,159.58,1377.21,0.005,0.004,0.454,0.469
91500,-265.05,-246.435,1153.229,1372.263,0.002,0.004,0.464,0.469
92000,-333.284,-246.709,2023.296,1374.372,0.001,0.004,0.461,0.469
92500,-251.703,-247.329,1053.459,1378.17,0.002,0.004,0.461,0.468
93000,-358.196,-250.576,2309.013,1400.333,0.003,0.004,0.457,0.468
93500,-189.377,-250.777,683.12,1400.583,0.001,0.004,0.458,0.468
94000,-434.147,-251.764,3391.579,1416.273,0.002,0.004,0.458,0.468
94500,-381.525,-253.523,2462.094,1432.067,0.003,0.004,0.459,0.468
95000,-85.537,-253.059,174.393,1428.274,0.002,0.004,0.447,0.467
95500,-473.94,-254.36,3694.51,1442.124,0.002,0.004,0.46,0.467
96000,-122.21,-253.352,394.159,1436.701,0.001,0.004,0.443,0.467
96500,-234.886,-251.648,946.023,1412.813,0.004,0.004,0.458,0.466
97000,-332.382,-251.823,2213.598,1412.498,0.001,0.004,0.455,0.466
97500,-183.426,-253.004,608.37,1417.379,0.001,0.004,0.458,0.466
98000,-27.477,-251.397,34.79,1412.012,0.001,0.004,0.41,0.465
98500,-278.8,-251.756,1236.699,1414.295,0.0,0.004,0.463,0.465
99000,-399.699,-253.006,2672.748,1427.164,0.002,0.003,0.462,0.465
99500,-431.019,-255.191,3398.115,1453.919,0.0,0.003,0.457,0.465
100000,-248.918,-255.57,1023.893,1456.766,0.002,0.003,0.462,0.464
100500,-324.037,-257.04,1827.538,1469.534,0.001,0.003,0.46,0.464
101000,-168.726,-254.004,680.755,1439.55,0.001,0.003,0.447,0.464
101500,-288.953,-256.392,1455.301,1452.15,0.001,0.003,0.458,0.464
102000,-130.004,-255.859,278.415,1444.818,0.001,0.003,0.46,0.464
102500,-293.53,-256.717,1457.013,1451.279,0.001,0.003,0.461,0.464
103000,-367.684,-256.965,2272.716,1450.041,0.002,0.003,0.457,0.463
103500,-272.944,-258.121,1439.569,1459.074,0.002,0.003,0.452,0.463
104000,-233.574,-258.041,1086.973,1457.21,0.001,0.003,0.455,0.463
104500,-182.53,-255.898,670.984,1438.077,0.002,0.003,0.454,0.463
105000,-300.994,-255.857,1775.724,1437.429,0.003,0.003,0.45,0.462
105500,-372.647,-256.88,2258.331,1446.962,0.001,0.003,0.459,0.462
106000,-34.951,-254.854,108.69,1438.011,0.002,0.003,0.352,0.461
106500,-74.054,-254.889,151.66,1437.809,0.001,0.003,0.438,0.461
107000,-245.557,-255.416,932.296,1435.782,0.001,0.003,0.461,0.461
107500,-282.285,-253.394,1468.208,1409.58,0.004,0.003,0.45,0.46
108000,1.897,-250.352,42.612,1387.537,0.002,0.003,0.029,0.456
108500,-332.877,-249.265,2084.727,1371.857,0.001,0.003,0.453,0.456
109000,-192.688,-247.882,716.202,1352.887,0.001,0.003,0.454,0.456
109500,-35.664,-246.992,42.809,1349.346,0.001,0.003,0.424,0.455
110000,-159.043,-246.514,523.683,1346.467,0.001,0.003,0.451,0.455
110500,-327.73,-247.248,1984.742,1354.81,0.0,0.003,0.455,0.455
111000,-378.524,-248.741,2417.425,1369.696,0.001,0.003,0.458,0.455
111500,-243.582,-247.957,1271.329,1365.62,0.002,0.003,0.445,0.454
112000,-282.658,-249.22,1588.836,1375.966,0.001,0.003,0.451,0.454
112500,-156.276,-248.441,509.758,1370.87,0.0,0.003,0.45,0.454
113000,-316.789,-248.909,1556.987,1373.171,0.003,0.003,0.458,0.454
113500,-262.384,-250.538,1384.954,1385.044,0.0,0.002,0.45,0.454
114000,-477.007,-251.898,3891.109,1401.527,0.001,0.002,0.458,0.453
114500,-174.982,-250.351,519.297,1379.717,0.002,0.002,0.46,0.453
115000,-198.64,-250.433,773.593,1379.921,0.002,0.002,0.454,0.453
115500,-230.103,-251.591,969.274,1385.99,0.0,0.002,0.454,0.453
116000,-334.652,-252.562,1929.084,1396.043,0.001,0.002,0.455,0.453
116500,-379.785,-254.466,2628.943,1416.829,0.002,0.002,0.45,0.453
117000,47.667,-251.846,82.752,1409.135,0.001,0.002,0.421,0.452
117500,-234.812,-251.795,1108.911,1410.586,0.002,0.002,0.446,0.452
118000,-179.675,-249.964,691.323,1393.282,0.0,0.002,0.448,0.452
118500,-204.045,-250.695,674.644,1396.239,0.0,0.002,0.458,0.452
119000,-239.477,-252.003,1301.242,1407.166,0.001,0.002,0.445,0.451
119500,-116.632,-249.842,235.667,1389.67,0.001,0.002,0.457,0.451
120000,-155.157,-249.277,605.373,1387.731,0.001,0.002,0.438,0.451
120500,-271.776,-250.652,1241.829,1395.423,0.0,0.002,0.457,0.451
121000,-252.78,-248.73,1413.008,1375.628,0.001,0.002,0.447,0.451
121500,-205.188,-247.609,943.438,1368.724,0.001,0.002,0.443,0.451
122000,-270.834,-248.901,1458.784,1379.634,0.001,0.002,0.451,0.45
122500,-82.668,-247.813,215.252,1372.573,0.0,0.002,0.427,0.45
123000,-213.55,-249.418,749.21,1379.509,0.001,0.002,0.459,0.45
123500,-255.837,-249.131,1212.252,1377.456,0.001,0.002,0.451,0.45
124000,-225.431,-248.55,891.701,1371.855,0.001,0.002,0.453,0.45
124500,-210.789,-248.096,823.511,1366.667,0.001,0.002,0.454,0.45
125000,-93.196,-245.109,301.038,1344.4,0.001,0.002,0.42,0.449
125500,-61.389,-241.239,364.142,1310.841,0.001,0.002,0.335,0.448
126000,-197.034,-240.048,755.473,1297.147,0.0,0.002,0.451,0.448
126500,-217.652,-240.29,746.683,1298.017,0.0,0.002,0.459,0.448
127000,-66.452,-238.138,312.745,1284.855,0.001,0.002,0.366,0.447
127500,-248.157,-239.16,1379.636,1293.579,0.002,0.002,0.439,0.447
128000,-351.178,-241.137,2240.69,1309.776,0.001,0.002,0.45,0.446
128500,-392.856,-241.685,2777.615,1319.724,0.0,0.002,0.453,0.446
129000,30.955,-239.014,40.31,1310.104,0.002,0.002,0.4,0.446
129500,-177.701,-238.244,563.017,1303.883,0.001,0.002,0.451,0.446
130000,-167.94,-240.816,616.368,1308.315,0.003,0.002,0.437,0.445
130500,-337.447,-240.67,2109.277,1307.32,0.001,0.002,0.451,0.445
131000,-332.882,-241.467,1826.852,1313.954,0.001,0.002,0.456,0.445
131500,-376.078,-240.973,2576.987,1310.043,0.0,0.002,0.453,0.445
132000,-306.417,-239.491,1898.649,1294.384,0.0,0.002,0.449,0.445
132500,-438.214,-240.978,3124.854,1309.124,0.002,0.002,0.453,0.445
133000,-128.42,-240.794,362.555,1309.11,0.001,0.002,0.443,0.445
133500,-355.943,-243.148,2294.951,1329.632,0.001,0.001,0.451,0.444
134000,-246.194,-242.68,1032.126,1325.884,0.001,0.001,0.457,0.444
134500,-243.439,-244.078,1127.984,1333.19,0.0,0.001,0.45,0.444
135000,-175.707,-242.612,560.794,1320.89,0.001,0.001,0.455,0.444
135500,-190.618,-240.852,520.386,1300.343,0.003,0.001,0.455,0.444
136000,-206.705,-240.03,753.964,1290.599,0.0,0.001,0.455,0.444
136500,-100.451,-239.71,237.211,1290.08,0.001,0.001,0.438,0.444
137000,-262.543,-239.091,1496.904,1280.68,0.001,0.001,0.443,0.444
137500,-97.492,-237.192,178.612,1268.034,0.0,0.001,0.451,0.444
138000,-160.982,-235.421,434.628,1251.857,0.001,0.001,0.454,0.444
138500,-91.4,-235.775,236.29,1253.411,0.0,0.001,0.429,0.444
139000,-371.878,-236.069,2872.53,1263.622,0.001,0.001,0.451,0.444
139500,-264.722,-236.604,1353.702,1267.935,0.001,0.001,0.445,0.443
140000,-420.67,-237.877,3160.781,1283.878,0.0,0.001,0.452,0.443
140500,-287.612,-235.78,1485.054,1257.239,0.0,0.001,0.454,0.443
141000,-450.501,-239.454,3528.341,1290.927,0.001,0.001,0.452,0.443
