Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,182.186,182.186,596.944,596.944,0.003,0.003,0.496,0.496
1000,21.213,101.699,44.15,320.547,0.013,0.008,0.487,0.491
1500,70.124,91.174,96.121,245.738,0.002,0.006,0.492,0.491
2000,98.762,93.071,157.12,223.583,0.008,0.006,0.49,0.491
2500,177.559,109.969,709.978,320.862,0.001,0.005,0.462,0.485
3000,6.987,92.805,10.652,269.161,0.002,0.005,0.291,0.453
3500,26.152,83.283,27.329,234.613,0.032,0.009,0.469,0.455
4000,95.234,84.777,161.266,225.445,0.009,0.009,0.473,0.458
4500,58.997,81.913,79.461,209.224,0.004,0.008,0.47,0.459
5000,77.451,81.466,133.927,201.695,0.004,0.008,0.46,0.459
5500,147.404,87.461,443.396,223.668,0.003,0.007,0.454,0.459
6000,74.69,86.397,263.844,227.016,0.025,0.009,0.454,0.458
6500,139.681,90.495,434.011,242.938,0.024,0.01,0.476,0.46
7000,110.315,91.911,291.527,246.409,0.008,0.01,0.46,0.46
7500,146.487,95.549,756.789,280.434,0.013,0.01,0.453,0.459
8000,-25.559,87.98,30.639,264.822,0.012,0.01,0.445,0.458
8500,33.76,84.791,55.681,252.52,0.009,0.01,0.441,0.457
9000,134.62,87.559,798.68,282.862,0.026,0.011,0.46,0.457
9500,208.215,93.909,1078.877,324.757,0.006,0.011,0.465,0.458
10000,113.651,94.896,200.287,318.534,0.034,0.012,0.479,0.459
10500,64.107,93.43,197.456,312.768,0.062,0.014,0.459,0.459
11000,98.756,93.672,276.097,311.101,0.003,0.014,0.456,0.459
11500,50.592,91.799,121.268,302.848,0.015,0.014,0.452,0.458
12000,26.213,89.066,32.819,291.597,0.014,0.014,0.459,0.458
12500,-58.768,83.153,63.274,282.464,0.007,0.014,0.458,0.458
13000,90.376,83.431,193.246,279.032,0.001,0.013,0.457,0.458
13500,129.416,85.134,616.285,291.523,0.007,0.013,0.457,0.458
