Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,-0.0,-0.0,9.203,9.203,0.001,0.001,0.791,0.791
1000,0.01,0.005,114.799,62.001,0.0,0.0,0.799,0.795
1500,0.87,0.293,14.285,46.096,0.053,0.018,0.558,0.716
2000,0.428,0.327,2.737,35.256,0.033,0.022,0.353,0.625
2500,-1.14,0.034,12.437,30.692,0.027,0.023,0.789,0.658
3000,-0.0,0.028,6.436,26.649,0.007,0.02,0.763,0.676
3500,-1.846,-0.24,24.44,26.334,0.023,0.021,0.797,0.693
4000,0.664,-0.127,9.734,24.259,0.038,0.023,0.788,0.705
4500,0.222,-0.088,14.164,23.137,0.007,0.021,0.794,0.715
5000,-0.0,-0.079,19.452,22.769,0.0,0.019,0.799,0.723
5500,-0.101,-0.081,13.958,21.968,0.01,0.018,0.794,0.73
6000,-0.28,-0.098,13.4,21.254,0.024,0.019,0.799,0.735
6500,-1.117,-0.176,2.37,19.801,0.173,0.031,0.244,0.698
7000,0.184,-0.15,8.495,18.994,0.01,0.029,0.795,0.704
7500,0.601,-0.1,64.891,22.053,0.009,0.028,0.799,0.711
8000,-0.02,-0.095,5.069,20.992,0.002,0.026,0.795,0.716
8500,-0.077,-0.094,63.834,23.512,0.002,0.025,0.799,0.721
9000,0.142,-0.081,32.202,23.995,0.007,0.024,0.8,0.725
9500,0.123,-0.07,108.407,28.437,0.002,0.023,0.799,0.729
10000,1.731,0.02,54.914,29.761,0.011,0.022,0.798,0.733
10500,-0.757,-0.017,46.728,30.569,0.012,0.022,0.796,0.736
11000,1.571,0.055,6.675,29.483,0.083,0.024,0.784,0.738
11500,-0.289,0.04,28.088,29.423,0.007,0.024,0.795,0.74
12000,1.288,0.092,26.271,29.291,0.063,0.025,0.773,0.742
12500,0.725,0.117,10.274,28.53,0.075,0.027,0.695,0.74
13000,0.143,0.118,10.546,27.839,0.094,0.03,0.546,0.732
13500,-0.798,0.084,5.604,27.015,0.023,0.03,0.778,0.734
14000,0.833,0.111,1.719,26.112,0.087,0.032,0.711,0.733
14500,0.388,0.121,58.524,27.229,0.006,0.031,0.798,0.735
15000,0.801,0.143,2.323,26.399,0.049,0.031,0.751,0.736
15500,-1.829,0.08,62.61,27.567,0.008,0.031,0.796,0.738
16000,0.149,0.082,4.51,26.847,0.026,0.03,0.782,0.739
16500,-0.015,0.079,5.385,26.196,0.052,0.031,0.341,0.727
17000,-1.77,0.024,77.854,27.716,0.01,0.03,0.799,0.729
17500,-2.801,-0.056,40.717,28.087,0.033,0.031,0.785,0.731
18000,-0.211,-0.061,3.951,27.417,0.004,0.03,0.798,0.733
18500,-1.28,-0.094,63.783,28.4,0.01,0.029,0.799,0.735
19000,-1.0,-0.117,16.436,28.085,0.015,0.029,0.783,0.736
19500,-0.978,-0.139,221.868,33.054,0.004,0.028,0.8,0.737
20000,-0.847,-0.157,23.819,32.823,0.001,0.028,0.8,0.739
20500,0.675,-0.137,24.995,32.632,0.012,0.027,0.795,0.74
21000,-1.35,-0.166,38.143,32.763,0.02,0.027,0.796,0.742
21500,-1.498,-0.197,10.721,32.25,0.101,0.029,0.732,0.741
22000,-0.033,-0.193,15.536,31.871,0.018,0.029,0.785,0.742
22500,-2.578,-0.246,29.258,31.813,0.017,0.028,0.798,0.744
23000,-0.462,-0.251,15.09,31.449,0.016,0.028,0.789,0.745
23500,-0.452,-0.255,19.719,31.199,0.046,0.028,0.62,0.742
24000,0.556,-0.238,12.519,30.81,0.022,0.028,0.788,0.743
24500,1.454,-0.204,15.613,30.5,0.059,0.029,0.78,0.744
