Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,0.001,0.001,6661.312,6661.312,0.0,0.0,0.3,0.3
1000,-0.002,-0.001,13230.68,9945.996,0.0,0.0,0.3,0.3
1500,-0.001,-0.001,4347.641,8079.877,0.0,0.0,0.3,0.3
2000,0.001,-0.0,6179.937,7604.892,0.0,0.0,0.3,0.3
2500,-0.0,-0.0,5697.513,7223.416,0.0,0.0,0.3,0.3
3000,0.001,-0.0,6569.459,7114.424,0.0,0.0,0.3,0.3
3500,-0.001,-0.0,5086.395,6824.705,0.0,0.0,0.3,0.3
4000,0.0,-0.0,5684.539,6682.184,0.0,0.0,0.3,0.3
4500,-0.0,-0.0,6462.5,6657.775,0.0,0.0,0.3,0.3
5000,0.001,-0.0,5147.703,6506.768,0.0,0.0,0.3,0.3
5500,-0.001,-0.0,5396.993,6405.879,0.0,0.0,0.3,0.3
6000,0.0,-0.0,8423.691,6574.03,0.0,0.0,0.3,0.3
6500,0.001,-0.0,6618.124,6577.422,0.0,0.0,0.3,0.3
7000,-0.0,-0.0,5036.888,6467.384,0.0,0.0,0.3,0.3
7500,-0.0,-0.0,6173.552,6447.795,0.0,0.0,0.3,0.3
8000,-0.0,-0.0,6286.56,6437.718,0.0,0.0,0.3,0.3
8500,0.0,-0.0,5610.878,6389.08,0.0,0.0,0.3,0.3
9000,0.0,-0.0,7844.465,6469.935,0.0,0.0,0.3,0.3
9500,0.0,-0.0,7884.48,6544.385,0.0,0.0,0.3,0.3
10000,-0.0,-0.0,6182.159,6526.273,0.0,0.0,0.3,0.3
10500,0.0,-0.0,4826.611,6445.337,0.0,0.0,0.3,0.3
11000,0.0,-0.0,7336.706,6485.854,0.0,0.0,0.3,0.3
11500,-0.0,-0.0,4512.566,6400.059,0.0,0.0,0.3,0.3
12000,0.0,-0.0,5060.1,6344.227,0.0,0.0,0.3,0.3
12500,-0.0,-0.0,5902.396,6326.554,0.0,0.0,0.3,0.3
13000,0.0,-0.0,14040.725,6623.253,0.0,0.0,0.3,0.3
13500,0.0,-0.0,7804.207,6666.992,0.0,0.0,0.3,0.3
14000,-0.0,-0.0,8051.786,6716.449,0.0,0.0,0.3,0.3
14500,0.0,-0.0,6262.779,6700.805,0.0,0.0,0.3,0.3
15000,0.0,-0.0,2315.72,6554.635,0.0,0.0,0.3,0.3
15500,-0.0,-0.0,4827.95,6498.936,0.0,0.0,0.3,0.3
16000,-0.0,-0.0,4351.786,6431.837,0.0,0.0,0.3,0.3
16500,-0.0,-0.0,7458.055,6462.935,0.0,0.0,0.3,0.3
17000,0.0,-0.0,7989.196,6507.825,0.0,0.0,0.3,0.3
17500,0.0,-0.0,3944.418,6434.585,0.0,0.0,0.3,0.3
18000,-0.0,-0.0,11773.498,6582.888,0.0,0.0,0.3,0.3
18500,0.0,-0.0,6876.179,6590.815,0.0,0.0,0.3,0.3
19000,0.0,-0.0,6293.653,6582.995,0.0,0.0,0.3,0.3
19500,-0.0,-0.0,6331.418,6576.544,0.0,0.0,0.3,0.3
20000,0.0,-0.0,4071.433,6513.916,0.0,0.0,0.3,0.3
