Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,108.41,108.41,356.874,356.874,0.001,0.001,0.387,0.387
1000,90.679,99.544,368.531,362.702,0.005,0.003,0.366,0.376
1500,123.428,107.506,381.94,369.115,0.006,0.004,0.38,0.378
2000,175.084,124.4,514.795,405.535,0.003,0.004,0.39,0.381
2500,95.191,118.558,165.704,357.569,0.004,0.004,0.392,0.383
3000,104.667,116.243,190.041,329.648,0.007,0.004,0.394,0.385
3500,178.152,125.087,589.152,366.72,0.003,0.004,0.395,0.386
4000,164.54,130.019,453.883,377.615,0.005,0.004,0.394,0.387
4500,232.813,141.44,1036.335,450.806,0.005,0.004,0.393,0.388
5000,-30.567,124.24,23.112,408.037,0.005,0.004,0.392,0.388
5500,102.834,122.294,255.815,394.198,0.003,0.004,0.391,0.389
6000,194.22,128.287,643.843,415.002,0.003,0.004,0.395,0.389
6500,137.762,129.016,405.873,414.3,0.005,0.004,0.392,0.389
7000,166.27,131.677,458.067,417.426,0.003,0.004,0.393,0.39
7500,215.093,137.238,781.213,441.679,0.003,0.004,0.393,0.39
8000,134.929,137.094,345.009,435.637,0.004,0.004,0.389,0.39
8500,196.607,140.595,755.221,454.436,0.004,0.004,0.389,0.39
9000,157.661,141.543,451.839,454.292,0.004,0.004,0.384,0.389
9500,117.474,140.276,362.242,449.447,0.008,0.004,0.379,0.389
10000,170.781,141.801,631.563,458.553,0.003,0.004,0.378,0.388
10500,256.342,147.256,1467.39,506.593,0.008,0.004,0.381,0.388
11000,70.953,143.787,168.655,491.232,0.003,0.004,0.368,0.387
11500,140.377,143.639,316.263,483.624,0.01,0.005,0.378,0.387
12000,296.994,150.029,1584.901,529.511,0.002,0.004,0.376,0.386
12500,94.805,147.82,209.685,516.718,0.017,0.005,0.375,0.386
13000,13.328,142.647,10.878,497.263,0.008,0.005,0.338,0.384
13500,142.66,142.648,383.366,493.044,0.006,0.005,0.373,0.383
14000,92.639,140.862,241.407,484.057,0.003,0.005,0.357,0.382
14500,62.646,138.165,214.139,474.75,0.008,0.005,0.329,0.381
15000,164.154,139.031,601.517,478.975,0.008,0.005,0.353,0.38
15500,262.316,143.008,1282.983,504.911,0.004,0.005,0.354,0.379
16000,39.834,139.784,59.315,490.986,0.01,0.005,0.322,0.377
16500,115.998,139.063,441.843,489.497,0.005,0.005,0.326,0.376
17000,204.941,141.0,914.989,502.011,0.013,0.006,0.339,0.374
17500,199.092,142.66,665.985,506.696,0.001,0.005,0.346,0.374
18000,252.874,145.722,1364.505,530.524,0.005,0.005,0.329,0.372
18500,106.867,144.672,230.884,522.426,0.006,0.005,0.335,0.371
19000,124.125,144.131,303.21,516.657,0.003,0.005,0.321,0.37
19500,228.021,146.282,1136.178,532.542,0.002,0.005,0.324,0.369
20000,78.707,144.592,132.085,522.531,0.003,0.005,0.314,0.368
20500,165.407,145.1,531.869,522.759,0.009,0.005,0.34,0.367
21000,235.56,147.254,971.308,533.438,0.009,0.005,0.346,0.366
21500,193.339,148.326,618.641,535.42,0.006,0.005,0.347,0.366
22000,151.98,148.409,479.358,534.146,0.021,0.006,0.35,0.366
22500,181.692,149.148,712.987,538.12,0.009,0.006,0.321,0.365
23000,145.602,149.071,367.738,534.416,0.008,0.006,0.338,0.364
23500,19.015,146.304,24.157,523.559,0.008,0.006,0.262,0.362
24000,134.55,146.059,383.162,520.634,0.002,0.006,0.336,0.361
24500,178.121,146.714,536.54,520.959,0.004,0.006,0.345,0.361
25000,125.568,146.291,282.263,516.185,0.008,0.006,0.337,0.36
25500,86.536,145.119,141.863,508.845,0.005,0.006,0.345,0.36
26000,108.824,144.421,270.997,504.271,0.009,0.006,0.333,0.36
26500,105.307,143.683,291.531,500.257,0.007,0.006,0.314,0.359
27000,86.744,142.629,174.354,494.222,0.009,0.006,0.33,0.358
27500,175.863,143.233,541.529,495.082,0.002,0.006,0.356,0.358
28000,60.975,141.764,91.358,487.873,0.016,0.006,0.32,0.358
28500,158.822,142.063,442.271,487.073,0.005,0.006,0.341,0.357
29000,141.847,142.06,448.359,486.405,0.001,0.006,0.312,0.356
29500,114.358,141.59,215.594,481.815,0.003,0.006,0.322,0.356
30000,73.787,140.46,119.418,475.776,0.001,0.006,0.328,0.355
30500,233.854,141.991,1073.178,485.569,0.007,0.006,0.325,0.355
31000,216.705,143.196,805.31,490.726,0.001,0.006,0.352,0.355
31500,194.343,144.008,662.611,493.454,0.001,0.006,0.355,0.355
32000,198.973,144.867,759.909,497.618,0.002,0.006,0.352,0.355
32500,226.792,146.127,831.715,502.758,0.015,0.006,0.346,0.355
33000,199.449,146.935,732.668,506.241,0.007,0.006,0.333,0.354
33500,21.874,145.068,17.831,498.952,0.013,0.006,0.285,0.353
34000,58.683,143.798,123.619,493.432,0.009,0.006,0.302,0.353
34500,148.427,143.865,367.091,491.601,0.006,0.006,0.353,0.353
35000,280.012,145.81,1558.247,506.839,0.002,0.006,0.341,0.352
35500,53.781,144.514,62.527,500.581,0.001,0.006,0.328,0.352
36000,138.867,144.436,415.279,499.396,0.014,0.006,0.325,0.352
36500,187.648,145.027,584.419,500.561,0.004,0.006,0.326,0.351
37000,275.139,146.786,1493.509,513.979,0.009,0.006,0.337,0.351
37500,80.662,145.904,157.426,509.225,0.001,0.006,0.326,0.351
38000,179.628,146.348,610.454,510.557,0.004,0.006,0.338,0.351
38500,348.975,148.979,2145.625,531.791,0.004,0.006,0.321,0.35
39000,72.45,147.998,122.567,526.545,0.007,0.006,0.285,0.349
39500,201.124,148.671,762.755,529.535,0.004,0.006,0.309,0.349
40000,114.988,148.25,244.905,525.977,0.006,0.006,0.325,0.349
40500,301.357,150.14,1713.417,540.637,0.006,0.006,0.32,0.348
41000,147.529,150.108,371.665,538.576,0.002,0.006,0.324,0.348
41500,176.771,150.429,745.259,541.066,0.004,0.006,0.292,0.347
42000,188.757,150.886,614.852,541.945,0.002,0.006,0.325,0.347
42500,14.277,149.278,146.822,537.296,0.012,0.006,0.093,0.344
43000,135.899,149.123,343.692,535.045,0.001,0.006,0.304,0.344
43500,138.584,149.002,319.986,532.573,0.006,0.006,0.306,0.343
44000,199.924,149.58,722.176,534.728,0.005,0.006,0.307,0.343
44500,210.258,150.262,819.336,537.926,0.006,0.006,0.293,0.342
45000,143.267,150.184,421.379,536.631,0.001,0.006,0.301,0.342
45500,36.846,148.939,24.848,531.007,0.01,0.006,0.301,0.341
46000,213.536,149.641,955.417,535.62,0.005,0.006,0.287,0.341
46500,161.092,149.764,673.126,537.098,0.003,0.006,0.266,0.34
47000,198.298,150.28,708.118,538.918,0.012,0.006,0.306,0.34
47500,231.295,151.133,975.198,543.51,0.001,0.006,0.306,0.339
48000,227.969,151.934,831.582,546.511,0.005,0.006,0.305,0.339
48500,194.002,152.367,794.85,549.071,0.001,0.006,0.298,0.338
49000,189.061,152.742,766.421,551.289,0.006,0.006,0.319,0.338
49500,112.224,152.332,555.316,551.33,0.023,0.006,0.274,0.338
50000,207.479,152.884,919.499,555.011,0.005,0.006,0.303,0.337
50500,262.464,154.424,1201.222,563.455,0.005,0.006,0.305,0.336
51000,34.047,153.858,114.066,560.91,0.03,0.006,0.183,0.335
51500,195.545,154.579,608.763,563.178,0.009,0.006,0.31,0.334
52000,145.122,154.28,569.328,563.724,0.016,0.006,0.282,0.333
52500,224.709,155.575,1096.193,573.029,0.011,0.006,0.294,0.332
53000,207.438,156.603,844.671,579.575,0.001,0.006,0.281,0.331
53500,128.412,156.105,388.187,577.565,0.007,0.006,0.282,0.33
54000,167.624,156.136,550.021,578.527,0.002,0.006,0.287,0.328
54500,141.89,155.227,355.047,571.714,0.009,0.006,0.293,0.327
55000,174.174,157.274,501.761,576.5,0.007,0.006,0.32,0.327
55500,133.183,157.578,355.172,577.494,0.007,0.006,0.32,0.326
