Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,543.05,543.05,5151.068,5151.068,0.001,0.001,0.396,0.396
1000,416.594,479.822,3717.425,4434.247,0.002,0.002,0.398,0.397
1500,456.624,472.089,3586.451,4151.648,0.003,0.002,0.399,0.398
2000,377.143,448.353,3022.516,3869.365,0.002,0.002,0.399,0.398
2500,324.094,423.501,2120.591,3519.61,0.002,0.002,0.4,0.398
3000,256.686,395.699,1377.751,3162.634,0.002,0.002,0.4,0.399
3500,424.276,399.781,3434.751,3201.508,0.001,0.002,0.4,0.399
4000,271.592,383.757,1739.199,3018.719,0.001,0.002,0.4,0.399
4500,408.487,386.505,3858.98,3112.081,0.001,0.002,0.4,0.399
5000,490.825,396.937,5181.545,3319.028,0.001,0.001,0.4,0.399
5500,563.983,412.123,5998.515,3562.617,0.001,0.001,0.4,0.399
6000,401.32,411.223,3974.111,3596.909,0.001,0.001,0.4,0.399
6500,290.1,401.906,1600.248,3443.319,0.0,0.001,0.4,0.399
7000,248.469,390.946,1549.269,3308.03,0.0,0.001,0.4,0.399
7500,358.012,388.75,2784.936,3273.157,0.0,0.001,0.4,0.399
8000,432.086,391.459,3995.794,3318.322,0.0,0.001,0.4,0.399
8500,266.146,384.087,1619.508,3218.392,0.0,0.001,0.4,0.399
9000,601.008,396.139,7500.907,3456.309,0.0,0.001,0.4,0.399
9500,444.717,398.695,3866.256,3477.885,0.0,0.001,0.4,0.399
10000,370.683,397.295,2898.729,3448.927,0.0,0.001,0.4,0.399
10500,271.335,391.297,1921.341,3376.185,0.0,0.001,0.4,0.399
11000,280.938,386.28,2206.56,3323.02,0.0,0.001,0.4,0.399
11500,354.169,384.884,2706.702,3296.224,0.0,0.001,0.4,0.399
12000,526.209,390.773,5585.688,3391.618,0.0,0.001,0.4,0.399
12500,463.341,393.675,4502.565,3436.056,0.0,0.001,0.4,0.399
13000,544.467,399.475,5837.258,3528.41,0.0,0.001,0.4,0.399
13500,532.722,404.41,5633.767,3606.386,0.0,0.001,0.4,0.399
14000,261.584,399.309,1534.669,3532.396,0.0,0.001,0.4,0.4
14500,223.416,393.244,1099.205,3448.493,0.0,0.001,0.4,0.4
15000,309.268,390.445,1776.378,3392.756,0.0,0.001,0.4,0.4
15500,436.783,391.94,4419.129,3425.865,0.0,0.001,0.4,0.4
16000,296.518,388.958,2174.21,3386.751,0.0,0.001,0.4,0.4
16500,627.613,396.19,7244.562,3503.654,0.0,0.001,0.4,0.4
17000,260.794,392.207,1955.078,3458.108,0.0,0.0,0.4,0.4
17500,342.611,390.79,2123.088,3419.964,0.0,0.0,0.4,0.4
18000,110.399,383.002,275.849,3332.628,0.0,0.0,0.4,0.4
18500,245.93,379.297,1591.331,3285.566,0.0,0.0,0.4,0.4
19000,395.68,379.728,2698.244,3270.11,0.0,0.0,0.4,0.4
19500,389.292,379.973,3577.935,3278.003,0.0,0.0,0.4,0.4
20000,427.47,381.161,4077.596,3297.993,0.0,0.0,0.4,0.4
20500,353.394,380.484,2432.566,3276.885,0.0,0.0,0.4,0.4
21000,340.986,379.543,2425.55,3256.615,0.0,0.0,0.4,0.4
21500,189.413,375.122,745.385,3198.214,0.0,0.0,0.4,0.4
22000,178.907,370.662,858.676,3145.043,0.0,0.0,0.4,0.4
22500,294.998,368.981,2019.848,3120.038,0.0,0.0,0.4,0.4
23000,282.599,367.103,1946.61,3094.529,0.0,0.0,0.4,0.4
23500,175.062,363.017,759.637,3044.851,0.0,0.0,0.4,0.4
24000,357.377,362.899,2612.561,3035.845,0.0,0.0,0.4,0.4
24500,610.781,367.958,7126.917,3119.336,0.0,0.0,0.4,0.4
25000,695.806,374.515,8360.756,3224.164,0.0,0.0,0.4,0.4
25500,415.179,375.312,3391.573,3227.447,0.0,0.0,0.4,0.4
26000,440.492,376.566,4500.764,3251.934,0.0,0.0,0.4,0.4
26500,261.057,374.386,1342.106,3215.899,0.0,0.0,0.4,0.4
27000,267.26,372.403,1466.938,3183.511,0.0,0.0,0.4,0.4
27500,239.009,369.977,1556.861,3153.936,0.0,0.0,0.4,0.4
28000,259.628,368.007,1519.315,3124.746,0.0,0.0,0.4,0.4
28500,658.639,373.106,7650.924,3204.153,0.0,0.0,0.4,0.4
29000,571.675,376.529,5814.354,3249.156,0.0,0.0,0.4,0.4
29500,655.571,381.259,7916.518,3328.264,0.0,0.0,0.4,0.4
30000,237.747,378.867,1234.938,3293.375,0.0,0.0,0.4,0.4
30500,150.483,375.123,490.513,3247.426,0.0,0.0,0.4,0.4
31000,223.366,372.675,1132.569,3213.316,0.0,0.0,0.4,0.4
31500,148.134,369.111,648.672,3172.607,0.0,0.0,0.4,0.4
32000,148.034,365.657,444.793,3129.985,0.0,0.0,0.4,0.4
32500,529.216,368.173,5287.032,3163.17,0.0,0.0,0.4,0.4
