Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,19.779,19.779,156.492,156.492,0.024,0.024,0.27,0.27
1000,56.988,38.384,121.191,138.841,0.008,0.016,0.216,0.243
1500,36.973,37.913,66.039,114.574,0.05,0.027,0.265,0.25
2000,76.76,47.625,102.248,111.493,0.013,0.024,0.317,0.267
2500,29.588,44.018,66.076,102.409,0.015,0.022,0.195,0.253
3000,-29.677,31.735,66.454,96.417,0.028,0.023,0.275,0.256
3500,67.072,36.783,97.543,96.578,0.019,0.023,0.319,0.265
4000,63.558,40.13,127.892,100.492,0.012,0.021,0.262,0.265
4500,38.009,39.894,39.845,93.753,0.017,0.021,0.238,0.262
5000,1.329,36.038,20.406,86.419,0.015,0.02,0.002,0.236
5500,121.854,43.839,361.35,111.412,0.027,0.021,0.294,0.241
6000,134.009,51.353,303.208,127.395,0.027,0.021,0.391,0.254
6500,47.598,51.065,35.809,120.35,0.07,0.025,0.323,0.259
7000,3.293,47.652,17.944,113.035,0.026,0.025,0.069,0.245
7500,87.21,50.29,187.95,118.03,0.09,0.029,0.301,0.249
8000,11.963,47.894,12.514,111.435,0.057,0.031,0.217,0.247
8500,115.411,51.866,361.526,126.146,0.014,0.03,0.281,0.249
9000,175.205,58.718,793.266,163.208,0.019,0.03,0.282,0.251
9500,5.672,55.926,17.616,155.546,0.023,0.029,0.278,0.252
10000,47.384,55.499,36.456,149.591,0.037,0.03,0.39,0.259
10500,139.745,59.511,678.812,174.792,0.039,0.03,0.288,0.261
11000,22.491,57.828,23.21,167.902,0.063,0.032,0.274,0.261
11500,19.356,56.155,18.292,161.397,0.042,0.032,0.177,0.258
12000,103.944,58.146,340.88,168.876,0.037,0.032,0.273,0.258
12500,62.649,58.327,97.366,166.015,0.049,0.033,0.31,0.26
13000,44.675,57.802,98.766,163.429,0.031,0.033,0.225,0.259
13500,73.938,58.399,385.33,171.647,0.026,0.033,0.247,0.259
14000,84.159,59.319,172.709,171.685,0.02,0.032,0.343,0.262
14500,134.656,61.917,382.219,178.945,0.032,0.032,0.314,0.263
15000,103.379,63.299,295.815,182.841,0.023,0.032,0.267,0.264
15500,151.601,66.147,847.778,204.29,0.067,0.033,0.302,0.265
16000,189.756,70.01,772.776,222.055,0.023,0.033,0.316,0.266
16500,117.202,71.44,478.16,229.816,0.033,0.033,0.31,0.268
17000,113.403,72.674,262.242,230.77,0.044,0.033,0.338,0.27
17500,32.967,71.54,66.731,226.083,0.086,0.035,0.141,0.266
18000,46.171,70.835,40.233,220.921,0.039,0.035,0.333,0.268
18500,40.875,70.026,80.777,217.133,0.062,0.035,0.237,0.267
19000,22.514,68.775,76.627,213.435,0.042,0.036,0.19,0.265
19500,56.654,68.464,89.271,210.252,0.06,0.036,0.327,0.267
20000,188.532,71.466,730.406,223.256,0.023,0.036,0.344,0.269
20500,40.571,70.713,62.811,219.342,0.051,0.036,0.291,0.269
21000,-68.354,67.402,93.53,216.347,0.129,0.038,0.328,0.271
21500,72.931,67.53,145.509,214.699,0.053,0.039,0.311,0.271
22000,-8.876,65.794,14.618,210.152,0.095,0.04,0.19,0.27
22500,77.795,66.06,268.4,211.446,0.046,0.04,0.304,0.27
23000,126.487,67.374,305.28,213.486,0.049,0.04,0.33,0.272
23500,69.829,67.426,141.145,211.947,0.015,0.04,0.313,0.273
24000,-58.436,64.804,165.748,210.985,0.033,0.04,0.301,0.273
24500,122.194,65.975,582.988,218.577,0.042,0.04,0.302,0.274
25000,115.203,66.96,705.157,228.308,0.088,0.041,0.282,0.274
25500,26.678,66.17,63.1,225.069,0.097,0.042,0.289,0.274
26000,12.657,65.141,20.819,221.141,0.073,0.042,0.272,0.274
26500,95.411,65.712,286.911,222.382,0.058,0.043,0.298,0.275
27000,174.527,67.727,882.912,234.614,0.044,0.043,0.32,0.275
27500,-51.082,65.567,41.161,231.097,0.074,0.043,0.311,0.276
28000,63.127,65.523,151.636,229.678,0.037,0.043,0.3,0.277
28500,-32.929,63.796,44.614,226.431,0.057,0.043,0.302,0.277
29000,-16.995,62.403,31.114,223.063,0.051,0.044,0.282,0.277
29500,41.259,62.045,190.231,222.507,0.061,0.044,0.289,0.277
30000,130.008,63.178,779.631,231.792,0.067,0.044,0.328,0.278
30500,75.135,63.374,345.091,233.65,0.028,0.044,0.292,0.278
31000,120.211,64.29,515.59,238.197,0.05,0.044,0.328,0.279
31500,145.231,65.575,1267.913,254.542,0.038,0.044,0.309,0.28
32000,157.74,67.015,752.642,262.325,0.083,0.045,0.313,0.28
