Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,-0.0,-0.0,6889.516,6889.516,0.0,0.0,0.4,0.4
1000,-0.0,-0.0,5403.317,6146.416,0.0,0.0,0.4,0.4
1500,-0.0,-0.0,7640.181,6644.338,0.0,0.0,0.4,0.4
2000,-0.0,-0.0,5758.547,6422.89,0.0,0.0,0.4,0.4
2500,-0.0,-0.0,6497.207,6437.754,0.0,0.0,0.4,0.4
3000,0.0,-0.0,7876.82,6677.598,0.0,0.0,0.4,0.4
3500,-0.0,-0.0,6125.521,6598.73,0.0,0.0,0.4,0.4
4000,-0.0,-0.0,3860.618,6256.466,0.0,0.0,0.4,0.4
4500,-0.0,-0.0,4216.765,6029.832,0.0,0.0,0.4,0.4
5000,0.0,-0.0,7821.044,6208.953,0.0,0.0,0.4,0.4
5500,-0.0,-0.0,7263.913,6304.859,0.0,0.0,0.4,0.4
6000,-0.0,-0.0,9945.314,6608.23,0.0,0.0,0.4,0.4
6500,0.0,-0.0,6911.039,6631.523,0.0,0.0,0.4,0.4
7000,0.0,-0.0,8217.049,6744.775,0.0,0.0,0.4,0.4
7500,0.0,-0.0,6816.564,6749.561,0.0,0.0,0.4,0.4
8000,-0.0,-0.0,5242.717,6655.383,0.0,0.0,0.4,0.4
8500,0.0,-0.0,9944.104,6848.837,0.0,0.0,0.4,0.4
9000,0.0,-0.0,11907.928,7129.898,0.0,0.0,0.4,0.4
9500,-0.0,-0.0,4626.819,6998.157,0.0,0.0,0.4,0.4
10000,-0.0,-0.0,6484.908,6972.495,0.0,0.0,0.4,0.4
10500,-0.0,-0.0,5483.21,6901.576,0.0,0.0,0.4,0.4
11000,0.0,-0.0,8110.914,6956.546,0.0,0.0,0.4,0.4
11500,0.0,-0.0,6708.044,6945.742,0.0,0.0,0.4,0.4
12000,-0.0,-0.0,4449.864,6841.747,0.0,0.0,0.4,0.4
12500,-0.0,-0.0,4318.409,6740.813,0.0,0.0,0.4,0.4
13000,0.0,-0.0,8712.938,6816.664,0.0,0.0,0.4,0.4
13500,-0.0,-0.0,7363.007,6836.899,0.0,0.0,0.4,0.4
14000,-0.0,-0.0,4903.314,6767.842,0.0,0.0,0.4,0.4
14500,-0.0,-0.0,6043.663,6742.871,0.0,0.0,0.4,0.4
15000,-0.0,-0.0,4264.065,6660.244,0.0,0.0,0.4,0.4
15500,0.0,-0.0,5484.303,6622.31,0.0,0.0,0.4,0.4
16000,-0.0,-0.0,7205.406,6640.532,0.0,0.0,0.4,0.4
16500,-0.0,-0.0,5356.905,6601.634,0.0,0.0,0.4,0.4
17000,-0.0,-0.0,5490.657,6568.958,0.0,0.0,0.4,0.4
