Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,304.741,304.741,1587.371,1587.371,0.063,0.063,0.482,0.482
1000,276.563,290.652,1247.363,1417.367,0.032,0.047,0.483,0.482
1500,157.476,246.26,539.141,1124.625,0.028,0.041,0.482,0.482
2000,43.647,195.607,95.306,867.296,0.018,0.035,0.451,0.474
2500,84.939,173.473,200.192,733.875,0.036,0.035,0.475,0.475
3000,27.933,149.216,54.47,620.641,0.018,0.032,0.407,0.463
3500,179.962,153.609,726.287,635.733,0.007,0.029,0.462,0.463
4000,93.033,146.037,242.674,586.601,0.036,0.03,0.467,0.464
4500,258.61,158.545,1292.435,665.027,0.042,0.031,0.473,0.465
5000,211.857,163.876,822.616,680.786,0.025,0.031,0.475,0.466
5500,126.038,160.436,434.023,658.353,0.007,0.028,0.462,0.465
6000,61.841,152.22,104.235,612.176,0.014,0.027,0.416,0.461
6500,0.038,140.514,11.715,565.987,0.015,0.026,0.011,0.427
7000,246.55,148.088,1253.059,615.063,0.017,0.026,0.387,0.424
7500,249.731,154.864,1323.734,662.308,0.012,0.025,0.423,0.424
8000,200.0,157.685,660.853,662.217,0.027,0.025,0.394,0.422
8500,139.519,156.616,472.405,651.052,0.008,0.024,0.401,0.421
9000,283.776,163.681,1687.726,708.645,0.029,0.024,0.41,0.42
9500,226.869,167.006,944.414,721.054,0.018,0.024,0.478,0.423
10000,252.268,171.27,1292.579,749.63,0.014,0.023,0.441,0.424
10500,153.228,170.41,519.453,738.669,0.014,0.023,0.401,0.423
11000,122.559,168.235,377.716,722.262,0.014,0.022,0.39,0.421
11500,202.625,169.731,898.943,729.944,0.016,0.022,0.439,0.422
12000,127.345,167.965,359.112,714.493,0.013,0.022,0.398,0.421
12500,193.376,168.981,980.539,725.134,0.016,0.021,0.384,0.42
13000,52.138,164.487,123.574,701.998,0.008,0.021,0.354,0.417
13500,201.076,165.842,1033.285,714.267,0.009,0.021,0.406,0.417
14000,117.035,164.099,300.577,699.493,0.017,0.02,0.443,0.418
14500,228.254,166.311,1115.004,713.821,0.036,0.021,0.412,0.418
15000,76.023,163.302,130.137,694.365,0.021,0.021,0.496,0.42
15500,104.011,161.389,192.63,678.18,0.006,0.02,0.498,0.423
16000,198.541,162.55,892.933,684.891,0.02,0.02,0.467,0.424
16500,154.265,162.299,766.685,687.369,0.009,0.02,0.396,0.423
17000,122.149,161.118,443.986,680.211,0.013,0.02,0.397,0.422
17500,139.252,160.493,874.601,685.765,0.052,0.021,0.406,0.422
18000,99.733,158.806,418.194,678.332,0.011,0.021,0.364,0.42
18500,198.292,159.873,945.866,685.563,0.027,0.021,0.413,0.42
19000,117.93,158.769,320.09,675.945,0.045,0.021,0.403,0.42
19500,157.349,158.733,881.175,681.208,0.006,0.021,0.386,0.419
20000,115.67,157.656,367.853,673.374,0.005,0.021,0.425,0.419
20500,210.386,158.942,1484.625,693.16,0.017,0.02,0.395,0.418
21000,41.228,156.139,144.304,680.092,0.062,0.021,0.379,0.417
21500,275.144,158.907,1528.594,699.825,0.018,0.021,0.445,0.418
22000,130.972,158.272,685.314,699.495,0.007,0.021,0.405,0.418
22500,193.666,159.059,1138.897,709.26,0.018,0.021,0.404,0.418
23000,66.495,157.046,226.72,698.77,0.005,0.021,0.398,0.417
23500,158.095,157.069,533.504,695.253,0.044,0.021,0.424,0.417
24000,129.321,156.491,292.083,686.854,0.002,0.021,0.497,0.419
24500,20.452,153.714,53.839,673.935,0.014,0.021,0.479,0.42
25000,93.168,152.503,280.698,666.071,0.014,0.02,0.416,0.42
25500,191.122,153.261,1214.537,676.825,0.007,0.02,0.408,0.42
26000,129.524,152.804,362.486,670.78,0.015,0.02,0.461,0.421
26500,225.945,154.184,841.148,673.994,0.068,0.021,0.409,0.42
27000,43.499,152.134,159.449,664.466,0.046,0.021,0.409,0.42
27500,172.225,152.5,1546.379,680.501,0.084,0.023,0.428,0.42
28000,222.287,153.746,1286.818,691.328,0.008,0.022,0.434,0.421
28500,180.271,154.211,1854.795,711.739,0.033,0.022,0.406,0.42
29000,114.471,153.526,655.563,710.771,0.021,0.022,0.398,0.42
29500,68.951,152.093,285.309,703.56,0.018,0.022,0.403,0.42
30000,250.292,153.729,1323.971,713.9,0.038,0.023,0.432,0.42
30500,108.706,152.991,601.31,712.054,0.005,0.022,0.394,0.419
31000,150.123,152.945,1417.691,723.435,0.029,0.022,0.389,0.419
31500,116.945,152.374,450.348,719.101,0.051,0.023,0.454,0.419
32000,230.174,153.589,946.422,722.652,0.035,0.023,0.468,0.42
32500,219.673,154.606,1579.221,735.83,0.009,0.023,0.427,0.42
33000,81.12,153.492,144.001,726.863,0.037,0.023,0.459,0.421
33500,38.198,151.772,49.629,716.755,0.093,0.024,0.323,0.419
34000,144.268,151.661,531.182,714.026,0.059,0.025,0.461,0.42
34500,277.245,153.481,1717.241,728.566,0.042,0.025,0.413,0.42
35000,-18.931,151.018,66.219,719.104,0.02,0.025,0.284,0.418
35500,82.074,150.047,144.914,711.016,0.055,0.025,0.406,0.418
36000,247.31,151.398,1273.623,718.83,0.029,0.025,0.438,0.418
36500,238.343,152.589,1189.441,725.277,0.02,0.025,0.443,0.418
37000,171.317,152.842,1237.634,732.201,0.081,0.026,0.432,0.419
37500,71.963,151.764,545.258,729.708,0.019,0.026,0.406,0.418
38000,128.042,151.452,521.508,726.969,0.01,0.026,0.422,0.419
38500,113.802,150.963,362.876,722.24,0.03,0.026,0.41,0.418
39000,51.047,149.682,162.028,715.058,0.03,0.026,0.407,0.418
39500,213.69,150.492,1688.367,727.378,0.016,0.026,0.405,0.418
40000,144.581,150.418,653.13,726.45,0.015,0.026,0.434,0.418
40500,283.111,152.056,2176.711,744.355,0.018,0.025,0.425,0.418
41000,127.806,151.761,366.403,739.746,0.011,0.025,0.448,0.419
41500,134.878,151.557,700.326,739.271,0.01,0.025,0.398,0.418
42000,90.765,150.833,472.068,736.09,0.013,0.025,0.369,0.418
42500,263.068,152.154,2283.52,754.295,0.011,0.025,0.419,0.418
43000,35.329,150.795,81.681,746.474,0.012,0.025,0.362,0.417
43500,120.928,150.452,886.741,748.086,0.009,0.024,0.386,0.417
44000,99.78,149.876,495.465,745.215,0.016,0.024,0.413,0.417
44500,139.181,149.756,949.651,747.512,0.009,0.024,0.384,0.417
45000,104.094,149.249,527.385,745.066,0.048,0.024,0.43,0.417
45500,269.704,150.572,1687.568,755.424,0.049,0.025,0.398,0.416
46000,51.835,149.499,127.199,748.595,0.01,0.025,0.413,0.416
46500,156.854,149.578,1293.113,754.45,0.05,0.025,0.436,0.417
47000,124.595,149.313,673.519,753.589,0.018,0.025,0.421,0.417
47500,164.439,149.472,1110.958,757.351,0.011,0.025,0.409,0.417
48000,128.26,149.251,563.606,755.333,0.038,0.025,0.394,0.416
48500,215.383,149.933,1966.794,767.822,0.054,0.025,0.429,0.416
49000,251.331,150.967,1149.799,771.72,0.024,0.025,0.478,0.417
49500,73.258,150.182,373.78,767.7,0.013,0.025,0.394,0.417
50000,168.932,150.37,741.007,767.433,0.014,0.025,0.433,0.417
50500,232.311,149.646,1093.101,762.491,0.084,0.025,0.421,0.416
51000,149.56,148.375,677.047,756.787,0.012,0.025,0.419,0.416
51500,127.937,148.08,444.855,755.845,0.043,0.025,0.452,0.415
52000,223.609,149.88,1386.023,768.752,0.018,0.025,0.422,0.415
52500,211.474,151.145,1323.218,779.982,0.034,0.025,0.406,0.415
53000,165.297,152.519,928.761,788.725,0.009,0.025,0.427,0.415
53500,161.199,152.331,713.701,788.599,0.02,0.025,0.446,0.415
54000,58.128,151.982,155.579,787.728,0.042,0.025,0.377,0.414
54500,186.285,151.259,830.793,783.112,0.042,0.025,0.417,0.413
55000,291.699,152.057,1552.923,790.415,0.082,0.026,0.418,0.413
55500,123.254,152.029,583.536,791.91,0.031,0.026,0.422,0.412
56000,95.936,152.37,355.846,794.426,0.049,0.026,0.407,0.412
56500,122.225,153.592,606.488,800.374,0.02,0.026,0.415,0.416
57000,288.017,154.007,2092.972,808.773,0.027,0.026,0.453,0.417
57500,24.024,151.75,64.437,796.18,0.015,0.026,0.347,0.416
58000,185.474,151.605,932.352,798.895,0.022,0.026,0.425,0.416
58500,205.149,152.261,1186.31,806.034,0.034,0.027,0.444,0.417
59000,201.562,151.439,847.448,797.631,0.002,0.026,0.464,0.417
59500,208.386,151.254,1688.461,805.072,0.036,0.027,0.426,0.417
60000,260.475,151.336,1965.666,811.802,0.015,0.027,0.433,0.417
60500,147.59,151.28,1185.91,818.467,0.017,0.027,0.387,0.416
61000,54.653,150.6,190.567,816.596,0.033,0.027,0.391,0.417
61500,152.757,150.102,438.98,811.996,0.019,0.027,0.461,0.417
