Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,65.44,65.44,132.333,132.333,0.07,0.07,0.494,0.494
1000,99.277,82.359,206.155,169.244,0.04,0.055,0.498,0.496
1500,103.467,89.395,209.687,182.725,0.03,0.047,0.499,0.497
2000,67.368,83.888,156.053,176.057,0.035,0.044,0.498,0.497
2500,60.593,79.229,95.132,159.872,0.032,0.041,0.499,0.498
3000,84.357,80.084,140.28,156.607,0.023,0.038,0.499,0.498
3500,56.04,76.649,104.1,149.106,0.028,0.037,0.499,0.498
4000,71.599,76.018,134.332,147.259,0.02,0.035,0.499,0.498
4500,69.101,75.249,130.953,145.447,0.022,0.033,0.499,0.498
5000,60.742,73.798,109.123,141.815,0.02,0.032,0.499,0.498
5500,37.992,70.543,77.065,135.928,0.03,0.032,0.498,0.498
6000,58.026,69.5,81.142,131.363,0.016,0.03,0.499,0.498
6500,34.505,66.808,65.051,126.262,0.026,0.03,0.498,0.498
7000,38.441,64.782,62.55,121.711,0.02,0.029,0.499,0.498
7500,59.318,64.418,89.759,119.581,0.015,0.028,0.499,0.499
8000,72.676,64.934,131.784,120.344,0.016,0.028,0.499,0.499
8500,98.351,66.9,188.888,124.376,0.016,0.027,0.499,0.499
9000,42.176,65.526,97.751,122.897,0.024,0.027,0.498,0.499
9500,43.383,64.361,104.984,121.954,0.023,0.027,0.498,0.499
10000,36.165,62.951,83.522,120.032,0.028,0.027,0.497,0.498
10500,76.621,63.602,168.654,122.348,0.015,0.026,0.499,0.498
11000,62.517,63.552,128.872,122.644,0.017,0.026,0.498,0.498
11500,80.711,64.299,178.756,125.084,0.013,0.025,0.499,0.498
12000,43.018,63.412,82.077,123.292,0.018,0.025,0.497,0.498
12500,41.272,62.526,69.937,121.158,0.017,0.025,0.497,0.498
13000,42.052,61.739,84.134,119.734,0.015,0.024,0.497,0.498
13500,56.478,61.544,91.78,118.698,0.012,0.024,0.498,0.498
14000,63.662,61.62,117.082,118.641,0.011,0.023,0.498,0.498
14500,30.069,60.532,72.622,117.054,0.025,0.023,0.494,0.498
15000,54.027,60.315,112.959,116.917,0.015,0.023,0.497,0.498
15500,15.84,58.88,32.845,114.205,0.024,0.023,0.488,0.498
16000,43.991,58.415,68.97,112.792,0.013,0.023,0.496,0.498
16500,67.426,58.688,116.243,112.896,0.008,0.022,0.497,0.498
17000,-13.252,56.572,53.558,111.151,0.037,0.023,0.462,0.497
17500,17.873,55.466,42.601,109.192,0.017,0.023,0.484,0.496
18000,14.418,54.326,38.466,107.228,0.019,0.023,0.478,0.496
18500,55.752,54.365,84.243,106.607,0.008,0.022,0.496,0.496
19000,39.752,53.98,68.749,105.61,0.01,0.022,0.494,0.496
19500,29.855,53.362,67.948,104.645,0.012,0.022,0.489,0.496
20000,50.773,53.297,111.694,104.821,0.011,0.021,0.493,0.495
20500,29.71,52.722,52.784,103.552,0.01,0.021,0.491,0.495
21000,31.512,52.217,46.229,102.187,0.008,0.021,0.492,0.495
21500,73.1,52.702,127.651,102.779,0.006,0.02,0.496,0.495
22000,26.42,52.105,55.9,101.714,0.009,0.02,0.487,0.495
22500,25.445,51.512,45.937,100.474,0.011,0.02,0.488,0.495
23000,59.079,51.677,105.133,100.575,0.005,0.02,0.495,0.495
23500,40.459,51.438,62.223,99.759,0.005,0.019,0.493,0.495
24000,65.811,51.738,125.146,100.288,0.007,0.019,0.495,0.495
24500,43.778,51.575,81.674,99.908,0.006,0.019,0.492,0.495
25000,48.818,51.52,95.057,99.811,0.005,0.019,0.493,0.495
25500,54.079,51.57,77.862,99.381,0.002,0.018,0.495,0.495
26000,60.026,51.733,143.739,100.234,0.005,0.018,0.492,0.495
26500,43.321,51.574,62.143,99.515,0.004,0.018,0.494,0.495
27000,42.077,51.398,97.892,99.485,0.006,0.017,0.49,0.495
27500,43.604,51.257,101.95,99.53,0.004,0.017,0.489,0.495
28000,34.856,50.964,62.944,98.877,0.005,0.017,0.489,0.494
28500,53.944,51.016,93.739,98.787,0.004,0.017,0.494,0.494
29000,67.474,51.3,135.488,99.419,0.003,0.017,0.494,0.494
29500,46.935,51.226,99.216,99.416,0.004,0.016,0.491,0.494
30000,43.669,51.1,60.685,98.77,0.002,0.016,0.493,0.494
30500,51.42,51.105,89.042,98.611,0.004,0.016,0.493,0.494
31000,49.584,51.081,101.189,98.653,0.003,0.016,0.492,0.494
31500,47.376,51.022,68.078,98.167,0.002,0.015,0.494,0.494
32000,51.112,51.023,139.321,98.81,0.003,0.015,0.49,0.494
32500,52.13,51.04,94.491,98.744,0.001,0.015,0.493,0.494
33000,46.488,50.971,76.964,98.414,0.002,0.015,0.493,0.494
33500,41.868,50.835,58.562,97.819,0.003,0.015,0.493,0.494
34000,70.662,51.127,109.599,97.992,0.002,0.015,0.495,0.494
34500,21.978,50.704,47.925,97.267,0.004,0.014,0.481,0.494
35000,66.518,50.93,106.777,97.403,0.002,0.014,0.495,0.494
35500,55.247,50.991,107.524,97.545,0.003,0.014,0.493,0.494
36000,4.678,50.348,54.112,96.942,0.01,0.014,0.352,0.492
36500,16.429,49.883,56.402,96.387,0.008,0.014,0.47,0.492
37000,30.048,49.615,60.771,95.905,0.003,0.014,0.488,0.492
37500,27.134,49.315,69.803,95.557,0.004,0.014,0.484,0.492
38000,66.186,49.537,117.815,95.85,0.002,0.013,0.495,0.492
38500,51.721,49.566,106.676,95.991,0.002,0.013,0.493,0.492
39000,32.761,49.35,103.828,96.091,0.004,0.013,0.484,0.492
39500,31.917,49.13,55.611,95.579,0.002,0.013,0.489,0.491
40000,13.742,48.687,55.945,95.083,0.007,0.013,0.461,0.491
40500,31.956,48.481,61.307,94.666,0.003,0.013,0.489,0.491
41000,7.746,47.984,50.077,94.123,0.007,0.013,0.415,0.49
41500,48.379,47.989,101.574,94.212,0.003,0.013,0.491,0.49
42000,36.553,47.853,92.66,94.194,0.003,0.013,0.488,0.49
42500,40.91,47.771,83.235,94.065,0.002,0.012,0.491,0.49
43000,47.989,47.774,78.822,93.888,0.002,0.012,0.494,0.49
43500,55.377,47.861,93.946,93.888,0.002,0.012,0.494,0.49
44000,41.945,47.794,77.259,93.699,0.003,0.012,0.492,0.49
44500,55.17,47.877,99.461,93.764,0.002,0.012,0.494,0.49
45000,59.316,48.004,125.212,94.114,0.003,0.012,0.493,0.49
45500,41.806,47.936,102.65,94.207,0.001,0.012,0.489,0.49
46000,31.571,47.758,74.702,93.995,0.005,0.012,0.489,0.49
46500,48.284,47.763,81.537,93.861,0.002,0.012,0.493,0.49
47000,50.897,47.797,112.198,94.056,0.003,0.011,0.493,0.49
47500,26.291,47.57,100.808,94.127,0.006,0.011,0.481,0.49
48000,41.247,47.504,102.08,94.21,0.004,0.011,0.489,0.49
48500,31.878,47.343,72.924,93.991,0.002,0.011,0.489,0.49
49000,24.565,47.111,91.664,93.967,0.004,0.011,0.479,0.49
49500,37.805,47.017,68.553,93.71,0.002,0.011,0.491,0.49
50000,31.728,46.864,83.247,93.606,0.003,0.011,0.488,0.49
50500,25.393,46.464,73.186,93.014,0.003,0.01,0.484,0.49
51000,16.316,45.634,53.786,91.491,0.004,0.01,0.478,0.49
51500,50.631,45.106,88.474,90.278,0.002,0.01,0.494,0.49
52000,30.425,44.736,67.171,89.39,0.003,0.009,0.49,0.49
52500,41.548,44.546,84.916,89.287,0.002,0.009,0.492,0.49
53000,20.95,43.912,64.206,88.527,0.003,0.009,0.479,0.489
53500,27.802,43.629,63.008,88.116,0.002,0.009,0.486,0.489
54000,31.965,43.233,100.69,87.779,0.002,0.008,0.485,0.489
54500,56.231,43.104,107.282,87.543,0.001,0.008,0.495,0.489
55000,16.634,42.663,79.113,87.243,0.002,0.008,0.463,0.489
55500,28.194,42.565,84.355,87.316,0.002,0.008,0.486,0.489
56000,19.156,42.176,74.499,87.249,0.003,0.008,0.478,0.488
56500,6.949,41.901,72.142,87.32,0.008,0.007,0.448,0.488
57000,42.407,41.941,70.589,87.4,0.0,0.007,0.493,0.488
57500,37.4,41.721,82.852,87.331,0.002,0.007,0.493,0.488
58000,29.483,41.289,65.403,86.667,0.001,0.007,0.489,0.488
58500,28.962,40.596,82.189,85.601,0.003,0.007,0.489,0.488
59000,22.516,40.399,85.188,85.475,0.003,0.007,0.482,0.487
59500,51.093,40.476,118.765,85.613,0.001,0.006,0.493,0.487
60000,18.134,40.296,56.765,85.345,0.004,0.006,0.482,0.487
60500,-1.062,39.519,82.536,84.484,0.014,0.006,0.285,0.485
61000,34.382,39.238,73.434,83.93,0.001,0.006,0.492,0.485
61500,27.703,38.707,84.402,82.986,0.002,0.006,0.487,0.485
62000,13.141,38.409,105.915,83.224,0.003,0.006,0.438,0.484
62500,26.853,38.264,87.024,83.395,0.003,0.006,0.485,0.484
63000,22.402,38.068,83.208,83.386,0.003,0.005,0.486,0.484
63500,20.288,37.706,86.975,83.338,0.004,0.005,0.485,0.484
64000,17.818,37.248,45.208,82.619,0.003,0.005,0.487,0.484
64500,16.457,37.112,65.808,82.551,0.002,0.005,0.476,0.484
65000,54.441,37.116,92.171,82.343,0.0,0.005,0.495,0.484
65500,32.868,37.286,83.878,82.854,0.001,0.005,0.49,0.484
66000,37.439,37.22,116.46,83.328,0.001,0.005,0.49,0.484
66500,25.364,36.8,78.202,82.948,0.002,0.005,0.49,0.484
67000,34.132,37.274,92.204,83.334,0.001,0.004,0.491,0.484
67500,-12.998,36.965,83.842,83.747,0.003,0.004,0.415,0.483
68000,39.224,37.213,112.841,84.491,0.002,0.004,0.493,0.483
68500,28.404,36.94,45.212,84.1,0.001,0.004,0.491,0.483
69000,7.682,36.619,56.376,83.977,0.002,0.004,0.412,0.482
69500,17.425,36.494,140.649,84.704,0.005,0.004,0.471,0.482
70000,0.983,35.997,90.702,84.494,0.008,0.004,0.325,0.481
70500,30.696,36.006,71.748,84.683,0.001,0.003,0.489,0.481
71000,27.301,35.964,96.646,85.188,0.002,0.003,0.487,0.48
71500,9.436,35.328,90.278,84.814,0.005,0.003,0.454,0.48
72000,10.222,35.166,109.158,85.346,0.003,0.003,0.421,0.479
72500,4.497,34.956,79.459,85.682,0.008,0.003,0.451,0.479
73000,-3.626,34.329,84.013,85.47,0.004,0.003,0.323,0.477
73500,30.36,34.228,96.236,85.811,0.002,0.003,0.489,0.477
74000,6.46,33.635,117.017,85.729,0.004,0.003,0.418,0.476
74500,8.954,33.286,109.802,86.01,0.003,0.003,0.435,0.476
75000,24.382,33.042,82.224,85.882,0.002,0.003,0.488,0.476
75500,8.016,32.581,92.695,86.03,0.002,0.003,0.375,0.475
76000,15.919,32.14,64.687,85.24,0.003,0.003,0.485,0.475
76500,9.099,31.798,104.971,85.668,0.003,0.003,0.353,0.473
77000,-15.503,31.222,132.659,86.016,0.001,0.003,0.426,0.473
77500,-5.221,30.734,103.404,86.03,0.011,0.003,0.144,0.469
78000,39.818,30.784,105.023,86.451,0.001,0.003,0.494,0.469
78500,2.479,30.269,93.382,86.448,0.002,0.003,0.228,0.466
79000,0.712,29.601,79.37,85.886,0.002,0.003,0.401,0.466
79500,11.586,29.248,76.753,85.662,0.002,0.003,0.487,0.466
80000,24.099,29.052,121.851,86.274,0.002,0.003,0.485,0.465
80500,32.169,28.86,113.694,86.52,0.002,0.003,0.495,0.465
81000,18.941,28.553,64.352,86.152,0.001,0.003,0.488,0.465
81500,7.756,28.157,84.094,86.312,0.003,0.003,0.485,0.465
82000,7.037,27.716,150.707,86.426,0.002,0.003,0.492,0.465
82500,30.517,27.5,118.605,86.667,0.003,0.003,0.491,0.465
83000,27.407,27.309,85.743,86.755,0.002,0.003,0.491,0.465
83500,15.124,27.042,67.224,86.841,0.003,0.003,0.473,0.465
84000,20.203,26.537,79.406,86.539,0.001,0.003,0.483,0.465
84500,20.358,26.521,60.919,86.669,0.0,0.003,0.499,0.465
85000,10.919,25.965,60.824,86.21,0.004,0.003,0.468,0.465
85500,2.065,25.433,75.027,85.885,0.002,0.003,0.43,0.464
86000,-2.799,25.359,81.212,86.156,0.009,0.003,0.408,0.465
86500,52.84,25.723,213.448,87.726,0.0,0.003,0.5,0.465
87000,14.045,25.563,116.323,88.282,0.003,0.003,0.477,0.465
87500,-2.801,25.263,105.04,88.634,0.003,0.003,0.484,0.465
88000,8.393,24.685,75.389,88.21,0.004,0.003,0.447,0.465
88500,0.47,24.173,89.354,88.037,0.001,0.003,0.483,0.464
89000,28.819,24.134,125.005,88.248,0.001,0.003,0.49,0.465
89500,12.874,23.943,125.186,88.944,0.003,0.003,0.473,0.464
90000,16.481,23.97,76.654,89.151,0.004,0.003,0.484,0.465
90500,16.297,23.814,97.913,89.517,0.001,0.003,0.485,0.465
91000,16.071,23.897,101.749,90.034,0.002,0.003,0.48,0.465
91500,15.329,23.567,112.944,90.148,0.002,0.003,0.477,0.465
92000,-3.62,23.165,54.809,89.769,0.013,0.003,0.367,0.464
92500,-11.189,22.644,90.699,89.844,0.002,0.003,0.485,0.464
93000,-10.016,22.064,83.856,89.894,0.005,0.003,0.438,0.463
93500,7.323,21.583,64.953,89.604,0.003,0.003,0.489,0.463
94000,9.793,21.262,98.046,89.812,0.001,0.003,0.483,0.463
94500,16.697,20.877,82.671,89.644,0.002,0.003,0.493,0.463
95000,2.499,20.309,68.515,89.077,0.002,0.003,0.485,0.463
95500,7.529,19.966,117.851,89.229,0.003,0.003,0.487,0.463
96000,5.708,19.708,88.327,89.365,0.002,0.003,0.471,0.463
96500,22.719,19.452,109.353,89.644,0.001,0.003,0.497,0.463
97000,25.264,19.196,81.213,89.334,0.0,0.003,0.498,0.463
97500,-9.162,18.841,80.638,89.132,0.003,0.003,0.421,0.462
98000,1.214,18.441,99.93,89.111,0.006,0.003,0.271,0.46
98500,7.405,18.196,83.975,89.221,0.007,0.003,0.444,0.46
99000,19.425,18.145,74.315,89.048,0.004,0.003,0.492,0.46
99500,20.984,17.976,90.124,89.263,0.003,0.003,0.495,0.46
100000,29.805,17.957,123.114,89.662,0.001,0.003,0.496,0.46
100500,14.348,17.847,93.106,89.861,0.001,0.003,0.489,0.46
101000,-0.864,17.675,113.803,90.461,0.007,0.003,0.484,0.46
101500,-9.315,17.075,110.739,90.684,0.002,0.003,0.494,0.46
102000,50.713,17.278,130.965,91.322,0.0,0.003,0.5,0.46
102500,8.305,16.946,68.24,91.155,0.008,0.003,0.471,0.46
103000,-11.601,16.62,94.69,91.46,0.001,0.003,0.483,0.46
103500,22.993,16.572,82.821,91.658,0.002,0.003,0.494,0.46
104000,27.46,16.527,91.49,91.566,0.0,0.003,0.497,0.46
104500,22.366,16.189,74.534,91.239,0.003,0.003,0.497,0.46
105000,17.105,16.193,70.77,91.155,0.002,0.003,0.498,0.46
105500,0.109,15.912,71.421,91.026,0.002,0.003,0.486,0.46
106000,4.089,15.762,134.217,91.623,0.003,0.003,0.48,0.461
106500,-6.55,15.627,113.257,92.034,0.001,0.003,0.498,0.461
107000,30.29,15.506,86.622,92.195,0.001,0.003,0.499,0.461
107500,36.805,15.5,111.298,92.479,0.001,0.003,0.498,0.461
108000,-0.989,15.195,76.719,92.592,0.003,0.003,0.488,0.461
108500,-26.011,14.645,110.505,92.875,0.002,0.003,0.496,0.461
109000,44.859,14.869,139.616,93.42,0.001,0.003,0.5,0.461
109500,1.173,14.369,130.5,93.537,0.003,0.003,0.48,0.461
110000,-3.097,14.157,85.464,93.824,0.002,0.003,0.49,0.461
110500,15.27,14.32,78.004,93.779,0.005,0.003,0.491,0.463
111000,14.769,14.124,95.574,94.0,0.004,0.003,0.486,0.463
111500,16.174,14.009,68.131,93.837,0.001,0.003,0.499,0.463
112000,19.528,14.073,77.383,93.552,0.002,0.003,0.497,0.464
112500,-1.891,13.785,108.575,93.768,0.003,0.003,0.495,0.464
113000,0.875,13.57,86.492,93.8,0.001,0.003,0.466,0.464
113500,5.488,13.422,97.235,93.903,0.001,0.003,0.455,0.464
114000,-30.323,12.941,125.626,94.707,0.009,0.003,0.475,0.464
114500,5.728,12.834,85.232,94.901,0.005,0.003,0.484,0.464
115000,18.372,12.473,70.741,94.687,0.002,0.003,0.496,0.464
115500,4.527,12.189,96.93,94.818,0.001,0.003,0.492,0.464
116000,32.777,12.143,117.916,94.832,0.001,0.003,0.499,0.464
116500,14.414,12.033,96.527,95.015,0.003,0.003,0.48,0.464
117000,11.59,11.808,81.469,94.908,0.003,0.003,0.483,0.464
117500,21.005,12.148,99.526,95.065,0.001,0.003,0.495,0.464
118000,11.548,11.871,94.152,94.878,0.005,0.003,0.495,0.464
118500,19.375,11.781,99.579,95.422,0.007,0.003,0.486,0.464
119000,12.781,11.832,93.13,95.789,0.002,0.003,0.489,0.465
119500,-19.036,11.467,172.442,96.107,0.003,0.003,0.496,0.465
120000,9.054,11.548,69.389,95.894,0.002,0.003,0.496,0.467
120500,5.907,11.3,53.45,95.711,0.009,0.003,0.473,0.467
121000,-6.589,10.961,69.937,95.444,0.003,0.003,0.494,0.467
121500,-10.799,10.759,111.114,95.652,0.001,0.003,0.498,0.467
122000,31.063,10.967,113.306,95.694,0.002,0.003,0.498,0.468
122500,13.509,11.057,64.98,95.549,0.003,0.003,0.494,0.469
123000,3.216,11.126,62.454,95.333,0.008,0.003,0.472,0.47
123500,7.083,10.893,123.859,95.61,0.006,0.003,0.447,0.47
124000,-2.508,10.803,103.141,95.471,0.003,0.003,0.495,0.47
124500,24.068,10.954,132.094,95.694,0.001,0.003,0.498,0.471
125000,21.343,10.924,101.187,95.883,0.002,0.003,0.493,0.471
125500,39.316,11.237,141.236,96.369,0.0,0.003,0.499,0.472
126000,-0.495,11.073,77.488,96.497,0.008,0.003,0.473,0.472
126500,11.497,11.097,81.107,96.258,0.002,0.003,0.497,0.474
127000,-4.19,11.21,119.23,96.124,0.002,0.003,0.495,0.474
127500,-4.141,11.221,96.786,96.058,0.002,0.003,0.421,0.477
128000,17.159,10.994,124.727,96.255,0.002,0.003,0.489,0.477
128500,-7.673,10.893,113.283,96.454,0.001,0.003,0.497,0.48
129000,-17.493,10.711,66.84,96.329,0.002,0.003,0.498,0.481
129500,15.07,10.746,71.027,96.271,0.001,0.003,0.486,0.481
130000,18.487,10.689,90.521,95.958,0.003,0.003,0.492,0.481
130500,12.649,10.494,120.841,96.029,0.004,0.003,0.493,0.481
131000,11.434,10.419,95.928,96.345,0.004,0.003,0.489,0.481
131500,33.823,10.68,104.673,96.551,0.001,0.003,0.497,0.481
132000,20.674,10.816,84.841,95.892,0.002,0.003,0.498,0.481
132500,26.336,10.774,110.24,95.809,0.002,0.003,0.498,0.481
133000,2.664,10.527,91.873,95.87,0.004,0.003,0.491,0.481
133500,-32.09,10.055,171.022,96.908,0.003,0.003,0.495,0.481
134000,0.373,9.856,126.175,97.376,0.004,0.003,0.477,0.481
134500,6.041,9.713,73.061,97.497,0.005,0.003,0.491,0.481
135000,8.968,9.694,63.699,97.526,0.004,0.003,0.486,0.481
135500,-6.462,9.609,95.954,97.735,0.008,0.003,0.487,0.482
136000,12.658,9.763,69.948,97.622,0.004,0.003,0.493,0.483
136500,13.201,9.367,72.347,96.211,0.002,0.003,0.479,0.482
137000,-2.839,9.198,72.362,95.772,0.001,0.003,0.483,0.483
137500,40.447,9.63,150.697,96.228,0.001,0.003,0.499,0.483
138000,1.276,9.559,66.8,96.143,0.005,0.003,0.466,0.483
138500,31.573,9.87,99.163,96.241,0.002,0.003,0.499,0.483
139000,-35.788,9.224,158.607,96.577,0.002,0.003,0.498,0.483
139500,1.55,9.111,93.857,96.263,0.003,0.003,0.487,0.483
140000,-18.486,8.761,65.963,96.156,0.001,0.003,0.498,0.483
140500,4.935,8.648,55.48,95.732,0.002,0.003,0.484,0.483
141000,10.903,8.596,94.136,95.656,0.004,0.003,0.497,0.484
141500,-0.749,8.435,96.691,95.493,0.002,0.003,0.494,0.484
142000,6.709,8.538,106.089,96.006,0.004,0.003,0.489,0.485
142500,0.932,8.66,128.793,96.387,0.005,0.003,0.488,0.485
143000,-0.963,8.75,81.603,96.365,0.003,0.003,0.475,0.485
143500,-3.249,8.644,72.246,96.438,0.005,0.003,0.473,0.485
144000,7.361,8.62,86.634,96.323,0.004,0.003,0.469,0.485
