Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,116.646,116.646,256.156,256.156,0.133,0.133,0.475,0.475
1000,60.438,88.542,95.789,175.973,0.097,0.115,0.486,0.481
1500,74.82,83.968,102.812,151.586,0.077,0.102,0.492,0.485
2000,34.269,71.544,51.388,126.536,0.074,0.095,0.491,0.486
2500,45.845,66.404,73.698,115.969,0.075,0.091,0.492,0.487
3000,25.572,59.599,45.709,104.259,0.088,0.09,0.487,0.487
3500,29.577,55.31,61.606,98.165,0.103,0.092,0.485,0.487
4000,52.815,54.998,76.561,95.465,0.043,0.086,0.496,0.488
4500,66.111,56.233,108.771,96.943,0.07,0.084,0.493,0.489
5000,46.637,55.273,68.154,94.064,0.052,0.081,0.494,0.489
5500,69.217,56.541,134.151,97.709,0.059,0.079,0.493,0.489
6000,54.915,56.405,81.094,96.324,0.055,0.077,0.493,0.49
6500,35.41,54.79,55.442,93.179,0.061,0.076,0.49,0.49
7000,25.222,52.678,49.861,90.085,0.068,0.075,0.482,0.489
7500,52.462,52.664,73.604,88.986,0.044,0.073,0.492,0.489
8000,24.913,50.929,51.724,86.658,0.077,0.074,0.476,0.489
8500,41.578,50.379,56.085,84.859,0.054,0.072,0.488,0.489
9000,14.913,48.409,34.998,82.089,0.083,0.073,0.45,0.486
9500,52.203,48.609,109.778,83.546,0.041,0.071,0.484,0.486
10000,47.109,48.534,71.967,82.967,0.052,0.07,0.484,0.486
10500,53.732,48.781,102.145,83.881,0.045,0.069,0.483,0.486
11000,52.833,48.965,77.902,83.609,0.038,0.068,0.485,0.486
11500,10.565,47.296,40.478,81.734,0.089,0.069,0.383,0.481
12000,56.35,47.673,60.027,80.829,0.023,0.067,0.488,0.482
12500,2.907,45.882,49.226,79.565,0.126,0.069,0.169,0.469
13000,33.318,45.399,60.61,78.836,0.041,0.068,0.465,0.469
13500,62.59,46.036,104.529,79.788,0.029,0.067,0.481,0.47
14000,40.622,45.843,97.314,80.414,0.04,0.066,0.464,0.469
14500,68.418,46.621,106.733,81.321,0.026,0.064,0.483,0.47
15000,48.138,46.672,84.555,81.429,0.022,0.063,0.474,0.47
15500,63.713,47.221,104.393,82.17,0.017,0.061,0.48,0.47
16000,50.066,47.31,74.999,81.946,0.027,0.06,0.477,0.47
16500,70.661,48.018,188.006,85.16,0.021,0.059,0.472,0.47
17000,100.751,49.569,242.023,89.773,0.019,0.058,0.482,0.471
17500,86.92,50.636,161.745,91.83,0.018,0.057,0.483,0.471
18000,58.662,50.859,98.918,92.026,0.018,0.056,0.478,0.471
18500,55.46,50.983,86.084,91.866,0.019,0.055,0.48,0.472
19000,76.909,51.665,133.293,92.956,0.018,0.054,0.48,0.472
19500,48.531,51.585,80.077,92.626,0.023,0.053,0.474,0.472
20000,42.243,51.352,81.517,92.348,0.021,0.052,0.467,0.472
20500,8.132,50.297,35.824,90.969,0.053,0.052,0.372,0.469
21000,66.708,50.688,129.89,91.896,0.017,0.051,0.477,0.469
21500,60.133,50.908,114.811,92.429,0.011,0.05,0.475,0.47
22000,38.642,50.629,76.52,92.067,0.02,0.05,0.467,0.47
22500,59.343,50.823,85.603,91.924,0.009,0.049,0.481,0.47
23000,27.481,50.315,52.373,91.064,0.013,0.048,0.45,0.469
23500,16.324,49.592,56.985,90.339,0.024,0.048,0.407,0.468
24000,59.614,49.801,99.894,90.538,0.01,0.047,0.475,0.468
24500,53.627,49.879,108.245,90.899,0.008,0.046,0.471,0.468
25000,63.774,50.157,120.55,91.492,0.011,0.045,0.477,0.468
25500,66.018,50.468,105.027,91.758,0.008,0.045,0.481,0.469
26000,48.275,50.426,87.946,91.684,0.007,0.044,0.47,0.469
26500,63.249,50.668,123.195,92.279,0.007,0.043,0.476,0.469
27000,37.294,50.42,103.606,92.489,0.019,0.043,0.438,0.468
27500,21.704,49.898,57.234,91.848,0.015,0.042,0.437,0.468
28000,52.721,49.948,90.254,91.819,0.005,0.042,0.473,0.468
28500,68.027,50.265,169.694,93.186,0.011,0.041,0.476,0.468
29000,60.372,50.44,120.155,93.651,0.008,0.04,0.476,0.468
29500,63.516,50.661,145.498,94.529,0.007,0.04,0.476,0.468
30000,37.653,50.444,43.609,93.681,0.007,0.039,0.476,0.468
30500,44.007,50.339,73.139,93.344,0.007,0.039,0.469,0.468
31000,41.766,50.201,102.575,93.493,0.01,0.038,0.461,0.468
31500,36.629,49.985,73.215,93.171,0.004,0.038,0.465,0.468
32000,20.993,49.532,69.881,92.807,0.01,0.037,0.425,0.468
32500,-0.802,48.758,33.273,91.891,0.027,0.037,0.213,0.464
33000,31.303,48.493,72.709,91.6,0.008,0.037,0.461,0.464
33500,26.801,48.17,111.7,91.9,0.006,0.036,0.436,0.463
34000,44.089,48.11,120.602,92.323,0.007,0.036,0.472,0.463
34500,11.717,47.582,71.331,92.018,0.009,0.035,0.327,0.461
35000,35.688,47.412,116.46,92.367,0.005,0.035,0.449,0.461
35500,7.804,46.854,98.434,92.453,0.008,0.035,0.235,0.458
36000,17.086,46.441,73.593,92.191,0.009,0.034,0.438,0.458
36500,-3.548,45.756,67.32,91.85,0.01,0.034,0.249,0.455
37000,24.21,45.465,83.329,91.735,0.008,0.034,0.451,0.455
37500,7.9,44.964,71.557,91.466,0.011,0.033,0.333,0.453
38000,17.714,44.606,34.346,90.715,0.005,0.033,0.44,0.453
38500,50.481,44.682,94.664,90.766,0.003,0.033,0.468,0.453
39000,34.836,44.556,77.009,90.589,0.004,0.032,0.467,0.453
39500,15.779,44.191,37.801,89.921,0.006,0.032,0.433,0.453
40000,-4.586,43.582,74.664,89.731,0.012,0.032,0.097,0.449
40500,-9.294,42.929,65.394,89.43,0.008,0.031,0.314,0.447
41000,-7.283,42.317,67.41,89.162,0.011,0.031,0.021,0.442
41500,38.554,42.271,117.566,89.504,0.003,0.031,0.461,0.442
42000,1.218,41.783,61.076,89.165,0.008,0.03,0.039,0.437
42500,-6.608,41.213,140.728,89.772,0.007,0.03,0.13,0.434
43000,-5.13,40.674,55.089,89.369,0.008,0.03,0.106,0.43
43500,31.297,40.567,72.167,89.171,0.003,0.03,0.463,0.43
44000,-19.08,39.889,98.515,89.277,0.005,0.029,0.343,0.429
44500,29.204,39.769,58.354,88.93,0.002,0.029,0.46,0.429
45000,29.636,39.656,68.406,88.702,0.002,0.029,0.458,0.43
45500,45.731,39.723,104.245,88.872,0.002,0.028,0.478,0.43
46000,13.658,39.44,71.841,88.687,0.003,0.028,0.391,0.43
46500,6.9,39.09,87.972,88.68,0.005,0.028,0.263,0.428
47000,-5.321,38.617,49.444,88.262,0.005,0.028,0.104,0.425
47500,6.241,38.276,167.208,89.093,0.005,0.027,0.075,0.421
48000,-29.489,37.571,145.631,89.682,0.004,0.027,0.401,0.421
48500,0.891,37.192,58.091,89.356,0.005,0.027,0.011,0.417
49000,4.3,36.857,92.35,89.387,0.006,0.027,0.276,0.415
49500,-30.313,36.178,85.35,89.346,0.004,0.026,0.409,0.415
50000,-19.69,35.62,76.225,89.215,0.005,0.026,0.336,0.414
50500,5.403,34.507,113.178,87.785,0.004,0.025,0.078,0.41
51000,3.127,33.934,102.765,87.855,0.004,0.024,0.134,0.407
51500,15.709,33.343,64.489,87.472,0.002,0.023,0.384,0.406
52000,-4.083,32.959,50.146,87.459,0.005,0.023,0.175,0.403
52500,9.816,32.599,71.455,87.437,0.005,0.022,0.394,0.402
53000,25.959,32.603,96.962,87.949,0.002,0.021,0.454,0.401
53500,-5.075,32.256,85.918,88.193,0.004,0.02,0.059,0.397
54000,20.894,31.937,88.333,88.31,0.002,0.02,0.385,0.396
54500,-8.235,31.194,57.176,87.794,0.005,0.019,0.185,0.393
55000,-7.795,30.65,70.291,87.816,0.004,0.019,0.258,0.39
55500,-19.996,29.757,115.648,87.631,0.002,0.018,0.356,0.389
56000,5.879,29.267,89.829,87.718,0.004,0.017,0.173,0.386
56500,-2.776,28.885,83.683,88.0,0.004,0.017,0.148,0.382
57000,23.28,28.866,67.152,88.173,0.002,0.016,0.459,0.382
57500,-8.893,28.252,161.799,89.055,0.005,0.016,0.022,0.377
58000,6.59,28.069,69.398,89.232,0.003,0.015,0.198,0.375
58500,-19.336,27.46,68.166,89.353,0.003,0.015,0.387,0.374
59000,-19.386,27.117,117.043,90.173,0.002,0.014,0.396,0.373
59500,-3.389,26.561,48.229,89.558,0.003,0.013,0.036,0.369
60000,11.588,26.206,64.455,89.483,0.002,0.013,0.315,0.367
60500,-3.067,25.638,27.918,88.74,0.003,0.012,0.209,0.364
61000,5.223,25.162,87.778,88.839,0.003,0.012,0.214,0.362
61500,6.877,25.125,80.482,89.239,0.002,0.011,0.348,0.361
62000,2.252,24.584,78.583,89.425,0.004,0.011,0.289,0.359
62500,37.669,24.931,119.883,90.131,0.0,0.01,0.499,0.363
63000,18.711,24.785,105.434,90.58,0.002,0.009,0.359,0.361
63500,34.021,24.5,79.75,90.332,0.0,0.009,0.497,0.362
64000,34.443,24.438,88.961,90.248,0.001,0.009,0.474,0.362
64500,-12.861,23.625,51.714,89.698,0.001,0.008,0.493,0.362
65000,13.023,23.274,105.921,89.912,0.002,0.008,0.464,0.362
65500,30.829,22.945,92.478,89.793,0.001,0.008,0.469,0.362
66000,21.064,22.655,109.163,90.134,0.0,0.008,0.499,0.362
66500,22.595,22.174,47.243,88.727,0.001,0.008,0.455,0.362
67000,17.343,21.34,52.191,86.828,0.001,0.007,0.436,0.361
67500,11.616,20.587,59.776,85.809,0.002,0.007,0.435,0.361
68000,11.363,20.114,80.081,85.62,0.002,0.007,0.384,0.36
68500,-31.657,19.243,73.23,85.492,0.001,0.007,0.461,0.36
69000,-14.842,18.326,77.147,84.93,0.002,0.007,0.479,0.36
69500,16.642,18.007,52.002,84.649,0.001,0.007,0.492,0.36
70000,-0.742,17.577,56.762,84.402,0.001,0.006,0.419,0.359
70500,20.034,17.696,52.391,84.568,0.001,0.006,0.482,0.36
71000,-23.89,16.79,85.373,84.122,0.001,0.006,0.46,0.36
71500,5.676,16.245,83.136,83.806,0.002,0.006,0.323,0.359
72000,-17.138,15.687,72.399,83.764,0.001,0.005,0.487,0.359
72500,18.404,15.278,71.239,83.621,0.001,0.005,0.475,0.359
73000,18.306,15.186,66.407,83.761,0.001,0.005,0.443,0.359
73500,17.445,15.198,79.607,83.987,0.0,0.005,0.497,0.36
74000,26.803,14.869,53.775,83.526,0.001,0.005,0.489,0.36
74500,16.29,14.496,74.519,83.189,0.002,0.005,0.441,0.36
75000,47.372,14.332,126.74,83.251,0.0,0.005,0.498,0.36
75500,12.92,13.801,75.953,82.96,0.001,0.005,0.44,0.359
76000,18.956,13.508,67.814,82.759,0.001,0.005,0.486,0.359
76500,-30.594,12.569,149.483,83.022,0.001,0.005,0.489,0.36
77000,45.492,12.651,134.679,83.332,0.0,0.004,0.496,0.36
77500,23.879,12.673,49.422,83.254,0.001,0.004,0.486,0.361
78000,-13.682,12.009,90.197,83.254,0.001,0.004,0.474,0.361
78500,35.247,11.681,106.919,82.626,0.001,0.004,0.49,0.361
79000,-25.741,10.82,116.195,82.586,0.001,0.004,0.484,0.361
79500,1.567,10.201,65.441,81.786,0.001,0.004,0.479,0.361
80000,-1.83,9.806,78.426,82.134,0.001,0.004,0.493,0.361
80500,25.119,9.617,64.988,82.052,0.001,0.004,0.49,0.361
81000,26.503,9.464,71.195,81.739,0.001,0.004,0.479,0.361
81500,-3.585,9.062,79.379,81.8,0.001,0.004,0.453,0.361
82000,12.914,8.981,108.61,82.188,0.001,0.004,0.491,0.362
