Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,259.789,259.789,1206.018,1206.018,0.063,0.063,0.484,0.484
1000,273.259,266.524,1284.583,1245.3,0.028,0.046,0.486,0.485
1500,171.738,234.929,486.125,992.242,0.017,0.036,0.487,0.486
2000,202.332,226.779,834.195,952.73,0.025,0.034,0.485,0.485
2500,112.54,203.932,396.257,841.436,0.015,0.03,0.48,0.484
3000,19.435,173.182,15.928,703.851,0.019,0.028,0.468,0.482
3500,74.057,159.021,201.267,632.053,0.018,0.027,0.466,0.479
4000,144.468,157.202,427.719,606.512,0.015,0.025,0.477,0.479
4500,27.884,142.834,53.942,545.115,0.044,0.027,0.365,0.466
5000,102.434,138.794,222.0,512.803,0.017,0.026,0.427,0.462
5500,164.643,141.144,646.001,524.912,0.026,0.026,0.436,0.46
6000,146.576,141.596,367.869,511.825,0.01,0.025,0.445,0.459
6500,77.283,136.649,142.224,483.395,0.008,0.024,0.394,0.454
7000,374.456,153.635,2513.065,628.371,0.015,0.023,0.429,0.452
7500,124.047,151.663,351.89,609.939,0.021,0.023,0.435,0.451
8000,195.59,154.408,662.604,613.23,0.007,0.022,0.463,0.452
8500,144.434,153.821,398.789,600.616,0.013,0.021,0.467,0.453
9000,124.633,152.2,311.866,584.575,0.009,0.021,0.451,0.452
9500,223.148,155.934,1354.524,625.098,0.026,0.021,0.426,0.451
10000,250.27,160.651,1114.779,649.582,0.008,0.02,0.468,0.452
10500,249.727,164.893,1719.926,700.551,0.019,0.02,0.407,0.45
11000,219.121,167.357,787.67,704.511,0.008,0.02,0.486,0.451
11500,172.597,167.585,662.775,702.696,0.016,0.019,0.461,0.452
12000,254.042,171.188,978.995,714.209,0.041,0.02,0.43,0.451
12500,207.462,172.639,942.144,723.326,0.009,0.02,0.41,0.449
13000,203.917,173.842,1005.704,734.187,0.014,0.02,0.428,0.448
13500,35.762,168.728,105.943,710.919,0.041,0.02,0.361,0.445
14000,138.723,167.656,360.503,698.404,0.013,0.02,0.437,0.445
14500,8.107,162.154,5.971,674.527,0.03,0.021,0.37,0.442
15000,265.358,165.594,1389.885,698.372,0.024,0.021,0.424,0.442
15500,292.865,169.7,1622.255,728.175,0.053,0.022,0.372,0.44
