Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,117.725,117.725,261.165,261.165,0.108,0.108,0.485,0.485
1000,80.672,99.199,150.091,205.628,0.09,0.099,0.489,0.487
1500,56.079,84.825,89.749,167.002,0.082,0.093,0.49,0.488
2000,83.325,84.45,133.779,158.696,0.049,0.082,0.496,0.49
2500,52.345,78.029,82.582,143.473,0.072,0.08,0.492,0.49
3000,54.019,74.027,79.335,132.783,0.067,0.078,0.492,0.491
3500,63.656,72.546,86.233,126.133,0.06,0.075,0.494,0.491
4000,77.867,73.211,137.426,127.545,0.05,0.072,0.494,0.491
4500,54.179,71.096,111.64,125.778,0.071,0.072,0.487,0.491
5000,68.951,70.882,139.576,127.158,0.056,0.071,0.489,0.491
5500,54.48,69.391,104.04,125.056,0.057,0.069,0.486,0.49
6000,60.681,68.665,89.183,122.067,0.041,0.067,0.489,0.49
6500,124.804,72.983,275.124,133.84,0.04,0.065,0.491,0.49
7000,80.989,73.555,160.008,135.709,0.038,0.063,0.485,0.49
7500,63.518,72.886,97.468,133.16,0.03,0.061,0.483,0.489
8000,58.592,71.993,158.759,134.76,0.042,0.06,0.466,0.488
8500,47.161,70.532,91.807,132.233,0.045,0.059,0.47,0.487
9000,99.112,72.12,194.988,135.72,0.028,0.057,0.482,0.487
9500,91.388,73.134,187.48,138.444,0.025,0.055,0.481,0.486
10000,59.372,72.446,109.28,136.986,0.034,0.054,0.476,0.486
10500,44.028,71.092,58.412,133.244,0.028,0.053,0.472,0.485
11000,54.781,70.351,138.146,133.467,0.024,0.052,0.461,0.484
11500,107.251,71.955,259.85,138.962,0.013,0.05,0.48,0.484
12000,53.49,71.186,124.397,138.355,0.022,0.049,0.464,0.483
12500,72.125,71.224,125.127,137.826,0.019,0.048,0.475,0.483
13000,104.751,72.513,252.91,142.252,0.015,0.046,0.478,0.483
13500,59.443,72.029,120.064,141.43,0.017,0.045,0.472,0.482
14000,86.347,72.54,217.882,144.161,0.011,0.044,0.474,0.482
14500,96.953,73.382,229.294,147.096,0.019,0.043,0.478,0.482
15000,34.215,72.077,69.164,144.499,0.016,0.042,0.452,0.481
15500,94.568,72.802,232.032,147.322,0.006,0.041,0.474,0.48
16000,51.99,72.152,97.068,145.752,0.013,0.04,0.469,0.48
16500,74.742,72.23,130.659,145.295,0.017,0.04,0.475,0.48
17000,84.358,72.587,173.751,146.131,0.009,0.039,0.478,0.48
17500,46.102,71.83,94.778,144.664,0.009,0.038,0.465,0.48
18000,88.453,72.292,186.369,145.823,0.005,0.037,0.478,0.479
18500,90.288,72.778,194.766,147.145,0.003,0.036,0.475,0.479
19000,79.195,72.947,176.932,147.929,0.004,0.035,0.476,0.479
19500,41.723,72.147,72.25,145.989,0.006,0.034,0.462,0.479
20000,62.651,71.909,137.819,145.785,0.004,0.034,0.472,0.479
20500,53.378,71.457,90.141,144.427,0.003,0.033,0.471,0.478
21000,56.32,71.097,112.246,143.661,0.004,0.032,0.471,0.478
21500,71.74,71.112,136.728,143.5,0.002,0.031,0.477,0.478
22000,30.14,70.181,72.652,141.89,0.004,0.031,0.442,0.477
22500,39.354,69.496,114.198,141.274,0.004,0.03,0.449,0.477
23000,46.878,69.004,109.081,140.575,0.003,0.03,0.463,0.476
23500,19.517,67.951,65.321,138.973,0.004,0.029,0.417,0.475
24000,65.042,67.89,114.102,138.455,0.002,0.029,0.476,0.475
24500,25.805,67.031,63.177,136.919,0.004,0.028,0.456,0.475
25000,113.987,67.971,285.592,139.892,0.002,0.028,0.48,0.475
25500,50.31,67.624,123.139,139.564,0.002,0.027,0.463,0.475
26000,78.863,67.84,180.72,140.355,0.002,0.027,0.48,0.475
26500,63.17,67.752,105.786,139.703,0.001,0.026,0.478,0.475
27000,19.014,66.85,62.877,138.28,0.003,0.026,0.397,0.473
27500,25.411,66.096,45.252,136.589,0.002,0.025,0.454,0.473
28000,46.966,65.755,90.963,135.774,0.001,0.025,0.462,0.473
28500,52.76,65.527,91.98,135.006,0.001,0.024,0.472,0.473
29000,32.927,64.965,96.975,134.35,0.002,0.024,0.448,0.472
29500,23.441,64.261,90.983,133.615,0.003,0.024,0.413,0.471
30000,26.122,63.625,68.348,132.527,0.002,0.023,0.444,0.471
30500,26.224,63.012,76.439,131.608,0.002,0.023,0.447,0.471
31000,13.942,62.221,120.859,131.435,0.004,0.023,0.385,0.469
31500,45.364,61.953,102.803,130.98,0.001,0.022,0.462,0.469
32000,34.905,61.53,108.266,130.625,0.002,0.022,0.459,0.469
32500,36.738,61.149,114.07,130.37,0.001,0.022,0.455,0.469
33000,18.813,60.508,40.233,129.005,0.001,0.021,0.446,0.468
33500,8.24,59.727,82.012,128.303,0.002,0.021,0.332,0.466
34000,35.341,59.369,114.282,128.097,0.001,0.021,0.446,0.466
34500,34.671,59.011,73.664,127.308,0.001,0.02,0.472,0.466
35000,-14.818,57.956,107.26,127.022,0.002,0.02,0.293,0.464
35500,0.903,57.153,54.018,125.994,0.002,0.02,0.07,0.458
36000,14.924,56.566,57.71,125.045,0.002,0.02,0.408,0.457
36500,10.152,55.93,27.57,123.71,0.004,0.019,0.262,0.455
37000,12.664,55.346,107.055,123.485,0.002,0.019,0.415,0.454
37500,21.672,54.897,104.179,123.228,0.001,0.019,0.435,0.454
38000,45.805,54.777,95.294,122.86,0.001,0.019,0.472,0.454
38500,37.916,54.558,85.672,122.377,0.001,0.019,0.471,0.454
39000,-3.254,53.817,106.892,122.178,0.002,0.018,0.031,0.449
39500,19.852,53.387,57.161,121.355,0.002,0.018,0.4,0.448
40000,15.218,52.91,95.591,121.033,0.002,0.018,0.318,0.447
40500,6.968,52.343,71.777,120.425,0.002,0.018,0.185,0.443
41000,-5.946,51.632,107.434,120.267,0.002,0.018,0.054,0.439
41500,10.395,51.135,76.11,119.735,0.002,0.017,0.362,0.438
42000,42.141,51.028,104.72,119.556,0.001,0.017,0.468,0.438
42500,8.556,50.528,53.296,118.777,0.002,0.017,0.364,0.437
43000,22.458,50.202,77.94,118.302,0.001,0.017,0.426,0.437
43500,-51.228,49.036,174.185,118.944,0.001,0.017,0.442,0.437
44000,-15.662,48.301,217.149,120.06,0.002,0.016,0.188,0.434
44500,-4.707,47.705,90.139,119.724,0.002,0.016,0.155,0.431
45000,25.512,47.459,65.293,119.119,0.001,0.016,0.454,0.431
45500,17.012,47.124,123.929,119.172,0.001,0.016,0.402,0.431
46000,12.083,46.743,128.884,119.277,0.001,0.016,0.349,0.43
46500,11.658,46.366,76.033,118.812,0.001,0.016,0.391,0.43
47000,22.935,46.117,145.089,119.092,0.001,0.015,0.397,0.429
47500,-3.677,45.592,122.14,119.124,0.002,0.015,0.139,0.426
48000,13.237,45.255,106.821,118.996,0.001,0.015,0.31,0.425
48500,7.096,44.862,117.937,118.985,0.002,0.015,0.331,0.424
49000,12.384,44.531,70.368,118.489,0.001,0.015,0.357,0.424
49500,17.918,44.262,92.044,118.222,0.001,0.015,0.415,0.423
