Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,122.381,122.381,266.227,266.227,0.082,0.082,0.492,0.492
1000,90.044,106.213,153.907,210.067,0.053,0.068,0.496,0.494
1500,48.988,87.138,67.828,162.654,0.053,0.063,0.496,0.494
2000,64.325,81.434,112.066,150.007,0.047,0.059,0.497,0.495
2500,65.041,78.156,145.822,149.17,0.045,0.056,0.496,0.495
3000,74.723,77.584,125.877,145.288,0.033,0.052,0.498,0.496
3500,25.955,70.208,49.344,131.581,0.047,0.052,0.495,0.496
4000,46.229,67.211,68.866,123.742,0.03,0.049,0.498,0.496
4500,86.405,69.343,162.616,128.061,0.024,0.046,0.498,0.496
5000,41.307,66.54,57.124,120.968,0.03,0.045,0.497,0.496
5500,56.353,65.614,89.042,118.065,0.023,0.043,0.498,0.496
6000,41.861,63.634,111.308,117.502,0.033,0.042,0.495,0.496
6500,105.247,66.835,222.045,125.544,0.022,0.04,0.498,0.496
7000,26.515,63.955,33.446,118.965,0.03,0.04,0.495,0.496
7500,5.033,60.027,32.685,113.213,0.105,0.044,0.392,0.489
8000,54.581,59.687,123.397,113.85,0.025,0.043,0.495,0.49
8500,59.754,59.691,96.327,112.819,0.014,0.041,0.496,0.49
9000,53.344,59.338,90.62,111.586,0.019,0.04,0.495,0.49
9500,21.653,57.355,37.11,107.666,0.026,0.039,0.486,0.49
10000,27.749,55.874,83.954,106.48,0.033,0.039,0.479,0.49
10500,77.205,56.89,150.181,108.561,0.016,0.038,0.494,0.49
11000,62.039,57.124,92.094,107.813,0.011,0.037,0.494,0.49
11500,8.172,54.996,49.445,105.275,0.048,0.037,0.37,0.485
12000,56.994,55.079,98.716,105.002,0.015,0.036,0.49,0.485
12500,62.218,55.365,102.798,104.914,0.011,0.035,0.49,0.485
13000,21.147,54.049,54.978,102.993,0.014,0.034,0.455,0.484
13500,45.779,53.742,68.166,101.703,0.01,0.033,0.486,0.484
14000,41.005,53.287,68.351,100.512,0.011,0.033,0.482,0.484
14500,22.166,52.214,61.977,99.183,0.018,0.032,0.451,0.483
15000,29.662,51.462,79.134,98.515,0.014,0.032,0.461,0.482
15500,35.74,50.955,51.009,96.982,0.01,0.031,0.481,0.482
16000,66.57,51.443,97.537,97.0,0.006,0.03,0.488,0.482
16500,78.184,52.254,154.484,98.742,0.005,0.029,0.486,0.482
17000,1.432,50.759,36.828,96.921,0.022,0.029,0.15,0.473
17500,88.167,51.828,175.107,99.155,0.005,0.028,0.487,0.473
18000,44.364,51.62,129.022,99.984,0.01,0.028,0.468,0.473
18500,8.656,50.459,29.065,98.068,0.008,0.027,0.364,0.47
19000,63.903,50.813,99.939,98.117,0.005,0.027,0.486,0.47
19500,78.836,51.531,118.592,98.642,0.003,0.026,0.488,0.471
20000,23.054,50.82,61.066,97.702,0.005,0.026,0.442,0.47
20500,59.954,51.042,91.385,97.548,0.002,0.025,0.484,0.47
21000,64.255,51.357,116.377,97.997,0.004,0.024,0.483,0.471
21500,42.466,51.15,63.348,97.191,0.004,0.024,0.48,0.471
22000,22.643,50.502,31.529,95.699,0.004,0.024,0.468,0.471
22500,40.178,50.273,55.365,94.802,0.003,0.023,0.481,0.471
23000,34.884,49.938,45.628,93.733,0.004,0.023,0.479,0.471
23500,44.998,49.833,88.037,93.612,0.004,0.022,0.476,0.471
24000,28.825,49.395,66.596,93.049,0.006,0.022,0.462,0.471
24500,17.955,48.754,57.877,92.331,0.007,0.022,0.431,0.47
25000,18.544,48.15,45.487,91.395,0.006,0.021,0.447,0.47
25500,23.869,47.674,82.795,91.226,0.005,0.021,0.441,0.469
26000,30.298,47.339,53.732,90.505,0.002,0.021,0.466,0.469
26500,33.31,47.075,62.923,89.984,0.004,0.02,0.476,0.469
27000,36.415,46.877,53.406,89.307,0.003,0.02,0.478,0.47
27500,57.649,47.073,99.657,89.495,0.002,0.02,0.482,0.47
28000,27.837,46.73,57.009,88.915,0.003,0.019,0.465,0.47
28500,14.121,46.158,50.777,88.246,0.005,0.019,0.416,0.469
29000,-10.261,45.185,43.903,87.482,0.009,0.019,0.245,0.465
29500,-0.983,44.402,43.413,86.735,0.006,0.019,0.052,0.458
30000,56.908,44.611,108.648,87.1,0.003,0.018,0.485,0.458
30500,44.431,44.608,93.373,87.203,0.001,0.018,0.472,0.459
31000,33.674,44.431,77.64,87.048,0.002,0.018,0.468,0.459
31500,58.582,44.656,84.188,87.003,0.001,0.018,0.485,0.459
32000,16.602,44.218,49.285,86.414,0.003,0.017,0.425,0.459
