Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,114.417,114.417,246.982,246.982,0.051,0.051,0.497,0.497
1000,117.683,116.05,254.593,250.788,0.041,0.046,0.498,0.498
1500,85.686,105.928,141.739,214.438,0.034,0.042,0.499,0.498
2000,72.0,97.446,103.914,186.807,0.023,0.037,0.499,0.498
2500,76.288,93.215,143.967,178.239,0.022,0.034,0.499,0.498
3000,69.922,89.332,117.342,168.09,0.023,0.032,0.499,0.499
3500,62.241,85.462,124.978,161.931,0.027,0.032,0.499,0.499
4000,40.814,79.881,56.481,148.75,0.019,0.03,0.499,0.499
4500,67.3,78.483,142.446,148.049,0.018,0.029,0.499,0.499
5000,41.111,74.746,73.286,140.573,0.021,0.028,0.499,0.499
5500,76.908,74.943,146.478,141.11,0.016,0.027,0.5,0.499
6000,43.917,72.357,80.569,136.065,0.018,0.026,0.499,0.499
6500,64.92,71.785,101.232,133.385,0.012,0.025,0.5,0.499
7000,58.45,70.833,88.969,130.213,0.01,0.024,0.5,0.499
7500,34.707,68.424,70.98,126.264,0.018,0.024,0.499,0.499
8000,60.334,67.919,109.801,125.235,0.011,0.023,0.5,0.499
8500,39.249,66.232,69.458,121.954,0.013,0.022,0.5,0.499
9000,70.523,66.471,122.848,122.004,0.011,0.022,0.5,0.499
9500,66.661,66.481,158.192,123.908,0.012,0.021,0.5,0.499
10000,55.261,65.92,90.878,122.257,0.012,0.021,0.5,0.499
10500,49.306,65.128,116.367,121.976,0.011,0.02,0.5,0.499
11000,54.881,64.663,128.305,122.264,0.011,0.02,0.5,0.499
11500,37.751,63.493,100.061,121.299,0.013,0.019,0.499,0.499
12000,32.7,62.21,51.512,118.391,0.014,0.019,0.499,0.499
12500,17.102,60.405,55.007,115.855,0.017,0.019,0.498,0.499
13000,15.601,58.682,80.293,114.488,0.028,0.019,0.495,0.499
13500,55.3,58.557,96.708,113.829,0.008,0.019,0.5,0.499
14000,21.393,57.229,52.314,111.632,0.014,0.019,0.498,0.499
14500,59.339,57.302,95.243,111.067,0.006,0.018,0.5,0.499
15000,48.932,57.023,93.714,110.489,0.009,0.018,0.499,0.499
15500,65.392,57.293,98.944,110.116,0.006,0.018,0.5,0.499
16000,84.47,58.142,176.552,112.192,0.005,0.017,0.499,0.499
16500,65.645,58.37,106.91,112.032,0.007,0.017,0.499,0.499
17000,88.772,59.264,208.423,114.867,0.007,0.017,0.499,0.499
17500,52.716,59.077,92.912,114.24,0.007,0.016,0.499,0.499
18000,7.748,57.651,72.71,113.086,0.045,0.017,0.468,0.498
18500,22.445,56.7,69.484,111.908,0.017,0.017,0.495,0.498
19000,31.734,56.043,46.06,110.175,0.006,0.017,0.498,0.498
19500,39.489,55.618,65.394,109.027,0.006,0.017,0.498,0.498
20000,52.577,55.542,98.546,108.765,0.006,0.016,0.498,0.498
20500,31.679,54.96,116.677,108.958,0.011,0.016,0.495,0.498
21000,32.061,54.415,84.692,108.38,0.008,0.016,0.496,0.498
21500,52.318,54.366,100.577,108.199,0.005,0.016,0.498,0.498
22000,9.016,53.335,40.666,106.664,0.018,0.016,0.475,0.498
22500,45.429,53.16,76.909,106.002,0.006,0.016,0.498,0.498
23000,61.908,53.35,107.07,106.026,0.005,0.015,0.498,0.498
23500,35.758,52.976,98.102,105.857,0.01,0.015,0.495,0.497
24000,57.454,53.069,117.045,106.09,0.007,0.015,0.498,0.497
24500,72.631,53.468,139.306,106.768,0.004,0.015,0.498,0.497
25000,51.354,53.426,103.283,106.698,0.006,0.015,0.497,0.497
25500,56.738,53.491,95.125,106.471,0.004,0.014,0.498,0.497
26000,59.045,53.598,92.782,106.208,0.003,0.014,0.498,0.497
26500,56.33,53.649,105.882,106.202,0.004,0.014,0.497,0.497
27000,41.342,53.421,76.814,105.658,0.005,0.014,0.496,0.497
27500,52.272,53.4,103.873,105.625,0.004,0.014,0.497,0.497
28000,13.984,52.696,51.221,104.654,0.009,0.014,0.48,0.497
28500,26.676,52.24,86.535,104.336,0.005,0.013,0.49,0.497
29000,63.995,52.443,106.451,104.372,0.003,0.013,0.498,0.497
29500,42.425,52.273,71.174,103.81,0.003,0.013,0.496,0.497
30000,32.288,51.94,72.565,103.289,0.005,0.013,0.494,0.497
30500,37.317,51.7,82.834,102.954,0.005,0.013,0.495,0.497
31000,79.281,52.145,160.441,103.881,0.003,0.013,0.498,0.497
31500,26.664,51.74,70.509,103.351,0.007,0.013,0.491,0.497
32000,42.798,51.601,99.889,103.297,0.003,0.012,0.495,0.497
32500,13.425,51.013,54.06,102.54,0.007,0.012,0.476,0.496
33000,44.111,50.909,83.653,102.253,0.004,0.012,0.496,0.496
33500,12.341,50.333,74.513,101.839,0.01,0.012,0.468,0.496
34000,43.795,50.237,90.0,101.665,0.003,0.012,0.496,0.496
34500,13.443,49.704,50.243,100.92,0.007,0.012,0.479,0.496
35000,0.976,49.008,36.094,99.994,0.019,0.012,0.267,0.493
35500,28.513,48.719,77.837,99.682,0.004,0.012,0.491,0.493
36000,13.003,48.223,61.217,99.148,0.005,0.012,0.471,0.492
36500,48.856,48.232,125.03,99.502,0.003,0.012,0.495,0.492
37000,39.546,48.114,72.396,99.136,0.003,0.012,0.496,0.492
37500,39.682,48.002,82.573,98.915,0.003,0.012,0.495,0.492
38000,18.393,47.612,58.423,98.382,0.005,0.011,0.486,0.492
38500,59.492,47.766,103.859,98.453,0.002,0.011,0.497,0.492
39000,68.068,48.027,122.121,98.757,0.002,0.011,0.497,0.492
39500,33.317,47.841,56.099,98.217,0.003,0.011,0.495,0.492
40000,36.211,47.695,58.045,97.715,0.001,0.011,0.495,0.492
40500,24.431,47.408,59.216,97.239,0.003,0.011,0.491,0.492
41000,17.839,47.047,60.194,96.788,0.004,0.011,0.485,0.492
41500,38.889,46.949,75.349,96.529,0.003,0.011,0.495,0.492
42000,51.318,47.001,103.324,96.61,0.003,0.011,0.496,0.492
42500,72.647,47.303,155.486,97.303,0.003,0.011,0.497,0.492
43000,24.325,47.036,59.057,96.858,0.003,0.01,0.492,0.492
43500,20.56,46.731,58.527,96.418,0.003,0.01,0.488,0.492
44000,56.557,46.843,88.281,96.325,0.002,0.01,0.497,0.492
44500,53.699,46.92,119.12,96.581,0.002,0.01,0.496,0.493
45000,35.462,46.793,121.85,96.862,0.002,0.01,0.491,0.492
45500,49.398,46.821,85.775,96.74,0.002,0.01,0.497,0.493
46000,16.983,46.497,65.42,96.4,0.007,0.01,0.486,0.492
46500,63.791,46.683,148.247,96.957,0.003,0.01,0.497,0.493
47000,57.861,46.802,117.556,97.176,0.001,0.01,0.496,0.493
47500,24.905,46.571,100.243,97.209,0.004,0.01,0.488,0.492
48000,45.874,46.564,95.952,97.196,0.002,0.01,0.495,0.493
48500,53.671,46.637,84.743,97.067,0.001,0.01,0.497,0.493
49000,44.173,46.612,85.263,96.947,0.003,0.009,0.496,0.493
49500,25.252,46.396,61.413,96.588,0.002,0.009,0.491,0.493
50000,24.001,46.173,67.949,96.301,0.004,0.009,0.491,0.493
50500,5.778,45.086,55.979,94.391,0.009,0.009,0.443,0.492
51000,37.442,44.284,93.683,92.782,0.004,0.009,0.495,0.492
51500,36.569,43.793,82.202,92.187,0.002,0.008,0.494,0.492
52000,34.281,43.415,98.629,92.134,0.004,0.008,0.494,0.492
52500,1.121,42.664,47.545,91.17,0.01,0.008,0.271,0.49
53000,25.078,42.215,54.445,90.541,0.002,0.008,0.493,0.49
53500,49.045,42.083,104.031,90.331,0.002,0.007,0.496,0.49
54000,10.03,41.775,62.716,90.394,0.006,0.007,0.469,0.489
54500,34.96,41.452,111.966,90.089,0.002,0.007,0.493,0.489
55000,31.327,41.354,79.442,90.151,0.002,0.007,0.493,0.489
55500,36.363,40.949,82.522,89.511,0.001,0.007,0.495,0.489
56000,45.975,40.969,101.396,89.719,0.001,0.007,0.496,0.489
56500,48.17,40.802,113.605,89.843,0.001,0.007,0.496,0.489
57000,14.493,40.362,96.636,89.92,0.005,0.007,0.477,0.489
57500,40.994,40.425,96.644,90.176,0.002,0.006,0.496,0.489
58000,7.2,39.894,71.423,89.792,0.007,0.006,0.465,0.488
58500,41.286,39.914,99.89,90.097,0.002,0.006,0.496,0.488
59000,25.541,39.464,72.389,89.592,0.001,0.006,0.492,0.488
59500,70.736,39.505,153.492,89.545,0.001,0.006,0.497,0.488
60000,18.637,39.139,86.884,89.505,0.004,0.006,0.488,0.488
60500,17.599,38.822,76.457,89.106,0.004,0.006,0.487,0.488
61000,29.606,38.569,99.193,88.815,0.002,0.006,0.492,0.488
61500,6.424,38.256,84.61,88.661,0.007,0.006,0.454,0.487
62000,32.352,38.252,73.135,88.877,0.002,0.006,0.495,0.487
62500,21.883,38.3,85.265,89.179,0.003,0.005,0.491,0.487
63000,27.513,38.419,69.112,89.068,0.002,0.005,0.494,0.487
63500,15.378,38.02,67.768,88.778,0.002,0.005,0.487,0.487
64000,29.564,38.102,71.279,88.968,0.001,0.005,0.495,0.487
64500,3.143,37.54,104.89,89.064,0.003,0.005,0.193,0.484
65000,13.19,37.182,68.909,88.816,0.004,0.005,0.48,0.484
65500,36.749,36.896,80.161,88.628,0.002,0.005,0.497,0.484
66000,50.874,36.56,126.909,88.132,0.002,0.005,0.497,0.484
66500,-2.269,35.881,111.307,88.176,0.004,0.005,0.199,0.481
67000,30.533,35.298,132.351,87.415,0.002,0.005,0.494,0.481
67500,-9.224,34.679,57.902,87.065,0.015,0.005,0.316,0.479
68000,3.302,34.635,66.299,87.001,0.008,0.005,0.451,0.479
68500,-5.645,34.354,128.028,87.586,0.01,0.004,0.062,0.474
69000,-13.28,33.903,99.334,88.119,0.005,0.004,0.417,0.474
69500,12.048,33.629,79.112,88.256,0.001,0.004,0.47,0.473
70000,-14.57,32.958,108.231,88.353,0.002,0.004,0.447,0.473
70500,11.357,32.754,136.29,88.549,0.006,0.004,0.481,0.473
71000,-4.823,32.386,88.455,88.587,0.016,0.004,0.156,0.469
71500,3.73,31.9,89.768,88.479,0.004,0.004,0.395,0.468
72000,7.85,31.888,104.075,89.113,0.004,0.004,0.464,0.468
72500,-4.18,31.392,100.333,89.347,0.01,0.004,0.074,0.464
73000,14.942,30.922,70.232,88.979,0.001,0.004,0.482,0.464
73500,14.681,30.711,99.469,88.993,0.001,0.004,0.474,0.464
74000,-8.941,30.048,107.352,88.896,0.009,0.004,0.246,0.461
