Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,118.576,118.576,254.841,254.841,0.109,0.109,0.482,0.482
1000,104.14,111.358,212.145,233.493,0.142,0.126,0.474,0.478
1500,85.144,102.62,151.562,206.183,0.089,0.114,0.488,0.481
2000,59.144,91.751,98.513,179.265,0.092,0.108,0.487,0.483
2500,74.405,88.282,121.229,167.658,0.084,0.103,0.489,0.484
3000,35.975,79.564,65.802,150.682,0.11,0.104,0.482,0.484
3500,99.165,82.364,211.948,159.434,0.072,0.1,0.492,0.485
4000,60.327,79.609,96.926,151.621,0.079,0.097,0.491,0.486
4500,73.524,78.933,120.992,148.218,0.069,0.094,0.493,0.486
5000,87.923,79.832,147.946,148.19,0.068,0.091,0.494,0.487
5500,30.594,75.356,117.994,145.445,0.153,0.097,0.465,0.485
6000,57.105,73.835,112.744,142.72,0.084,0.096,0.49,0.486
6500,95.752,75.521,181.719,145.72,0.059,0.093,0.495,0.486
7000,73.685,75.39,139.021,145.242,0.069,0.091,0.493,0.487
7500,80.107,75.704,144.038,145.161,0.061,0.089,0.494,0.487
8000,87.984,76.472,187.294,147.795,0.069,0.088,0.493,0.488
8500,39.46,74.295,48.336,141.944,0.081,0.088,0.491,0.488
9000,54.538,73.197,78.406,138.414,0.081,0.087,0.491,0.488
9500,70.001,73.029,102.503,136.524,0.053,0.086,0.495,0.488
10000,60.828,72.419,105.227,134.959,0.066,0.085,0.493,0.489
10500,65.091,72.07,92.286,132.927,0.063,0.084,0.494,0.489
11000,55.478,71.316,88.214,130.895,0.058,0.082,0.494,0.489
11500,37.295,69.837,73.95,128.419,0.106,0.083,0.483,0.489
12000,44.885,68.797,64.544,125.758,0.084,0.083,0.489,0.489
12500,30.34,67.259,68.661,123.474,0.096,0.084,0.481,0.488
13000,60.193,66.987,111.532,123.014,0.09,0.084,0.487,0.488
13500,60.588,66.75,75.994,121.273,0.066,0.084,0.492,0.489
14000,35.532,65.635,44.357,118.526,0.106,0.084,0.483,0.488
14500,63.822,65.572,130.185,118.928,0.077,0.084,0.488,0.488
15000,8.975,63.686,59.198,116.937,0.251,0.09,0.334,0.483
15500,18.282,62.221,45.826,114.643,0.12,0.091,0.456,0.482
16000,78.731,62.737,163.285,116.163,0.092,0.091,0.486,0.482
16500,36.694,61.948,54.568,114.297,0.084,0.09,0.483,0.482
17000,39.093,61.276,76.411,113.182,0.109,0.091,0.475,0.482
17500,72.181,61.587,127.603,113.594,0.07,0.09,0.488,0.482
18000,52.405,61.332,59.88,112.102,0.077,0.09,0.487,0.483
18500,82.559,61.906,135.598,112.737,0.064,0.089,0.489,0.483
19000,45.093,61.463,96.904,112.321,0.098,0.09,0.473,0.482
19500,4.917,60.014,28.451,110.17,0.229,0.093,0.287,0.477
20000,48.952,59.737,75.661,109.307,0.079,0.093,0.481,0.478
20500,56.616,59.661,92.329,108.893,0.074,0.092,0.482,0.478
21000,32.386,59.011,101.504,108.717,0.159,0.094,0.434,0.477
21500,65.668,59.166,103.333,108.592,0.064,0.093,0.484,0.477
22000,52.736,59.02,87.1,108.104,0.084,0.093,0.476,0.477
22500,56.05,58.954,78.072,107.436,0.07,0.092,0.481,0.477
23000,9.512,57.879,71.738,106.66,0.235,0.096,0.275,0.473
23500,40.364,57.507,66.421,105.804,0.06,0.095,0.472,0.473
24000,100.257,58.397,200.86,107.784,0.059,0.094,0.484,0.473
24500,19.87,57.611,52.251,106.651,0.147,0.095,0.416,0.472
25000,24.531,56.949,77.415,106.066,0.136,0.096,0.417,0.47
25500,28.619,56.394,46.796,104.904,0.066,0.095,0.458,0.47
26000,54.499,56.357,111.684,105.035,0.08,0.095,0.469,0.47
26500,4.875,55.386,50.22,104.0,0.193,0.097,0.179,0.465
27000,45.215,55.198,57.814,103.145,0.073,0.097,0.473,0.465
27500,54.541,55.186,77.445,102.678,0.065,0.096,0.476,0.465
28000,63.672,55.337,111.713,102.839,0.048,0.095,0.477,0.465
28500,43.581,55.131,71.368,102.287,0.065,0.095,0.467,0.465
29000,2.983,54.232,64.582,101.637,0.225,0.097,0.098,0.459
29500,55.52,54.254,87.128,101.391,0.081,0.097,0.472,0.459
30000,68.584,54.493,100.071,101.369,0.051,0.096,0.48,0.46
30500,20.403,53.934,31.281,100.22,0.084,0.096,0.44,0.459
31000,47.125,53.824,76.358,99.835,0.069,0.095,0.467,0.459
31500,11.73,53.156,64.273,99.271,0.11,0.095,0.316,0.457
32000,78.235,53.548,151.531,100.087,0.042,0.095,0.476,0.457
32500,48.037,53.463,63.563,99.525,0.053,0.094,0.472,0.458
33000,72.745,53.755,150.674,100.3,0.079,0.094,0.47,0.458
33500,60.866,53.861,92.063,100.177,0.057,0.093,0.474,0.458
34000,24.146,53.424,40.438,99.299,0.087,0.093,0.443,0.458
34500,39.562,53.223,99.168,99.297,0.06,0.093,0.445,0.458
35000,35.501,52.97,65.476,98.814,0.077,0.092,0.451,0.458
35500,63.555,53.119,116.766,99.067,0.055,0.092,0.47,0.458
36000,58.56,53.195,102.724,99.117,0.049,0.091,0.469,0.458
36500,61.794,53.313,103.705,99.18,0.032,0.09,0.474,0.458
37000,56.706,53.358,108.119,99.301,0.059,0.09,0.465,0.458
37500,21.619,52.935,48.677,98.626,0.059,0.09,0.414,0.458
38000,40.137,52.767,60.597,98.126,0.054,0.089,0.462,0.458
38500,22.981,52.38,41.524,97.391,0.065,0.089,0.429,0.457
39000,44.775,52.283,108.991,97.539,0.061,0.088,0.447,0.457
39500,34.439,52.057,40.962,96.823,0.044,0.088,0.461,0.457
40000,46.952,51.993,69.98,96.488,0.062,0.088,0.465,0.457
40500,54.528,52.024,85.441,96.351,0.03,0.087,0.469,0.457
41000,91.456,52.505,158.033,97.103,0.032,0.086,0.478,0.458
41500,24.57,52.168,39.96,96.415,0.045,0.086,0.44,0.457
