Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,141.578,141.578,351.574,351.574,0.055,0.055,0.496,0.496
1000,41.387,91.482,78.531,215.053,0.076,0.066,0.492,0.494
1500,39.576,74.18,54.089,161.398,0.048,0.06,0.496,0.495
2000,45.55,67.023,81.612,141.452,0.05,0.057,0.496,0.495
2500,73.175,68.253,135.96,140.354,0.036,0.053,0.498,0.496
3000,54.999,66.044,82.107,130.646,0.039,0.051,0.498,0.496
3500,86.978,69.035,155.769,134.235,0.031,0.048,0.499,0.496
4000,64.824,68.508,134.875,134.315,0.044,0.048,0.497,0.497
4500,99.08,71.905,196.6,141.235,0.027,0.045,0.499,0.497
5000,15.124,66.227,46.198,131.732,0.093,0.05,0.485,0.496
5500,58.235,65.501,134.459,131.98,0.036,0.049,0.497,0.496
6000,42.866,63.614,55.686,125.622,0.049,0.049,0.496,0.496
6500,28.954,60.948,58.391,120.45,0.068,0.05,0.491,0.495
7000,52.151,60.32,57.454,115.95,0.042,0.05,0.496,0.495
7500,59.354,60.255,92.344,114.377,0.036,0.049,0.496,0.495
8000,30.193,58.376,44.832,110.03,0.065,0.05,0.49,0.495
8500,41.836,57.404,66.079,107.445,0.04,0.049,0.493,0.495
9000,36.518,56.243,53.62,104.454,0.04,0.049,0.492,0.495
9500,49.127,55.869,99.71,104.205,0.036,0.048,0.491,0.495
10000,18.552,54.003,56.612,101.825,0.071,0.049,0.467,0.493
10500,76.613,55.08,143.862,103.827,0.025,0.048,0.494,0.493
11000,72.401,55.867,134.597,105.225,0.029,0.047,0.493,0.493
11500,71.011,56.525,124.978,106.084,0.022,0.046,0.494,0.493
12000,56.09,56.507,101.095,105.876,0.028,0.045,0.491,0.493
12500,29.775,55.438,71.087,104.485,0.04,0.045,0.481,0.493
13000,40.283,54.855,78.905,103.501,0.049,0.045,0.486,0.492
13500,50.889,54.708,114.24,103.899,0.027,0.045,0.488,0.492
14000,80.354,55.624,150.41,105.56,0.021,0.044,0.493,0.492
14500,53.23,55.541,74.848,104.501,0.017,0.043,0.492,0.492
15000,38.125,54.961,43.33,102.462,0.026,0.042,0.492,0.492
15500,49.191,54.775,68.837,101.377,0.019,0.042,0.491,0.492
16000,59.775,54.931,100.993,101.365,0.013,0.041,0.491,0.492
16500,50.295,54.791,109.553,101.613,0.016,0.04,0.488,0.492
17000,31.219,54.097,38.245,99.749,0.014,0.039,0.488,0.492
17500,34.703,53.543,96.065,99.644,0.019,0.039,0.48,0.492
18000,74.099,54.114,138.629,100.727,0.01,0.038,0.493,0.492
18500,36.631,53.642,50.637,99.373,0.008,0.037,0.489,0.492
19000,-3.074,52.149,62.002,98.39,0.04,0.037,0.007,0.479
19500,37.018,51.761,57.298,97.336,0.007,0.036,0.488,0.479
20000,39.582,51.457,76.225,96.808,0.007,0.036,0.486,0.479
20500,53.149,51.498,86.646,96.561,0.006,0.035,0.491,0.48
21000,35.294,51.112,51.674,95.492,0.006,0.034,0.487,0.48
21500,23.125,50.461,68.975,94.875,0.009,0.034,0.471,0.479
22000,18.514,49.735,36.925,93.558,0.009,0.033,0.476,0.479
22500,32.13,49.344,58.237,92.773,0.005,0.032,0.484,0.48
23000,7.817,48.441,47.646,91.792,0.015,0.032,0.386,0.477
23500,54.465,48.569,92.352,91.804,0.005,0.031,0.492,0.478
24000,43.844,48.471,52.448,90.984,0.005,0.031,0.492,0.478
24500,18.754,47.864,42.334,89.991,0.005,0.03,0.47,0.478
25000,25.774,47.423,46.562,89.123,0.005,0.03,0.484,0.478
25500,29.189,47.065,59.134,88.535,0.005,0.029,0.484,0.478
26000,50.857,47.138,84.257,88.452,0.003,0.029,0.492,0.478
26500,37.269,46.952,121.846,89.082,0.004,0.028,0.48,0.478
27000,18.943,46.433,43.434,88.237,0.004,0.028,0.475,0.478
27500,12.959,45.825,43.785,87.429,0.007,0.028,0.417,0.477
28000,22.126,45.401,30.744,86.417,0.004,0.027,0.484,0.477
28500,25.897,45.059,93.313,86.538,0.003,0.027,0.469,0.477
29000,18.136,44.595,69.954,86.252,0.004,0.026,0.459,0.477
29500,34.61,44.426,48.507,85.612,0.001,0.026,0.49,0.477
30000,41.032,44.369,67.509,85.31,0.002,0.026,0.489,0.477
30500,40.58,44.307,91.925,85.419,0.004,0.025,0.487,0.478
31000,-1.231,43.573,71.557,85.195,0.011,0.025,0.183,0.473
31500,33.568,43.414,76.021,85.05,0.002,0.025,0.484,0.473
32000,5.936,42.828,44.707,84.419,0.004,0.024,0.382,0.472
32500,28.389,42.606,78.528,84.329,0.002,0.024,0.479,0.472
33000,23.447,42.316,37.13,83.613,0.002,0.024,0.484,0.472
33500,22.508,42.02,47.662,83.077,0.001,0.023,0.475,0.472
34000,29.696,41.839,47.63,82.556,0.001,0.023,0.486,0.472
34500,19.526,41.515,39.569,81.933,0.002,0.023,0.478,0.472
35000,25.449,41.286,55.032,81.548,0.002,0.022,0.483,0.472
35500,24.015,41.043,37.496,80.928,0.002,0.022,0.482,0.472
36000,16.198,40.698,26.677,80.174,0.001,0.022,0.476,0.472
36500,12.574,40.312,68.876,80.02,0.002,0.021,0.44,0.472
37000,1.292,39.785,69.604,79.879,0.005,0.021,0.104,0.467
37500,5.867,39.333,67.741,79.717,0.003,0.021,0.403,0.466
38000,14.762,39.01,56.128,79.407,0.002,0.021,0.459,0.466
38500,23.853,38.813,52.636,79.059,0.001,0.02,0.479,0.466
39000,20.829,38.582,58.025,78.789,0.002,0.02,0.478,0.466
39500,28.423,38.454,55.674,78.497,0.001,0.02,0.484,0.467
40000,-43.461,37.43,102.438,78.796,0.002,0.02,0.474,0.467
40500,-13.817,36.797,91.203,78.949,0.004,0.02,0.299,0.465
41000,45.623,36.905,68.518,78.822,0.0,0.019,0.492,0.465
41500,20.467,36.707,45.884,78.425,0.001,0.019,0.479,0.465
42000,-0.831,36.26,23.912,77.776,0.003,0.019,0.207,0.462
42500,-13.772,35.671,57.035,77.532,0.002,0.019,0.432,0.462
43000,-8.497,35.157,66.402,77.403,0.002,0.019,0.285,0.46
43500,-1.908,34.731,57.369,77.172,0.002,0.018,0.041,0.455
44000,1.793,34.357,39.673,76.746,0.002,0.018,0.382,0.454
44500,-1.705,33.952,46.101,76.402,0.002,0.018,0.072,0.45
45000,12.028,33.708,52.776,76.139,0.001,0.018,0.452,0.45
45500,24.682,33.609,77.082,76.15,0.001,0.018,0.471,0.45
46000,-1.815,33.224,70.802,76.092,0.002,0.017,0.235,0.448
46500,-1.738,32.848,42.74,75.733,0.001,0.017,0.021,0.443
47000,22.53,32.738,55.432,75.517,0.0,0.017,0.48,0.443
47500,9.361,32.492,58.803,75.341,0.001,0.017,0.434,0.443
48000,10.572,32.264,33.255,74.903,0.001,0.017,0.464,0.444
48500,-45.076,31.467,103.688,75.199,0.0,0.017,0.483,0.444
49000,34.39,31.497,41.702,74.858,0.0,0.016,0.493,0.444
49500,19.996,31.38,41.877,74.525,0.001,0.016,0.485,0.445
50000,14.092,31.207,36.075,74.14,0.001,0.016,0.481,0.445
50500,44.978,30.241,99.981,71.624,0.001,0.016,0.491,0.445
51000,14.022,29.968,45.851,71.297,0.001,0.015,0.473,0.445
51500,-1.932,29.553,31.959,71.076,0.001,0.014,0.178,0.442
52000,-1.918,29.078,38.111,70.641,0.001,0.014,0.011,0.437
52500,21.804,28.564,54.15,69.823,0.0,0.013,0.484,0.437
53000,12.754,28.142,116.897,70.171,0.001,0.013,0.453,0.436
53500,1.36,27.286,109.172,69.705,0.001,0.013,0.169,0.433
54000,-7.631,26.561,108.724,69.443,0.002,0.012,0.028,0.428
54500,8.852,25.659,42.127,67.899,0.0,0.012,0.443,0.428
55000,50.464,26.012,107.209,68.509,0.0,0.011,0.492,0.428
55500,-0.68,25.423,66.24,67.826,0.001,0.011,0.031,0.423
56000,-2.68,24.968,65.307,67.923,0.001,0.01,0.311,0.421
56500,-31.004,24.368,85.227,68.191,0.0,0.01,0.474,0.421
57000,-2.566,23.821,58.785,68.204,0.001,0.009,0.116,0.417
57500,-14.705,23.08,81.02,68.091,0.0,0.009,0.428,0.417
