Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,98.0,98.0,209.698,209.698,0.124,0.124,0.476,0.476
1000,95.492,96.746,196.08,202.889,0.144,0.134,0.472,0.474
1500,101.272,98.254,229.932,211.904,0.147,0.138,0.471,0.473
2000,120.711,103.869,281.278,229.247,0.149,0.141,0.472,0.473
2500,109.029,104.901,237.53,230.904,0.102,0.133,0.485,0.475
3000,88.687,102.198,164.147,219.778,0.089,0.126,0.488,0.477
3500,92.002,100.742,164.662,211.904,0.1,0.122,0.487,0.479
4000,107.697,101.611,226.189,213.69,0.077,0.117,0.491,0.48
4500,96.278,101.019,248.01,217.503,0.101,0.115,0.486,0.481
5000,73.723,98.289,136.522,209.405,0.08,0.111,0.49,0.482
5500,75.848,96.249,131.926,202.361,0.098,0.11,0.488,0.482
6000,89.012,95.646,165.096,199.256,0.088,0.108,0.49,0.483
6500,50.984,92.21,79.703,190.06,0.084,0.106,0.49,0.484
7000,87.014,91.839,172.121,188.778,0.077,0.104,0.492,0.484
7500,77.129,90.858,146.29,185.946,0.089,0.103,0.49,0.485
8000,83.064,90.371,208.968,187.385,0.085,0.102,0.49,0.485
8500,90.656,90.388,196.962,187.948,0.064,0.1,0.494,0.485
9000,96.202,90.711,188.147,187.959,0.067,0.098,0.494,0.486
9500,111.61,91.811,231.694,190.261,0.054,0.096,0.496,0.486
10000,71.796,90.81,116.167,186.556,0.083,0.095,0.491,0.487
10500,78.684,90.233,136.173,184.157,0.058,0.093,0.495,0.487
11000,70.098,89.318,131.597,181.768,0.072,0.092,0.493,0.487
11500,62.574,88.155,117.811,178.987,0.065,0.091,0.494,0.488
12000,56.642,86.842,96.519,175.551,0.069,0.09,0.493,0.488
12500,79.153,86.534,144.273,174.3,0.073,0.09,0.493,0.488
13000,80.619,86.307,155.783,173.588,0.065,0.089,0.494,0.488
13500,90.321,86.455,174.64,173.627,0.053,0.087,0.496,0.488
14000,89.544,86.566,219.373,175.26,0.072,0.087,0.493,0.489
14500,72.155,86.069,138.013,173.976,0.075,0.086,0.492,0.489
15000,82.002,85.933,150.423,173.191,0.061,0.086,0.495,0.489
15500,103.091,86.487,212.953,174.474,0.047,0.084,0.496,0.489
