Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,127.477,127.477,257.621,257.621,0.002,0.002,0.497,0.497
1000,258.549,193.013,1351.351,804.486,0.001,0.001,0.497,0.497
1500,175.371,187.132,571.973,726.982,0.001,0.001,0.498,0.498
2000,98.054,164.863,235.391,604.084,0.001,0.001,0.497,0.497
2500,151.056,162.101,545.843,592.436,0.002,0.001,0.497,0.497
3000,213.863,170.728,713.481,612.61,0.001,0.001,0.498,0.497
3500,133.295,165.381,449.18,589.263,0.002,0.001,0.496,0.497
4000,169.159,165.853,551.969,584.601,0.001,0.001,0.497,0.497
4500,104.28,159.011,311.814,554.292,0.002,0.001,0.493,0.497
5000,75.193,150.63,119.479,510.81,0.001,0.001,0.497,0.497
5500,147.26,150.323,663.522,524.693,0.002,0.001,0.496,0.497
6000,232.627,157.182,1128.393,575.001,0.002,0.002,0.498,0.497
6500,79.47,151.204,108.158,539.09,0.001,0.001,0.497,0.497
7000,-33.925,137.981,25.764,502.424,0.001,0.001,0.497,0.497
7500,114.261,136.399,375.667,493.974,0.002,0.001,0.497,0.497
8000,315.452,147.59,1700.843,569.403,0.001,0.001,0.498,0.497
8500,121.522,146.057,291.225,553.04,0.002,0.001,0.496,0.497
9000,85.088,142.669,178.766,532.247,0.005,0.002,0.497,0.497
9500,15.703,135.987,29.76,505.8,0.005,0.002,0.479,0.496
10000,320.76,145.226,1878.545,574.437,0.001,0.002,0.496,0.496
10500,-10.818,137.795,35.842,548.79,0.021,0.003,0.443,0.493
11000,283.359,144.412,1296.354,582.77,0.001,0.003,0.497,0.494
11500,154.273,144.84,546.576,581.196,0.002,0.003,0.494,0.494
12000,15.817,139.464,119.375,561.954,0.011,0.003,0.402,0.49
12500,193.237,141.615,675.017,566.476,0.004,0.003,0.491,0.49
13000,15.836,136.778,20.193,545.466,0.007,0.003,0.458,0.489
