Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,7.297,7.297,9.578,9.578,0.004,0.004,0.304,0.304
1000,21.595,14.446,13.664,11.621,0.0,0.002,0.444,0.374
1500,29.091,19.328,40.998,21.414,0.001,0.002,0.454,0.401
2000,11.482,17.366,9.135,18.344,0.001,0.002,0.456,0.415
2500,9.059,15.705,5.793,15.834,0.003,0.002,0.416,0.415
3000,5.258,13.964,19.69,16.476,0.008,0.003,0.321,0.399
3500,38.886,17.524,86.623,26.497,0.01,0.004,0.426,0.403
4000,-1.374,15.162,3.887,23.671,0.012,0.005,0.254,0.384
4500,33.823,17.235,97.889,31.917,0.021,0.007,0.435,0.39
5000,-1.728,15.339,3.445,29.07,0.014,0.007,0.35,0.386
5500,20.143,15.775,44.19,30.445,0.009,0.008,0.465,0.393
6000,25.101,16.553,23.606,29.875,0.017,0.008,0.451,0.398
6500,18.54,16.705,49.824,31.409,0.008,0.008,0.47,0.404
7000,20.345,16.965,23.044,30.812,0.02,0.009,0.45,0.407
7500,24.151,17.444,51.042,32.161,0.01,0.009,0.458,0.41
8000,-18.321,15.209,32.629,32.19,0.024,0.01,0.44,0.412
8500,7.482,14.755,19.502,31.444,0.022,0.011,0.258,0.403
9000,12.709,14.641,23.71,31.014,0.004,0.01,0.452,0.406
9500,46.009,16.292,203.936,40.115,0.009,0.01,0.466,0.409
10000,-1.764,15.389,5.378,38.378,0.012,0.01,0.304,0.404
10500,20.377,15.627,31.707,38.061,0.011,0.01,0.431,0.405
11000,-23.067,13.868,22.875,37.37,0.016,0.011,0.455,0.407
11500,29.331,14.54,71.977,38.875,0.017,0.011,0.429,0.408
12000,22.812,14.885,27.504,38.401,0.02,0.011,0.457,0.41
12500,18.724,15.038,88.94,40.423,0.057,0.013,0.393,0.41
13000,-30.198,13.299,87.273,42.225,0.011,0.013,0.434,0.411
13500,37.958,14.212,123.494,45.235,0.008,0.013,0.458,0.412
14000,-13.291,13.23,32.594,44.783,0.02,0.013,0.431,0.413
14500,-14.223,12.283,26.45,44.151,0.017,0.013,0.45,0.414
15000,-15.946,11.342,26.667,43.568,0.035,0.014,0.45,0.415
15500,6.958,11.201,47.182,43.685,0.025,0.014,0.269,0.411
16000,-24.042,10.099,57.353,44.112,0.017,0.014,0.458,0.412
16500,28.351,10.652,54.107,44.415,0.022,0.015,0.456,0.414
17000,7.473,10.559,6.752,43.307,0.024,0.015,0.406,0.413
17500,69.78,12.251,101.537,44.971,0.021,0.015,0.457,0.415
18000,-28.733,11.112,109.17,46.754,0.008,0.015,0.448,0.415
18500,1.817,10.861,9.198,45.739,0.017,0.015,0.149,0.408
19000,-18.915,10.078,41.366,45.624,0.014,0.015,0.46,0.41
19500,3.808,9.917,8.289,44.667,0.021,0.015,0.383,0.409
20000,1.986,9.719,5.897,43.697,0.026,0.015,0.012,0.399
20500,-26.531,8.834,60.435,44.106,0.018,0.015,0.464,0.401
21000,19.153,9.08,24.508,43.639,0.024,0.016,0.456,0.402
21500,42.107,9.848,202.615,47.336,0.018,0.016,0.466,0.403
22000,-27.455,9.0,68.044,47.807,0.007,0.016,0.46,0.405
