Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,-437.913,-437.913,3002.042,3002.042,0.008,0.008,0.471,0.471
1000,-683.291,-560.602,8962.272,5982.157,0.0,0.004,0.458,0.465
1500,-104.022,-408.409,1987.28,4650.531,0.011,0.006,0.471,0.467
2000,-250.661,-368.972,2139.683,4022.819,0.009,0.007,0.455,0.464
2500,-46.353,-304.448,1509.786,3520.213,0.002,0.006,0.481,0.467
3000,-125.644,-274.647,2748.533,3391.599,0.002,0.005,0.447,0.464
3500,-610.76,-322.663,9853.916,4314.787,0.164,0.028,0.433,0.459
4000,-299.305,-319.744,6144.684,4543.524,0.03,0.028,0.454,0.459
4500,-147.051,-300.556,3121.487,4385.52,0.005,0.026,0.462,0.459
5000,-91.819,-279.682,3937.449,4340.713,0.005,0.024,0.482,0.461
5500,-190.958,-271.616,2961.12,4215.296,0.011,0.023,0.465,0.462
6000,-183.842,-264.302,7087.118,4454.614,0.006,0.021,0.465,0.462
6500,-138.43,-254.619,2434.782,4299.242,0.005,0.02,0.473,0.463
7000,-93.291,-243.096,2089.428,4141.399,0.003,0.019,0.47,0.463
7500,-150.403,-236.916,2445.02,4028.307,0.016,0.019,0.459,0.463
8000,-98.719,-228.279,3782.141,4012.921,0.006,0.018,0.465,0.463
8500,-249.954,-229.554,6756.234,4174.293,0.006,0.017,0.433,0.461
9000,-193.592,-227.556,3891.298,4158.571,0.016,0.017,0.463,0.461
9500,-40.358,-217.703,624.713,3972.578,0.014,0.017,0.438,0.46
10000,-177.594,-215.698,3684.361,3958.167,0.019,0.017,0.471,0.461
10500,-48.647,-207.743,1840.399,3857.321,0.025,0.017,0.394,0.458
11000,-168.552,-205.962,5594.336,3936.276,0.014,0.017,0.478,0.458
11500,-95.598,-201.163,2822.264,3887.841,0.021,0.017,0.47,0.459
12000,-159.309,-199.419,2981.224,3850.065,0.02,0.018,0.457,0.459
12500,-89.659,-195.029,3560.265,3838.473,0.004,0.017,0.47,0.459
13000,-163.184,-193.804,2438.003,3784.609,0.03,0.018,0.452,0.459
13500,-61.347,-188.898,1857.405,3713.231,0.029,0.018,0.469,0.459
14000,-156.029,-187.724,3492.786,3705.358,0.012,0.018,0.455,0.459
14500,50.198,-179.52,605.871,3598.479,0.012,0.018,0.46,0.459
15000,-169.799,-179.196,3449.922,3593.527,0.078,0.02,0.427,0.458
15500,-67.365,-175.589,716.053,3500.706,0.043,0.02,0.463,0.458
16000,-172.714,-175.499,3405.406,3497.728,0.027,0.021,0.456,0.458
16500,22.473,-169.5,106.469,3394.962,0.021,0.021,0.452,0.458
17000,-87.032,-167.074,3362.451,3394.006,0.026,0.021,0.448,0.458
17500,-22.133,-162.933,192.999,3302.549,0.062,0.022,0.368,0.455
18000,-94.341,-161.028,1607.71,3255.47,0.074,0.023,0.444,0.455
18500,-35.335,-157.631,325.995,3176.295,0.027,0.023,0.454,0.455
19000,-117.024,-156.562,2521.965,3159.076,0.017,0.023,0.479,0.456
19500,-74.508,-154.458,1003.266,3103.798,0.163,0.027,0.421,0.455
20000,-224.535,-156.21,7438.69,3212.171,0.041,0.027,0.434,0.454
20500,-98.377,-154.799,1467.37,3169.615,0.019,0.027,0.459,0.454
21000,-112.983,-153.804,1342.936,3126.122,0.024,0.027,0.461,0.454
21500,0.492,-150.215,46.55,3054.504,0.039,0.027,0.05,0.445
22000,-133.129,-149.827,3167.178,3057.065,0.012,0.027,0.448,0.445
22500,-50.969,-147.63,557.715,3001.524,0.019,0.027,0.454,0.445
23000,-180.971,-148.355,4498.831,3034.074,0.014,0.026,0.447,0.445
23500,-82.997,-146.964,819.619,2986.958,0.064,0.027,0.464,0.446
24000,-128.149,-146.572,2342.958,2973.541,0.022,0.027,0.465,0.446
24500,12.96,-143.317,55.456,2913.989,0.089,0.028,0.384,0.445
25000,-61.187,-141.674,833.742,2872.384,0.06,0.029,0.446,0.445
25500,-101.931,-140.895,2018.036,2855.632,0.016,0.029,0.431,0.445
26000,-134.403,-140.77,3027.016,2858.928,0.03,0.029,0.447,0.445
26500,-224.414,-142.348,4919.384,2897.804,0.038,0.029,0.449,0.445
27000,-150.854,-142.506,2990.051,2899.512,0.017,0.029,0.429,0.444
27500,-61.759,-141.038,745.222,2860.343,0.076,0.03,0.428,0.444
28000,-128.43,-140.812,2957.343,2862.076,0.021,0.029,0.458,0.444
28500,21.888,-137.958,137.181,2814.27,0.041,0.03,0.435,0.444
29000,-146.104,-138.099,2883.088,2815.457,0.071,0.03,0.437,0.444
29500,-118.646,-137.769,2906.96,2817.008,0.018,0.03,0.46,0.444
30000,-128.186,-137.609,2893.091,2818.276,0.038,0.03,0.462,0.445
30500,-144.236,-137.718,1814.397,2801.819,0.028,0.03,0.453,0.445
31000,-107.995,-137.238,2861.891,2802.788,0.043,0.03,0.452,0.445
31500,-109.252,-136.794,1583.059,2783.427,0.027,0.03,0.463,0.445
32000,-118.479,-136.508,2269.752,2775.401,0.031,0.03,0.462,0.445
32500,-70.659,-135.495,866.51,2746.033,0.016,0.03,0.474,0.446
33000,-116.02,-135.2,1320.042,2724.427,0.033,0.03,0.461,0.446
33500,-69.863,-134.225,880.396,2696.904,0.041,0.03,0.466,0.446
34000,-74.467,-133.346,698.244,2667.512,0.061,0.031,0.453,0.447
34500,-96.88,-132.817,1198.176,2646.218,0.018,0.031,0.461,0.447
35000,-54.224,-131.695,1118.652,2624.395,0.012,0.03,0.409,0.446
35500,-181.956,-132.402,4302.713,2648.034,0.024,0.03,0.474,0.447
36000,-133.341,-132.416,2702.037,2648.784,0.014,0.03,0.439,0.446
36500,24.824,-130.262,112.721,2614.043,0.02,0.03,0.422,0.446
37000,-121.747,-130.147,2130.508,2607.509,0.023,0.03,0.463,0.446
37500,-175.841,-130.756,3923.875,2625.06,0.022,0.03,0.452,0.446
38000,-117.594,-130.583,2079.26,2617.879,0.051,0.03,0.467,0.447
38500,-106.747,-130.273,2625.029,2617.972,0.02,0.03,0.46,0.447
39000,-148.016,-130.5,2607.86,2617.842,0.023,0.03,0.443,0.447
39500,-14.738,-129.035,107.611,2586.067,0.024,0.03,0.341,0.445
40000,-108.585,-128.78,2577.311,2585.957,0.078,0.03,0.469,0.446
40500,-206.556,-129.74,4577.69,2610.547,0.079,0.031,0.456,0.446
41000,-115.683,-129.568,1617.867,2598.441,0.136,0.032,0.424,0.446
41500,-122.248,-129.48,2531.443,2597.634,0.015,0.032,0.451,0.446
42000,-131.976,-129.51,2516.931,2596.673,0.056,0.032,0.461,0.446
42500,-85.571,-128.993,1334.965,2581.829,0.07,0.033,0.463,0.446
43000,-113.996,-128.818,1925.913,2574.202,0.033,0.033,0.46,0.446
43500,3.573,-127.297,138.244,2546.203,0.221,0.035,0.196,0.443
44000,-98.392,-126.968,1093.415,2529.694,0.174,0.036,0.405,0.443
44500,0.75,-125.533,119.44,2502.612,0.087,0.037,0.02,0.438
45000,-122.057,-125.495,2432.313,2501.831,0.038,0.037,0.462,0.438
45500,25.505,-123.835,94.183,2475.374,0.14,0.038,0.433,0.438
46000,-75.046,-123.305,1039.798,2459.77,0.074,0.039,0.454,0.439
46500,-59.395,-122.618,617.435,2439.96,0.073,0.039,0.451,0.439
47000,-132.712,-122.725,2105.853,2436.405,0.016,0.039,0.446,0.439
47500,-44.508,-121.902,282.823,2413.736,0.064,0.039,0.451,0.439
