Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,-264.928,-264.928,1203.02,1203.02,0.013,0.013,0.496,0.496
1000,-280.65,-272.789,1570.411,1386.715,0.005,0.009,0.476,0.486
1500,53.878,-163.9,49.224,940.885,0.018,0.012,0.469,0.48
2000,-105.389,-149.272,300.373,780.757,0.008,0.011,0.471,0.478
2500,-18.922,-123.202,274.11,679.427,0.002,0.009,0.233,0.429
3000,-102.231,-119.707,241.19,606.388,0.008,0.009,0.478,0.437
3500,-294.348,-144.656,1732.857,767.312,0.022,0.011,0.483,0.444
4000,-311.618,-165.526,1905.164,909.544,0.069,0.018,0.47,0.447
4500,-275.443,-177.739,2086.733,1040.342,0.034,0.02,0.465,0.449
5000,-123.667,-172.332,445.321,980.84,0.269,0.045,0.399,0.444
5500,-111.083,-166.764,1796.995,1055.036,0.025,0.043,0.477,0.447
6000,-167.966,-166.864,1341.495,1078.908,0.149,0.052,0.441,0.446
6500,-68.128,-159.269,646.375,1045.636,0.175,0.061,0.427,0.445
7000,-111.027,-155.823,2253.434,1131.907,0.063,0.062,0.466,0.446
7500,-135.769,-154.486,1815.315,1177.468,0.207,0.071,0.395,0.443
8000,-201.193,-157.405,2632.99,1268.438,0.101,0.073,0.441,0.443
8500,-162.587,-157.71,2277.158,1327.774,0.049,0.072,0.461,0.444
9000,-251.221,-162.905,2513.44,1393.645,0.233,0.081,0.408,0.442
9500,-12.604,-154.994,118.776,1326.546,0.051,0.079,0.376,0.439
10000,-82.337,-151.362,504.153,1285.427,0.1,0.08,0.445,0.439
10500,-16.547,-144.942,112.731,1229.584,0.108,0.081,0.34,0.434
11000,-173.061,-146.22,2482.907,1286.553,0.107,0.083,0.449,0.435
11500,-120.115,-145.085,1767.22,1307.452,0.059,0.082,0.452,0.436
12000,-63.791,-141.698,601.047,1278.018,0.064,0.081,0.446,0.436
12500,-99.213,-139.998,1866.348,1301.551,0.049,0.08,0.467,0.437
13000,-158.793,-140.721,2373.897,1342.796,0.042,0.078,0.458,0.438
13500,-122.742,-140.055,1568.138,1351.142,0.033,0.076,0.465,0.439
14000,-106.0,-138.839,836.229,1332.752,0.019,0.074,0.454,0.44
14500,-97.346,-137.408,730.026,1311.968,0.042,0.073,0.46,0.44
