Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,-729.905,-729.905,9565.549,9565.549,0.006,0.006,0.475,0.475
1000,-562.899,-646.402,5721.671,7643.61,0.001,0.003,0.464,0.47
1500,-236.139,-509.648,2452.437,5913.219,0.004,0.004,0.434,0.458
2000,-50.29,-394.808,225.875,4491.383,0.026,0.009,0.464,0.459
2500,-55.494,-326.946,449.426,3682.992,0.011,0.01,0.46,0.459
3000,-23.889,-276.436,213.294,3104.709,0.005,0.009,0.48,0.463
3500,-47.305,-243.703,548.677,2739.561,0.006,0.008,0.436,0.459
4000,-11.887,-214.726,201.584,2422.314,0.002,0.008,0.463,0.46
4500,-17.829,-192.849,195.644,2174.906,0.001,0.007,0.376,0.45
5000,-19.605,-175.524,189.825,1976.398,0.006,0.007,0.475,0.453
5500,-44.839,-163.644,333.509,1827.045,0.002,0.006,0.481,0.455
6000,-29.762,-152.487,179.549,1689.753,0.003,0.006,0.46,0.456
6500,-20.804,-142.358,174.896,1573.226,0.006,0.006,0.471,0.457
7000,-18.919,-133.54,170.258,1473.014,0.006,0.006,0.452,0.457
7500,-34.186,-126.917,245.211,1391.16,0.003,0.006,0.419,0.454
8000,-18.847,-120.162,77.509,1309.057,0.005,0.006,0.473,0.455
8500,-34.204,-115.106,262.397,1247.489,0.001,0.006,0.471,0.456
9000,-17.754,-109.698,154.21,1186.751,0.0,0.005,0.486,0.458
9500,-18.979,-104.923,150.322,1132.202,0.002,0.005,0.487,0.459
10000,-17.988,-100.576,146.697,1082.927,0.005,0.005,0.442,0.459
10500,-14.629,-96.483,142.985,1038.168,0.004,0.005,0.482,0.46
11000,-23.866,-93.183,108.569,995.913,0.019,0.006,0.459,0.46
11500,-18.66,-89.942,105.343,957.193,0.015,0.006,0.461,0.46
12000,-26.263,-87.289,132.075,922.813,0.001,0.006,0.455,0.46
12500,-15.514,-84.418,77.739,889.01,0.014,0.006,0.473,0.46
13000,-19.97,-81.939,125.928,859.661,0.001,0.006,0.469,0.46
13500,-17.955,-79.57,72.925,830.522,0.017,0.006,0.45,0.46
14000,-26.298,-77.667,76.403,803.589,0.004,0.006,0.441,0.459
14500,-9.552,-75.318,30.901,776.945,0.0,0.006,0.461,0.459
15000,-15.099,-73.311,113.911,754.844,0.015,0.006,0.484,0.46
15500,-16.932,-71.492,111.291,734.084,0.0,0.006,0.474,0.461
16000,-17.257,-69.797,62.506,713.097,0.022,0.007,0.474,0.461
16500,-105.994,-70.894,980.69,721.206,0.008,0.007,0.431,0.46
17000,-21.872,-69.452,78.403,702.3,0.001,0.007,0.459,0.46
17500,-7.727,-67.689,21.099,682.837,0.017,0.007,0.437,0.459
18000,-22.391,-66.431,99.405,666.631,0.028,0.007,0.422,0.458
18500,-6.205,-64.803,34.045,649.534,0.003,0.007,0.409,0.457
19000,-7.159,-63.286,32.98,633.309,0.001,0.007,0.415,0.456
19500,0.485,-61.651,57.627,618.548,0.002,0.007,0.203,0.45
20000,-17.668,-60.551,90.033,605.335,0.001,0.007,0.457,0.45
20500,-28.717,-59.775,134.04,593.84,0.001,0.007,0.366,0.448
21000,-16.23,-58.738,85.748,581.743,0.0,0.007,0.466,0.448
21500,-26.092,-57.979,83.828,570.163,0.0,0.006,0.401,0.447
22000,-113.399,-59.238,2774.305,620.257,0.001,0.006,0.447,0.447
22500,0.066,-57.92,50.744,607.601,0.004,0.006,0.005,0.437
23000,-15.433,-56.997,77.452,596.076,0.001,0.006,0.482,0.438
23500,-12.931,-56.059,46.518,584.384,0.0,0.006,0.474,0.439
24000,-27.062,-55.455,73.541,573.741,0.001,0.006,0.439,0.439
24500,-73.704,-55.828,462.778,571.477,0.005,0.006,0.437,0.439
25000,-18.179,-55.075,69.958,561.446,0.0,0.006,0.457,0.439
25500,-10.319,-54.197,23.883,550.906,0.0,0.006,0.453,0.44
26000,-14.523,-53.434,66.388,541.588,0.0,0.006,0.444,0.44
26500,-6.908,-52.556,17.983,531.709,0.003,0.005,0.427,0.439
27000,-15.345,-51.867,63.166,523.032,0.004,0.005,0.428,0.439
27500,-5.626,-51.026,36.93,514.194,0.001,0.005,0.208,0.435
28000,-17.464,-50.427,59.844,506.08,0.0,0.005,0.432,0.435
28500,22.656,-49.145,128.667,499.459,0.003,0.005,0.452,0.435
29000,-9.217,-48.456,18.448,491.166,0.0,0.005,0.467,0.436
29500,-17.563,-47.933,38.301,483.49,0.0,0.005,0.451,0.436
30000,-16.489,-47.409,54.376,476.338,0.0,0.005,0.46,0.436
30500,-14.155,-46.864,52.947,469.397,0.0,0.005,0.467,0.437
31000,-26.017,-46.527,89.402,463.268,0.003,0.005,0.456,0.437
31500,-3.508,-45.845,6.911,456.025,0.002,0.005,0.345,0.436
32000,-14.662,-45.357,49.669,449.675,0.003,0.005,0.453,0.436
32500,-5.133,-44.739,7.268,442.869,0.001,0.005,0.431,0.436
33000,-15.359,-44.293,47.248,436.875,0.003,0.005,0.466,0.436
33500,6.924,-43.529,22.263,430.687,0.006,0.005,0.435,0.436
34000,-13.561,-43.088,44.997,425.015,0.001,0.005,0.447,0.437
34500,-13.729,-42.663,29.242,419.279,0.0,0.005,0.434,0.437
35000,-9.149,-42.184,17.594,413.541,0.018,0.005,0.454,0.437
35500,6.323,-41.501,52.386,408.454,0.002,0.005,0.213,0.434
36000,-157.389,-43.11,2075.84,431.612,0.002,0.005,0.452,0.434
36500,32.01,-42.081,194.576,428.365,0.0,0.005,0.455,0.434
37000,-6.261,-41.597,9.099,422.699,0.0,0.005,0.449,0.434
37500,-11.182,-41.192,23.087,417.371,0.0,0.005,0.426,0.434
38000,-12.636,-40.816,37.434,412.372,0.0,0.004,0.412,0.434
38500,-4.486,-40.344,92.548,408.218,0.0,0.004,0.044,0.429
39000,-13.819,-40.004,35.433,403.439,0.0,0.004,0.455,0.429
39500,0.384,-39.493,23.492,398.63,0.009,0.004,0.069,0.425
40000,-20.828,-39.26,34.315,394.076,0.004,0.004,0.438,0.425
40500,4.125,-38.724,14.964,389.395,0.001,0.004,0.326,0.424
