Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,-302.917,-302.917,1845.418,1845.418,0.001,0.001,0.465,0.465
1000,-459.249,-381.083,3823.373,2834.396,0.0,0.001,0.466,0.466
1500,-124.7,-295.622,4335.841,3334.878,0.005,0.002,0.443,0.458
2000,-52.623,-234.872,772.805,2694.359,0.005,0.003,0.459,0.458
2500,-18.071,-191.512,257.032,2206.894,0.003,0.003,0.492,0.465
3000,-73.141,-171.783,1002.207,2006.113,0.002,0.003,0.474,0.467
3500,-24.007,-150.672,432.305,1781.283,0.002,0.003,0.465,0.467
4000,-165.097,-152.475,2570.811,1879.974,0.006,0.003,0.451,0.465
4500,-95.149,-146.106,647.253,1743.005,0.004,0.003,0.45,0.463
5000,-88.52,-140.347,1400.601,1708.765,0.001,0.003,0.45,0.462
5500,-9.647,-128.465,77.485,1560.466,0.001,0.003,0.414,0.457
6000,-67.657,-123.398,887.169,1504.358,0.001,0.003,0.463,0.458
6500,-52.159,-117.918,691.482,1441.829,0.001,0.002,0.464,0.458
7000,-52.475,-113.244,864.243,1400.573,0.001,0.002,0.424,0.456
7500,-101.271,-112.445,1453.782,1404.121,0.0,0.002,0.438,0.455
8000,-51.332,-108.626,842.907,1369.045,0.0,0.002,0.468,0.455
8500,-38.352,-104.492,395.18,1311.759,0.0,0.002,0.456,0.455
9000,-18.882,-99.736,278.162,1254.337,0.001,0.002,0.449,0.455
9500,-34.537,-96.304,303.508,1204.293,0.0,0.002,0.427,0.454
10000,-29.254,-92.952,397.015,1163.929,0.002,0.002,0.459,0.454
10500,-91.867,-92.9,1828.602,1195.58,0.0,0.002,0.45,0.454
11000,-23.968,-89.767,301.001,1154.917,0.001,0.002,0.451,0.454
11500,-171.219,-93.308,1825.344,1184.066,0.008,0.002,0.451,0.453
12000,-62.88,-92.041,759.267,1166.366,0.009,0.002,0.44,0.453
12500,-20.573,-89.182,242.941,1129.429,0.015,0.003,0.449,0.453
13000,-50.882,-87.709,739.832,1114.445,0.003,0.003,0.472,0.453
13500,-42.153,-86.022,402.902,1088.091,0.002,0.003,0.461,0.454
14000,-52.302,-84.817,720.822,1074.975,0.009,0.003,0.471,0.454
14500,-41.895,-83.337,478.085,1054.392,0.025,0.004,0.437,0.454
15000,-31.934,-81.624,329.834,1030.24,0.002,0.004,0.451,0.454
15500,-159.484,-84.135,3661.855,1115.131,0.0,0.004,0.477,0.454
16000,-49.76,-83.061,568.788,1098.058,0.001,0.003,0.473,0.455
16500,-35.035,-81.606,672.257,1085.155,0.002,0.003,0.451,0.455
17000,-41.871,-80.437,662.432,1072.722,0.002,0.003,0.451,0.455
17500,-45.56,-79.441,329.613,1051.49,0.004,0.003,0.473,0.455
18000,-50.045,-78.624,644.492,1040.185,0.003,0.003,0.465,0.456
18500,-29.723,-77.302,263.608,1019.196,0.05,0.005,0.429,0.455
19000,-61.016,-76.874,937.26,1017.04,0.008,0.005,0.469,0.455
19500,-7.993,-75.108,46.387,992.151,0.011,0.005,0.446,0.455
20000,-38.744,-74.199,609.942,982.596,0.025,0.005,0.457,0.455
20500,-17.655,-72.819,90.567,960.839,0.001,0.005,0.462,0.455
21000,-49.507,-72.264,592.773,952.076,0.003,0.005,0.436,0.455
21500,-8.299,-70.777,74.422,931.665,0.024,0.006,0.203,0.449
