Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,-587.561,-587.561,5799.099,5799.099,0.004,0.004,0.487,0.487
1000,-834.126,-710.843,13041.92,9420.51,0.009,0.007,0.471,0.479
1500,-333.654,-585.114,1905.543,6915.521,0.002,0.005,0.47,0.476
2000,-366.891,-530.558,5270.176,6504.185,0.005,0.005,0.45,0.469
2500,-52.685,-434.984,2457.004,5694.748,0.002,0.004,0.483,0.472
3000,-74.438,-374.893,4043.199,5419.49,0.001,0.004,0.482,0.474
3500,-204.675,-350.576,5539.354,5436.614,0.001,0.003,0.432,0.468
4000,-93.249,-318.41,3989.571,5255.733,0.001,0.003,0.475,0.468
4500,-90.997,-293.142,3962.727,5112.066,0.0,0.003,0.453,0.467
5000,-79.832,-271.811,3936.123,4994.472,0.0,0.002,0.487,0.469
5500,-161.831,-261.813,7474.144,5219.896,0.0,0.002,0.454,0.467
6000,-104.75,-248.724,3883.2,5108.505,0.0,0.002,0.419,0.463
6500,-108.061,-237.904,3856.806,5012.22,0.005,0.002,0.455,0.463
7000,-563.61,-261.169,5437.694,5042.611,0.009,0.003,0.469,0.463
7500,-251.071,-260.495,3934.564,4968.742,0.017,0.004,0.451,0.462
8000,-127.207,-252.165,1948.974,4780.006,0.045,0.006,0.465,0.463
8500,-118.395,-244.296,1714.589,4599.687,0.075,0.01,0.413,0.46
9000,-470.709,-256.875,17595.902,5321.699,0.183,0.02,0.438,0.458
9500,-104.305,-248.845,956.857,5091.971,0.057,0.022,0.464,0.459
10000,-149.562,-243.88,4367.813,5055.763,0.035,0.022,0.469,0.459
10500,-337.326,-248.33,8339.847,5212.148,0.029,0.023,0.466,0.46
11000,-107.351,-241.922,3015.642,5112.307,0.025,0.023,0.48,0.46
11500,-7.203,-231.717,89.596,4893.928,0.048,0.024,0.073,0.444
12000,-87.082,-225.69,1462.621,4750.957,0.042,0.025,0.462,0.444
12500,-135.458,-222.081,2734.934,4670.316,0.065,0.026,0.455,0.445
13000,-0.621,-213.563,81.774,4493.834,0.051,0.027,0.294,0.439
