Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,-158.048,-158.048,523.4,523.4,0.002,0.002,0.466,0.466
1000,-501.612,-329.83,5850.608,3187.004,0.002,0.002,0.467,0.466
1500,-147.428,-269.029,2544.163,2972.724,0.042,0.015,0.447,0.46
2000,-53.068,-215.039,363.691,2320.465,0.016,0.015,0.44,0.455
2500,-36.127,-179.257,819.102,2020.193,0.012,0.015,0.449,0.454
3000,-89.752,-164.339,1411.599,1918.76,0.014,0.014,0.457,0.454
3500,-53.467,-148.501,446.479,1708.434,0.021,0.015,0.459,0.455
4000,-35.526,-134.379,317.947,1534.623,0.063,0.021,0.382,0.446
4500,-72.497,-127.503,593.339,1430.036,0.033,0.023,0.464,0.448
5000,-25.717,-117.324,159.274,1302.96,0.032,0.024,0.423,0.445
5500,-57.24,-111.862,901.657,1266.478,0.079,0.029,0.438,0.445
6000,-39.595,-105.84,377.773,1192.419,0.016,0.028,0.474,0.447
6500,-43.694,-101.059,361.467,1128.5,0.035,0.028,0.445,0.447
7000,-69.411,-98.799,591.76,1090.161,0.053,0.03,0.453,0.447
7500,-62.067,-96.35,629.712,1059.465,0.022,0.029,0.467,0.449
8000,-32.023,-92.33,299.755,1011.983,0.062,0.031,0.453,0.449
8500,-31.39,-88.745,268.821,968.267,0.025,0.031,0.425,0.448
9000,-21.858,-85.029,227.788,927.13,0.071,0.033,0.405,0.445
9500,-46.542,-83.003,366.237,897.609,0.029,0.033,0.463,0.446
10000,-67.068,-82.207,818.35,893.646,0.042,0.033,0.455,0.447
10500,-12.412,-78.883,53.172,853.623,0.064,0.035,0.384,0.444
11000,-79.963,-78.932,741.422,848.523,0.144,0.04,0.41,0.442
11500,-69.782,-78.534,299.1,824.635,0.015,0.039,0.459,0.443
12000,-60.889,-77.799,623.448,816.253,0.009,0.037,0.465,0.444
12500,18.298,-73.955,26.578,784.666,0.035,0.037,0.404,0.442
13000,-62.466,-73.513,489.6,773.317,0.009,0.036,0.458,0.443
13500,-44.359,-72.434,259.739,754.296,0.026,0.036,0.444,0.443
14000,-127.537,-74.402,2575.258,819.33,0.005,0.035,0.447,0.443
14500,-11.755,-72.241,34.322,792.261,0.018,0.034,0.176,0.434
15000,-38.536,-71.118,122.305,769.929,0.017,0.034,0.443,0.434
15500,28.942,-67.89,102.121,748.387,0.017,0.033,0.438,0.434
16000,-64.491,-67.784,727.317,747.728,0.018,0.033,0.466,0.435
16500,5.6,-65.56,61.21,726.925,0.133,0.036,0.225,0.429
17000,-46.028,-64.986,418.94,717.866,0.015,0.035,0.447,0.429
17500,-50.55,-64.573,271.828,705.122,0.066,0.036,0.455,0.43
18000,-52.08,-64.226,359.634,695.525,0.024,0.036,0.441,0.43
18500,20.537,-61.935,166.124,681.217,0.061,0.036,0.394,0.429
19000,-63.062,-61.965,691.521,681.488,0.038,0.036,0.464,0.43
19500,18.682,-59.897,56.866,665.472,0.04,0.036,0.424,0.43
20000,-12.228,-58.705,113.626,651.676,0.041,0.037,0.41,0.43
20500,-142.22,-60.742,2060.219,686.031,0.072,0.037,0.422,0.43
21000,-61.444,-60.759,663.767,685.501,0.02,0.037,0.467,0.43
21500,39.129,-58.436,288.495,676.268,0.067,0.038,0.439,0.431
22000,-9.508,-57.324,30.148,661.584,0.065,0.038,0.411,0.43
22500,-15.524,-56.395,62.778,648.277,0.05,0.039,0.458,0.431
23000,10.627,-54.938,80.351,635.931,0.031,0.038,0.352,0.429
23500,-5.786,-53.892,65.455,623.793,0.064,0.039,0.244,0.425
24000,-47.224,-53.753,316.371,617.388,0.119,0.041,0.443,0.426
24500,-31.044,-53.29,157.714,608.007,0.039,0.041,0.372,0.424
25000,-78.467,-53.793,615.226,608.152,0.064,0.041,0.426,0.424
25500,4.301,-52.654,18.141,596.583,0.072,0.042,0.365,0.423
26000,-53.23,-52.665,396.012,592.726,0.02,0.041,0.428,0.423
26500,-5.977,-51.784,26.052,582.034,0.082,0.042,0.409,0.423
27000,-60.671,-51.949,591.532,582.21,0.028,0.042,0.466,0.424
27500,-22.157,-51.407,89.957,573.259,0.049,0.042,0.459,0.425
28000,-58.234,-51.529,513.704,572.196,0.039,0.042,0.455,0.425
28500,-50.27,-51.507,458.416,570.2,0.022,0.042,0.347,0.424
29000,-56.695,-51.597,571.247,570.218,0.022,0.041,0.465,0.424
29500,-41.236,-51.421,159.165,563.251,0.077,0.042,0.457,0.425
30000,-56.306,-51.502,440.257,561.201,0.019,0.041,0.463,0.426
30500,-36.528,-51.257,120.181,553.971,0.087,0.042,0.418,0.425
31000,27.52,-49.986,113.657,546.869,0.027,0.042,0.459,0.426
31500,108.897,-47.464,1923.555,568.721,0.023,0.042,0.442,0.426
32000,-39.67,-47.343,157.91,562.303,0.053,0.042,0.459,0.427
