Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,-266.525,-266.525,2807.643,2807.643,0.001,0.001,0.423,0.423
1000,-532.517,-399.521,4794.456,3801.049,0.001,0.001,0.471,0.447
1500,-329.788,-376.277,3120.228,3574.109,0.015,0.005,0.433,0.443
2000,-172.657,-325.372,1976.259,3174.646,0.004,0.005,0.452,0.445
2500,-65.574,-273.412,340.908,2607.899,0.007,0.006,0.464,0.449
3000,-94.419,-243.58,1350.327,2398.303,0.019,0.008,0.454,0.45
3500,-164.612,-232.299,2497.422,2412.463,0.006,0.008,0.447,0.449
4000,-289.247,-239.417,2451.507,2417.344,0.034,0.011,0.447,0.449
4500,43.686,-207.961,317.447,2184.022,0.006,0.01,0.426,0.446
5000,17.138,-185.452,64.659,1972.085,0.025,0.012,0.379,0.44
5500,-8.066,-169.326,82.488,1800.304,0.017,0.012,0.337,0.43
6000,-73.708,-161.357,934.794,1728.178,0.005,0.012,0.459,0.433
6500,-43.346,-152.28,274.21,1616.334,0.009,0.011,0.462,0.435
7000,-84.735,-147.455,926.55,1567.064,0.012,0.012,0.457,0.437
7500,-16.932,-138.753,107.014,1469.727,0.003,0.011,0.457,0.438
8000,-15.275,-131.036,143.132,1386.815,0.018,0.011,0.406,0.436
8500,-102.637,-129.366,772.644,1350.688,0.011,0.011,0.453,0.437
9000,-51.405,-125.034,487.808,1302.75,0.002,0.011,0.467,0.439
9500,-45.25,-120.835,678.306,1269.884,0.001,0.01,0.439,0.439
10000,-74.413,-118.514,905.048,1251.642,0.004,0.01,0.457,0.44
10500,18.99,-111.966,126.518,1198.065,0.005,0.01,0.412,0.438
11000,8.217,-106.503,57.949,1146.242,0.008,0.01,0.299,0.432
11500,44.689,-99.93,356.655,1111.912,0.001,0.009,0.43,0.432
12000,-25.969,-96.848,103.232,1069.883,0.001,0.009,0.441,0.432
12500,22.127,-92.089,103.791,1031.24,0.003,0.009,0.431,0.432
13000,-84.351,-91.791,890.983,1025.845,0.004,0.009,0.453,0.433
13500,-13.347,-88.886,56.616,989.948,0.017,0.009,0.396,0.432
14000,-71.909,-88.28,888.804,986.336,0.004,0.009,0.467,0.433
14500,-24.106,-86.067,63.303,954.507,0.01,0.009,0.458,0.434
15000,-34.478,-84.347,189.951,929.022,0.018,0.009,0.444,0.434
15500,18.69,-81.023,83.252,901.739,0.016,0.009,0.378,0.432
16000,-10.15,-78.809,125.121,877.47,0.056,0.011,0.294,0.428
16500,-16.168,-76.91,221.692,857.598,0.025,0.011,0.421,0.428
17000,-52.09,-76.18,455.855,845.782,0.009,0.011,0.411,0.427
17500,107.988,-70.918,1228.883,856.727,0.01,0.011,0.452,0.428
18000,-27.925,-69.724,145.426,836.969,0.053,0.012,0.444,0.428
18500,28.849,-67.06,323.107,823.081,0.002,0.012,0.393,0.427
